Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
41309122,01/01/2019 12:00:00 AM,01/10/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,11373,90-34 52 AVENUE,52 AVENUE,,,,,LATLONG,ELMHURST,,N/A,Closed,01/31/2019 01:28:20 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/10/2019 12:00:00 AM,Unspecified QUEENS,,QUEENS,1019585,208494,MOBILE,Unspecified,QUEENS,,,,,,,,40.7388739110531,-73.87249162291612,"(40.7388739110531, -73.87249162291612)"
41310910,01/01/2019 12:00:00 AM,01/01/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10459,899 EAST 169 STREET,EAST 169 STREET,,,,,LATLONG,BRONX,,N/A,Closed,01/31/2019 12:57:25 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/01/2019 12:59:56 AM,Unspecified BRONX,,BRONX,1013183,241128,MOBILE,Unspecified,BRONX,,,,,,,,40.82846874659817,-73.89545303526818,"(40.82846874659817, -73.89545303526818)"
41314898,01/01/2019 12:00:00 AM,01/01/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Other (Explain Below),11208,790 ELDERT LANE,ELDERT LANE,DUMONT AVENUE,LINDEN BOULEVARD,,,ADDRESS,BROOKLYN,,N/A,Closed,01/31/2019 03:56:12 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/01/2019 04:11:05 PM,05 BROOKLYN,3042719001,BROOKLYN,1022225,183607,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67055409879978,-73.8631053928292,"(40.67055409879978, -73.8631053928292)"
41315045,01/01/2019 12:00:00 AM,01/03/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Commercial Building,11412,,,,,LIBERTY AVENUE,DUNKIRK STREET,INTERSECTION,Saint Albans,,N/A,Closed,01/31/2019 03:03:23 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/03/2019 12:00:00 AM,12 QUEENS,,QUEENS,1046613,196294,PHONE,Unspecified,QUEENS,,,,,,,,40.70523868495376,-73.77507291150168,"(40.70523868495376, -73.77507291150168)"
41315071,01/01/2019 12:00:00 AM,01/02/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10468,2825 CLAFLIN AVENUE,CLAFLIN AVENUE,,,,,LATLONG,BRONX,,N/A,Closed,01/31/2019 12:23:06 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/02/2019 12:00:00 AM,Unspecified BRONX,,BRONX,1011869,257276,MOBILE,Unspecified,BRONX,,,,,,,,40.872794400702894,-73.90013453825375,"(40.872794400702894, -73.90013453825375)"
41315216,01/01/2019 12:00:00 AM,01/16/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,11694,152 BEACH  118 STREET,BEACH  118 STREET,OCEAN PROMENADE,ROCKAWAY BEACH BOULEVARD,,,ADDRESS,Rockaway Park,,N/A,Closed,01/31/2019 03:11:49 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/16/2019 12:00:00 AM,14 QUEENS,4162270058,QUEENS,1029147,150009,PHONE,Unspecified,QUEENS,,,,,,,,40.5783023947916,-73.83837606412298,"(40.5783023947916, -73.83837606412298)"
41315249,01/01/2019 12:00:00 AM,01/03/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11205,321 CARLTON AVENUE,CARLTON AVENUE,DEKALB AVENUE,LAFAYETTE AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,01/31/2019 05:15:53 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/03/2019 12:00:00 AM,02 BROOKLYN,3021030003,BROOKLYN,992058,190002,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68818492678691,-73.97184581178426,"(40.68818492678691, -73.97184581178426)"
41315356,01/01/2019 12:00:00 AM,01/03/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,Commercial Building,11205,975 BEDFORD AVENUE,BEDFORD AVENUE,DEKALB AVENUE,KOSCIUSZKO STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,01/31/2019 04:28:46 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/03/2019 12:00:00 AM,03 BROOKLYN,3017780009,BROOKLYN,996630,190915,PHONE,Unspecified,BROOKLYN,,,,,,,,40.690685687266026,-73.9553583591566,"(40.690685687266026, -73.9553583591566)"
41315359,01/01/2019 12:00:00 AM,01/03/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,1-2 Family Dwelling,11354,28-13 150 STREET,150 STREET,28 AVENUE,29 AVENUE,,,ADDRESS,Flushing,,N/A,Closed,01/31/2019 12:42:38 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/03/2019 12:00:00 AM,07 QUEENS,4048220004,QUEENS,1035348,220875,ONLINE,Unspecified,QUEENS,,,,,,,,40.77277950237632,-73.81551598124747,"(40.77277950237632, -73.81551598124747)"
41315446,01/01/2019 12:00:00 AM,01/02/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11233,829 HALSEY STREET,HALSEY STREET,HOWARD AVENUE,SARATOGA AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,01/31/2019 09:55:19 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/02/2019 12:00:00 AM,03 BROOKLYN,3014910055,BROOKLYN,1006605,188965,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.685313812813085,-73.91939551019942,"(40.685313812813085, -73.91939551019942)"
