Unspecified,Benefit Card Replacement,12362
Unspecified,DOF Parking - Payment Issue,3917
Unspecified,Highway Condition,3649
Unspecified,HPD Literature Request,2694
Unspecified,DCA / DOH New License Application Request,1416
QUEENS,Request Large Bulky Item Collection,71643
QUEENS,Blocked Driveway,55383
QUEENS,Illegal Parking,51256
QUEENS,Noise - Residential,43818
QUEENS,Street Condition,32850
BROOKLYN,HEAT/HOT WATER,70066
BROOKLYN,Request Large Bulky Item Collection,66207
BROOKLYN,Noise - Residential,62330
BROOKLYN,Illegal Parking,60752
BROOKLYN,Blocked Driveway,49456
BRONX,HEAT/HOT WATER,71368
BRONX,Noise - Residential,56378
BRONX,UNSANITARY CONDITION,26675
BRONX,Blocked Driveway,24287
BRONX,PAINT/PLASTER,19949
MANHATTAN,HEAT/HOT WATER,49477
MANHATTAN,Noise - Residential,47929
MANHATTAN,Noise - Street/Sidewalk,29564
MANHATTAN,Noise,28305
MANHATTAN,Illegal Parking,22472
STATEN ISLAND,Request Large Bulky Item Collection,14138
STATEN ISLAND,Street Condition,12023
STATEN ISLAND,Illegal Parking,8789
STATEN ISLAND,Noise - Residential,7189
STATEN ISLAND,Street Light Condition,6941
