SMITH	1	2442977	828.19	70.9	23.11	0.5	0.89	2.19	2.4	1	2376206	66771	2.8%	0
JOHNSON	2	1932812	655.24	58.97	34.63	0.54	0.94	2.56	2.36	2	1857160	75652	4.1%	0
WILLIAMS	3	1625252	550.97	45.75	47.68	0.46	0.82	2.81	2.49	3	1534042	91210	5.9%	0
BROWN	4	1437026	487.16	57.95	35.6	0.51	0.87	2.55	2.52	4	1380145	56881	4.1%	0
JONES	5	1425470	483.24	55.19	38.48	0.44	1	2.61	2.29	5	1362755	62715	4.6%	0
GARCIA	6	1166120	395.32	5.38	0.45	1.41	0.47	0.26	92.03	8	858289	307831	35.9%	2
MILLER	7	1161437	393.74	84.11	10.76	0.54	0.66	1.77	2.17	6	1127803	33634	3.0%	-1
DAVIS	8	1116357	378.45	62.2	31.6	0.49	0.82	2.45	2.44	7	1072335	44022	4.1%	-1
RODRIGUEZ	9	1094924	371.19	4.75	0.54	0.57	0.18	0.18	93.77	9	804240	290684	36.1%	0
MARTINEZ	10	1060159	359.4	5.28	0.49	0.6	0.51	0.22	92.91	11	775072	285087	36.8%	1
HERNANDEZ	11	1043281	353.68	3.79	0.36	0.6	0.19	0.16	94.89	15	706372	336909	47.7%	4
LOPEZ	12	874523	296.47	4.86	0.57	1.02	0.38	0.25	92.92	21	621536	252987	40.7%	9
GONZALEZ	13	841025	285.11	4.03	0.35	0.38	0.14	0.13	94.97	23	597718	243307	40.7%	10
WILSON	14	801882	271.84	67.36	25.99	0.6	1.06	2.38	2.61	10	783051	18831	2.4%	-4
ANDERSON	15	784404	265.92	75.17	18.93	0.61	0.74	2.11	2.44	12	762394	22010	2.9%	-3
THOMAS	16	756142	256.34	52.63	38.75	2.44	1.07	2.58	2.54	14	710696	45446	6.4%	-2
TAYLOR	17	751209	254.67	65.38	28.42	0.56	0.76	2.41	2.46	13	720370	30839	4.3%	-4
MOORE	18	724374	245.57	66.41	27.74	0.48	0.68	2.34	2.34	16	698671	25703	3.7%	-2
JACKSON	19	708099	240.05	39.89	53.04	0.39	1.06	3.12	2.5	18	666125	41974	6.3%	-1
