'Areas of study', 'Performing Arts/ Visual Art & Design', 1
'Areas of study', 'Performing Arts/Visual Art & Design', 1
'Areas of study', 'Engineering', 8
'Areas of study', 'Environmental Science', 2
'Areas of study', 'None', 0
'Areas of study', 'Teaching', 1
'Areas of study', 'Hospitality, Travel, & Tourism', 2
'Areas of study', 'Communications', 3
'Areas of study', 'Animal Science', 1
'Areas of study', 'JROTC', 1
'Areas of study', 'Science & Math,', 17
'Areas of study', 'Law & Government,', 11
'Areas of study', 'Architecture,', 2
'Areas of study', 'Business,', 6
'Areas of study', 'Culinary Arts,', 5
'Areas of study', 'Performing Arts,', 15
'Areas of study', 'Computer Science & Technology,', 11
'Areas of study', 'Humanities & Interdisciplinary,', 24
'Areas of study', 'Health Professions,', 12
'Areas of study', 'Visual Art & Design,', 8
'Areas of study', 'Film/Video,', 1
