2bmr-jdsv.DBA,Business name
2bnn-yakx.Vehicle_Body_Type,Vehicle Type
2bnn-yakx.Vehicle_Color,Color
2bnn-yakx.Vehicle_Make,Car make
2sps-j9st.PERSON_FIRST_NAME,Person name
2sps-j9st.PERSON_LAST_NAME,Person name
2v9c-2k7f.DBA,Business name
2xh6-psuq.Project_School_Name,School name
3aka-ggej.BOROUGH,Borough
3aka-ggej.CORE_SUBJECT___MS_CORE_and__09_12_ONLY_,Subjects in school
3btx-p4av.COMPARABLE_RENTAL___2__Building_Classification,Building Classification
3h2n-5cm9.STREET,Street name
3rfa-3xsf.Cross_Street_2,Street name
3rfa-3xsf.Incident_Zip,Zip code
3rfa-3xsf.Location,LAT/LON coordinates
3rfa-3xsf.School_Name,School name
3rfa-3xsf.School_Phone_Number,Phone Number
3rfa-3xsf.Street_Name,Street name
4fnu-iufz.Agency,City agency
4n2j-ut8i.SCHOOL_LEVEL_,School Levels
4pt5-3vv4.Location,LAT/LON coordinates
4qii-5cz9.BOROUGH,Borough
4twk-9yq2.CrossStreet2,Street name
5nz7-hh6t.BORO,Borough
5nz7-hh6t.CORE_SUBJECT___MS_CORE_and__09_12_ONLY_,Subjects in school
5uac-w243.Lat_Lon,LAT/LON coordinates
5uac-w243.PREM_TYP_DESC,Type of location
6anw-twe4.FirstName,Person name
6anw-twe4.LastName,Person name
6je4-4x7e.SCHOOL,School name
6je4-4x7e.SCHOOL_LEVEL_,School Levels
6kcb-9g8d.independentwebsite,Websites
6kcb-9g8d.neighborhood,Neighborhood
6rrm-vxj9.parkname,Parks/Playgrounds
6wcu-cfa3.CORE_COURSE__MS_CORE_and_9_12_ONLY_,Subjects in school
6ypq-ih9a.CORE_SUBJECT___MS_CORE_and__09_12_ONLY_,Subjects in school
7btz-mnc8.Provider_First_Name,Person name
7btz-mnc8.Provider_Last_Name,Person name
7jkp-5w5g.Agency,City agency
7yds-6i8e.CORE_SUBJECT__MS_CORE_and_9_12_ONLY_,Subjects in school
8gr8-ngjc.phone,Phone Number
8i43-kna8.CORE_SUBJECT,Subjects in school
8isn-pgv3.Owner_Telephone,Phone Number
8jfz-tjny.Agency,City agency
8k4x-9mp5.Last_Name__only_2014_15_,Person name
8vgb-zm6e.City__State__Zip_,Zip code
9b9u-8989.DBA,Business name
9z9b-6hvk.Borough,Borough
43nn-pn8j.DBA,Business name
52dp-yji6.Owner_First_Name,Person name
52dp-yji6.Owner_Last_Name,Person name
62mr-ukqs.BROOKLYN___COOPERATIVES_COMPARABLE_PROPERTIES___Building_Classification,Building Classification
72mk-a8z7.ORGANIZATION_PHONE,Phone Number
72ss-25qh.Agency_ID,City agency
72ss-25qh.Borough,Borough
72ss-25qh.Website,Websites
99br-frp6.BOROUGH___COMMUNITY,Borough
735p-zed8.CANDMI,other
735p-zed8.EMPCITY,City
956m-xy24.COMPARABLE_RENTAL_1__Building_Classification,Building Classification
956m-xy24.MANHATTAN_CONDOMINIUM_PROPERTY_Building_Classification,Building Classification
956m-xy24.MANHATTAN_CONDOMINIUM_PROPERTY_Neighborhood,Neighborhood
