STREET NAME ID,STREET PREFIX DIRECTION,STREET PREFIX TYPE,STREET NAME,STREET SUFFIX TYPE,STREET SUFFIX DIRECTION,STREET EXTENSION,POSTAL COMMUNITY,MUNICIPAL COMMUNITY,NOTATION,PRIVATE STREET,FRONTAGE ROAD
1,N,,4TH,ST,,,BATON ROUGE,BATON ROUGE,,NO,NO
10,S,,11TH,ST,,,BATON ROUGE,BATON ROUGE,,NO,NO
100,,,ADDINGTON,AVE,,,BATON ROUGE,BATON ROUGE,,NO,NO
1000,W,,CHALFONT,DR,,,BATON ROUGE,PARISH,,NO,NO
1000001,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000002,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000003,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000004,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000005,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000006,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000007,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000008,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000009,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000010,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000011,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000012,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000013,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000014,,,PRIVATE ALLEY,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1000015,,,PRIVATE ALLEY,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1000017,,,PRIVATE ALLEY,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1000018,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000021,,,PRIVATE ALLEY,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1000022,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000023,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000024,,,PRIVATE ALLEY,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1000025,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000026,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000027,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000028,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000029,,,PRIVATE ALLEY,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1000030,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000031,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000033,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000034,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000035,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000036,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000037,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000038,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000039,,,PRIVATE ALLEY,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1000040,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000041,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000042,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000043,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000047,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000048,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000049,,,PRIVATE ALLEY,,,,BATON ROUGE,PARISH,,NO,NO
1000050,,,PRIVATE ALLEY,,,,GREENWELL SPRINGS,CENTRAL,,NO,NO
1000051,,,PRIVATE ALLEY,,,,GREENWELL SPRINGS,CENTRAL,,NO,NO
1000052,,,PRIVATE ALLEY,,,,GREENWELL SPRINGS,CENTRAL,,NO,NO
1000053,,,PRIVATE ALLEY,,,,CENTRAL,CENTRAL,,NO,NO
1000054,,,PRIVATE ALLEY,,,,CENTRAL,CENTRAL,,NO,NO
1000055,,,PRIVATE ALLEY,,,,GREENWELL SPRINGS,CENTRAL,,NO,NO
1000056,,,PRIVATE ALLEY,,,,CENTRAL,CENTRAL,,NO,NO
1000057,,,PRIVATE ALLEY,,,,CENTRAL,CENTRAL,,NO,NO
1000058,,,PRIVATE ALLEY,,,,CENTRAL,CENTRAL,,NO,NO
1000059,,,PRIVATE ALLEY,,,,CENTRAL,CENTRAL,,NO,NO
1000060,,,PRIVATE ALLEY,,,,CENTRAL,CENTRAL,,NO,NO
1000061,,,PRIVATE ALLEY,,,,CENTRAL,CENTRAL,,NO,NO
10001,,,MORGAN SPRINGS,DR,,,GREENWELL SPRINGS,CENTRAL,,NO,NO
10002,,,SILVER SPRINGS,DR,,,GREENWELL SPRINGS,CENTRAL,,NO,NO
10003,,,GLENWOOD SPRINGS,DR,,,GREENWELL SPRINGS,CENTRAL,,NO,NO
10004,,,SEDONA PINES,DR,,,BATON ROUGE,PARISH,,NO,NO
10006,,,LAKE,CT,,,ZACHARY,ZACHARY,,NO,NO
10007,,,WILLOW CREEK,DR,,,ZACHARY,ZACHARY,,NO,NO
10008,,,HILLSPRINGS,AVE,,,BATON ROUGE,PARISH,,NO,NO
10009,,,HILLRIDGE,AVE,,,BATON ROUGE,PARISH,,NO,NO
1001,,,CHALICE,DR,,,BATON ROUGE,BATON ROUGE,,NO,NO
10010,,,HILLPARK,AVE,,,BATON ROUGE,PARISH,,NO,NO
10011,,,DAKOTA SKY,LN,,,GREENWELL SPRINGS,CENTRAL,,YES,NO
10012,,,COREY LEIGH,DR,,,GREENWELL SPRINGS,CENTRAL,,YES,NO
10013,,,BURDEN,LN,,,BATON ROUGE,PARISH,,YES,NO
10014,,,SAINT JEAN,DR,,,BATON ROUGE,PARISH,,YES,NO
10015,E,,SAINT JEAN,DR,,,BATON ROUGE,PARISH,,YES,NO
10016,W,,SAINT JEAN,DR,,,BATON ROUGE,PARISH,,YES,NO
10017,,,CEDAR,CT,,,BATON ROUGE,PARISH,,NO,NO
10018,,,CEDAR,CIR,,,BATON ROUGE,PARISH,,NO,NO
10019,,,CEDAR POINTE,BLVD,,,BATON ROUGE,PARISH,,NO,NO
1002,,,CHALMA,AVE,,,BATON ROUGE,BATON ROUGE,,NO,NO
10021,,,OLD HOOPER,RD,,,BATON ROUGE,BATON ROUGE,,NO,NO
10022,,,WEBER,DR,,,BATON ROUGE,BATON ROUGE,,YES,NO
10023,,,VIS-A-VIS,AVE,,,BATON ROUGE,PARISH,,NO,NO
10024,,,LANDAU,DR,,,BATON ROUGE,PARISH,,NO,NO
10025,,,CARIOLE,DR,,,BATON ROUGE,PARISH,,NO,NO
10027,,,MONTRACHET,DR,,,BATON ROUGE,PARISH,,NO,NO
10029,,,PULIGNY,AVE,,,BATON ROUGE,PARISH,,NO,NO
1003,,,CHALMERS,ST,,,BATON ROUGE,BATON ROUGE,,NO,NO
