value,label,count
311,city_agency,10
ACS,city_agency,65
BIC,city_agency,17
BPL,city_agency,11
CCHR,city_agency,23
CCRB,city_agency,29
CUNY,city_agency,14
DCA,city_agency,19
DCAS,city_agency,31
DCLA,city_agency,11
DCP,city_agency,16
DDC,city_agency,42
DEP,city_agency,52
DFTA,city_agency,10
DHS,city_agency,32
DOB,city_agency,37
DOC,city_agency,26
DOE,city_agency,109
DOF,city_agency,29
DOHMH,city_agency,42
DOI,city_agency,22
DOITT,city_agency,45
DOP,city_agency,9
DORIS,city_agency,15
DOT,city_agency,48
DPR,city_agency,39
DSNY,city_agency,35
DYCD,city_agency,28
EDC,city_agency,23
FDNY,city_agency,34
HHC,city_agency,15
HPD,city_agency,58
HRA,city_agency,46
LAW,city_agency,19
LPC,city_agency,13
NYCHA,city_agency,40
NYPD,city_agency,50
NYPL,city_agency,18
OATH,city_agency,13
OCME,city_agency,13
OEM,city_agency,19
QPL,city_agency,11
SBS,city_agency,24
TLC,city_agency,15
