value,label,count
125 st w,address,address
126 16 26 ave,address,address
2055 harrison ave,address,address
235 st 147 ave,address,address
13th street west,address,address
310 east 86 st,address,address
38 st e,address,address
319 east 25 st,address,address
575 herkimer st,address,address
ps46 1 plgd,address,address
246 st belrose,address,address
170 st w,address,address
161 st e,address,address
and east 21 street,address,address
46 25 193 st,address,address
120 11 109 ave,address,address
5 parks fdr dr,address,address
69th road btw 78 st 79 st,address,address
64 06 metropolitan ave,address,address
13 st e,address,address
100 dobbin street,address,address
46 pulaski road,address,address
500 e77 street,address,address
248 st and depew avenue,address,address
5338 vandam st,address,address
59 street bridge,address,address
49 st extension,address,address
67 pl and 70 ave,address,address
ps201 pomonok houses plgd,address,address
69 alne circle,address,address
19 st w,address,address
30 dofwood dr,address,address
777 washignton st,address,address
101 26 222 st,address,address
214 st e,address,address
7th north street,address,address
841 jefferson ave,address,address
18 22 26 road,address,address
238 st w,address,address
91 32 96 st,address,address
1735 east 172 st,address,address
345 east 204 st,address,address
36 st 10 ave,address,address
ps127 plgd east elmhurst,address,address
richmond rd btw hull and stobe,address,address
107 st between37 ave 37 drive,address,address
major degan and e 142 st,address,address
btw bond st and nevins st,address,address
205 st w,address,address
1834 east 24 st,address,address
e broadway,street_name,address
229 drive south,address,address
40 daniels street,address,address
392 marion st,address,address
191 st e,address,address
5 st e,address,address
1274 64 st,address,address
8 ave bet w119 st w 118 st,address,address
boardwalk at virginia avenue,address,address
150 place 15 drive,address,address
471 west 144 st,address,address
69 02 69 street,address,address
34th st and 6th avenue,address,address
166 st hillside ave,address,address
15 and 16 st,address,address
and park avenue,address,address
east 23 street and third avenu,address,address
51 bruckner blvd,address,address
120 34 226 s,address,address
102 st e,address,address
107 street and 37 drive,address,address
85 lorimer st,address,address
157 st w,address,address
33 st w,address,address
218 st linden blvd,address,address
58 st e,address,address
3 4 avenues,address,address
149 st e,address,address
4 walk e,address,address
158 st w,address,address
ps134 plgd sol lain park,address,address
54 st e,address,address
162 st w,address,address
28 17 215 pl,address,address
66 st w,address,address
82 street foster and farragut,address,address
on st. marks place,address,address
31 bay street,address,address
440 60 st,address,address
jhs194 plgd clintonville,address,address
ps209 plgd willets point,address,address
237 st e,address,address
170 st e,address,address
51 st e,address,address
65 47 165 st,address,address
231 st e,address,address
9 st w park,address,address
1009 ralph ave,address,address
130th street w,address,address
44 st 16 ave,address,address
97 street transverse,address,address
367 maine ave,address,address
146 ave springfield blvd,address,address
7 ave 55 stt,address,address
