value,label,count
.,vehicle_type,1
00,vehicle_type,1
12PU,vehicle_type,1
12VN,vehicle_type,1
1TPU,vehicle_type,1
2 DO,vehicle_type,1
2 DR,vehicle_type,1
2 WH,vehicle_type,1
20,vehicle_type,1
2C,vehicle_type,1
2CV,vehicle_type,1
2D,vehicle_type,1
2D H,vehicle_type,1
2DCP,vehicle_type,1
2DHA,vehicle_type,1
2DOO,vehicle_type,1
2DSD,vehicle_type,1
2DSE,vehicle_type,1
2F,vehicle_type,1
2H,vehicle_type,1
2HB,vehicle_type,1
2HLE,vehicle_type,1
2L,vehicle_type,1
2P,vehicle_type,1
2S,vehicle_type,1
2SLE,vehicle_type,1
2SRE,vehicle_type,1
2SXS,vehicle_type,1
2T,vehicle_type,1
2W,vehicle_type,1
34PU,vehicle_type,1
34VN,vehicle_type,1
3C,vehicle_type,1
3D,vehicle_type,1
3DR,vehicle_type,1
3DSD,vehicle_type,1
3P,vehicle_type,1
3S,vehicle_type,1
4,vehicle_type,1
4 DO,vehicle_type,1
4 DR,vehicle_type,1
4B,vehicle_type,1
4C,vehicle_type,1
4CV,vehicle_type,1
4D,vehicle_type,1
4D H,vehicle_type,1
4D S,vehicle_type,1
4DHA,vehicle_type,1
4DHB,vehicle_type,1
4DHT,vehicle_type,1
4DLE,vehicle_type,1
4DOO,vehicle_type,1
4DOR,vehicle_type,1
4DPC,vehicle_type,1
4DR,vehicle_type,1
4DSD,vehicle_type,1
4DSE,vehicle_type,1
4DSW,vehicle_type,1
4H,vehicle_type,1
4HB,vehicle_type,1
4HLE,vehicle_type,1
4L,vehicle_type,1
4RUN,vehicle_type,1
4S,vehicle_type,1
4SD,vehicle_type,1
4SFL,vehicle_type,1
4SLE,vehicle_type,1
4SRE,vehicle_type,1
4SXS,vehicle_type,1
4T,vehicle_type,1
4W,vehicle_type,1
4WD,vehicle_type,1
4WHE,vehicle_type,1
5D,vehicle_type,1
5DHB,vehicle_type,1
5DHT,vehicle_type,1
5DSW,vehicle_type,1
5H,vehicle_type,1
5S,vehicle_type,1
5W,vehicle_type,1
8V,vehicle_type,1
A,vehicle_type,1
AA,vehicle_type,1
AC,vehicle_type,1
ACCO,vehicle_type,1
ADS,vehicle_type,1
AE,vehicle_type,1
AEB,vehicle_type,1
AER,vehicle_type,1
AERB,vehicle_type,1
AERH,vehicle_type,1
AERL,vehicle_type,1
AERU,vehicle_type,1
AG,vehicle_type,1
AGY,vehicle_type,1
AHER,vehicle_type,1
AIRK,vehicle_type,1
AIVT,vehicle_type,1
AL,vehicle_type,1
ALAC,vehicle_type,1
ALEL,vehicle_type,1
ALER,vehicle_type,1
ALFU,vehicle_type,1
ALL,vehicle_type,1
ALLO,vehicle_type,1
ALM,vehicle_type,1
ALO,vehicle_type,1
ALTI,vehicle_type,1
AM,vehicle_type,1
AMA,vehicle_type,1
AMB,vehicle_type,1
AMBU,vehicle_type,1
AMC,vehicle_type,1
AME,vehicle_type,1
AMG,vehicle_type,1
AMH,vehicle_type,1
AMI,vehicle_type,1
AML,vehicle_type,1
AMM,vehicle_type,1
AMO,vehicle_type,1
AMP,vehicle_type,1
AMRL,vehicle_type,1
AMRU,vehicle_type,1
AMS,vehicle_type,1
AMTR,vehicle_type,1
AMV,vehicle_type,1
AMW,vehicle_type,1
AMWL,vehicle_type,1
AMXL,vehicle_type,1
AMZR,vehicle_type,1
AN,vehicle_type,1
ANA,vehicle_type,1
ANAL,vehicle_type,1
ANC,vehicle_type,1
ANCS,vehicle_type,1
ANE,vehicle_type,1
ANEB,vehicle_type,1
ANEC,vehicle_type,1
ANEE,vehicle_type,1
ANEG,vehicle_type,1
ANEH,vehicle_type,1
ANEL,vehicle_type,1
ANEP,vehicle_type,1
ANER,vehicle_type,1
ANGW,vehicle_type,1
ANL,vehicle_type,1
ANLN,vehicle_type,1
ANO,vehicle_type,1
ANOL,vehicle_type,1
ANON,vehicle_type,1
ANOR,vehicle_type,1
ANOU,vehicle_type,1
ANR,vehicle_type,1
ANRA,vehicle_type,1
ANRL,vehicle_type,1
ANRO,vehicle_type,1
ANS,vehicle_type,1
ANSL,vehicle_type,1
ANWH,vehicle_type,1
ANWI,vehicle_type,1
AO,vehicle_type,1
AOL,vehicle_type,1
AOOO,vehicle_type,1
AP,vehicle_type,1
APBR,vehicle_type,1
APP,vehicle_type,1
APPO,vehicle_type,1
APR,vehicle_type,1
APUR,vehicle_type,1
AR,vehicle_type,1
ARA,vehicle_type,1
ARAB,vehicle_type,1
ARFB,vehicle_type,1
ARG,vehicle_type,1
ARL,vehicle_type,1
ARMR,vehicle_type,1
ARN,vehicle_type,1
ARO,vehicle_type,1
ARXG,vehicle_type,1
ARXL,vehicle_type,1
AS,vehicle_type,1
ASA,vehicle_type,1
ASC,vehicle_type,1
ASE,vehicle_type,1
ASEA,vehicle_type,1
ASF,vehicle_type,1
ASG,vehicle_type,1
ASL,vehicle_type,1
ASO,vehicle_type,1
ASR,vehicle_type,1
ASRA,vehicle_type,1
ASS,vehicle_type,1
ASSL,vehicle_type,1
ASU,vehicle_type,1
ASZ,vehicle_type,1
ASZG,vehicle_type,1
ATP,vehicle_type,1
ATV,vehicle_type,1
AU,vehicle_type,1
AUDI,vehicle_type,1
AUT,vehicle_type,1
AVEN,vehicle_type,1
AW,vehicle_type,1
AX,vehicle_type,1
AXL,vehicle_type,1
AZ,vehicle_type,1
AZPL,vehicle_type,1
B,vehicle_type,1
BB,vehicle_type,1
BEDT,vehicle_type,1
BEIG,vehicle_type,1
BENZ,vehicle_type,1
BF,vehicle_type,1
BFIV,vehicle_type,1
BIC,vehicle_type,1
BICK,vehicle_type,1
BIDS,vehicle_type,1
BIE,vehicle_type,1
BIEG,vehicle_type,1
BIK,vehicle_type,1
BIKE,vehicle_type,1
BIKS,vehicle_type,1
BIRD,vehicle_type,1
BIZE,vehicle_type,1
BK,vehicle_type,1
BL,vehicle_type,1
BLAC,vehicle_type,1
BLAK,vehicle_type,1
BLAZ,vehicle_type,1
BLD,vehicle_type,1
BLG,vehicle_type,1
BLK,vehicle_type,1
BLL,vehicle_type,1
BLU,vehicle_type,1
BLUE,vehicle_type,1
BMS,vehicle_type,1
BMW,vehicle_type,1
BO,vehicle_type,1
BOAT,vehicle_type,1
BONV,vehicle_type,1
BOOM,vehicle_type,1
BOOT,vehicle_type,1
BOX,vehicle_type,1
BOXT,vehicle_type,1
BOYP,vehicle_type,1
BR,vehicle_type,1
BREE,vehicle_type,1
BRN,vehicle_type,1
BRO,vehicle_type,1
BROW,vehicle_type,1
BS,vehicle_type,1
BT,vehicle_type,1
BU,vehicle_type,1
BUD,vehicle_type,1
BUG,vehicle_type,1
BUGD,vehicle_type,1
BUGG,vehicle_type,1
BUIC,vehicle_type,1
BUIS,vehicle_type,1
BULE,vehicle_type,1
BUMP,vehicle_type,1
BUN,vehicle_type,1
BURG,vehicle_type,1
BUS,vehicle_type,1
BUSA,vehicle_type,1
BUSH,vehicle_type,1
BUSO,vehicle_type,1
BUSS,vehicle_type,1
BW,vehicle_type,1
BY,vehicle_type,1
BYS,vehicle_type,1
C,vehicle_type,1
C4,vehicle_type,1
CA,vehicle_type,1
CAB,vehicle_type,1
CABC,vehicle_type,1
CAD,vehicle_type,1
CADI,vehicle_type,1
CAIX,vehicle_type,1
CAM,vehicle_type,1
CAMC,vehicle_type,1
CAMN,vehicle_type,1
CAMP,vehicle_type,1
CAMR,vehicle_type,1
CAN,vehicle_type,1
CANO,vehicle_type,1
