value,label,count
10,vehicle_type,1
12PU,vehicle_type,1
12VN,vehicle_type,1
2 DR,vehicle_type,1
2C,vehicle_type,1
2CV,vehicle_type,1
2D,vehicle_type,1
2DHA,vehicle_type,1
2DHT,vehicle_type,1
2DOO,vehicle_type,1
2DSD,vehicle_type,1
2DSE,vehicle_type,1
2F,vehicle_type,1
2H,vehicle_type,1
2HLE,vehicle_type,1
2L,vehicle_type,1
2S,vehicle_type,1
2SLE,vehicle_type,1
2SXS,vehicle_type,1
2T,vehicle_type,1
2W,vehicle_type,1
34PU,vehicle_type,1
3D,vehicle_type,1
3P,vehicle_type,1
4,vehicle_type,1
4 DO,vehicle_type,1
4 DR,vehicle_type,1
4C,vehicle_type,1
4D,vehicle_type,1
4DHA,vehicle_type,1
4DHB,vehicle_type,1
4DLI,vehicle_type,1
4DOO,vehicle_type,1
4DPC,vehicle_type,1
4DRS,vehicle_type,1
4DSD,vehicle_type,1
4DSE,vehicle_type,1
4DSW,vehicle_type,1
4H,vehicle_type,1
4HB,vehicle_type,1
4HLE,vehicle_type,1
4L,vehicle_type,1
4P,vehicle_type,1
4S,vehicle_type,1
4SLE,vehicle_type,1
4SRE,vehicle_type,1
4SXS,vehicle_type,1
4T,vehicle_type,1
4W,vehicle_type,1
4WHE,vehicle_type,1
5D,vehicle_type,1
5DHB,vehicle_type,1
5H,vehicle_type,1
8V,vehicle_type,1
A,vehicle_type,1
AAG,vehicle_type,1
AC__,vehicle_type,1
ADP,vehicle_type,1
AEL,vehicle_type,1
AERB,vehicle_type,1
AGI,vehicle_type,1
AK,vehicle_type,1
AL,vehicle_type,1
ALK,vehicle_type,1
ALL,vehicle_type,1
AM,vehicle_type,1
AMA,vehicle_type,1
AMBU,vehicle_type,1
AMBY,vehicle_type,1
AMC,vehicle_type,1
AMG,vehicle_type,1
AMI,vehicle_type,1
AML,vehicle_type,1
AMR,vehicle_type,1
AMS,vehicle_type,1
AMU,vehicle_type,1
AN,vehicle_type,1
ANA,vehicle_type,1
ANB,vehicle_type,1
ANC,vehicle_type,1
ANE,vehicle_type,1
ANO,vehicle_type,1
ANOR,vehicle_type,1
AO,vehicle_type,1
AOL,vehicle_type,1
APP,vehicle_type,1
APPP,vehicle_type,1
APUR,vehicle_type,1
AQUA,vehicle_type,1
AR,vehicle_type,1
ARDO,vehicle_type,1
ARN,vehicle_type,1
AS,vehicle_type,1
ASA,vehicle_type,1
ASC,vehicle_type,1
ASIR,vehicle_type,1
ASO,vehicle_type,1
ASON,vehicle_type,1
AT,vehicle_type,1
ATSH,vehicle_type,1
ATV,vehicle_type,1
AW,vehicle_type,1
AWLE,vehicle_type,1
AXL,vehicle_type,1
B,vehicle_type,1
BACK,vehicle_type,1
BAE,vehicle_type,1
BC,vehicle_type,1
BG,vehicle_type,1
BIC,vehicle_type,1
BIKE,vehicle_type,1
BILR,vehicle_type,1
BIRE,vehicle_type,1
BK,vehicle_type,1
BLAC,vehicle_type,1
BLBI,vehicle_type,1
BLK,vehicle_type,1
BLUE,vehicle_type,1
BMW,vehicle_type,1
BN,vehicle_type,1
BOAT,vehicle_type,1
BOOM,vehicle_type,1
BOT,vehicle_type,1
BOX,vehicle_type,1
BOXT,vehicle_type,1
BS,vehicle_type,1
BU,vehicle_type,1
BUG,vehicle_type,1
BUS,vehicle_type,1
BUSS,vehicle_type,1
BW,vehicle_type,1
BX,vehicle_type,1
C,vehicle_type,1
CA,vehicle_type,1
CAM,vehicle_type,1
CAMI,vehicle_type,1
CAMP,vehicle_type,1
CARG,vehicle_type,1
CARR,vehicle_type,1
CB,vehicle_type,1
CBCH,vehicle_type,1
CG,vehicle_type,1
CH,vehicle_type,1
CHAR,vehicle_type,1
CHER,vehicle_type,1
CI,vehicle_type,1
CIN,vehicle_type,1
CIY,vehicle_type,1
CK,vehicle_type,1
CKM,vehicle_type,1
CKN,vehicle_type,1
CKNE,vehicle_type,1
CL,vehicle_type,1
CLLM,vehicle_type,1
CM,vehicle_type,1
CMC,vehicle_type,1
