value,label,count
LDS,car_make,1
&,car_make,1
'NV',car_make,1
",NISSA",car_make,1
---,car_make,1
-----M,car_make,1
-FORD,car_make,1
-PONT,car_make,1
.,car_make,1
. MERC,car_make,1
.ACURA,car_make,1
.B.M.W,car_make,1
.BMW,car_make,1
.BUICK,car_make,1
.CADI,car_make,1
.CADIL,car_make,1
.CHEV,car_make,1
.CHEVR,car_make,1
.CHEVY,car_make,1
.CHRYS,car_make,1
.DATSU,car_make,1
.DODGE,car_make,1
.DOGE,car_make,1
.FORD,car_make,1
.GMC,car_make,1
.HONDA,car_make,1
.HYUND,car_make,1
.ISUZU,car_make,1
.JEEP,car_make,1
.LINCO,car_make,1
.M.G.,car_make,1
.MAZDA,car_make,1
.MERCU,car_make,1
.MERCY,car_make,1
.MITSU,car_make,1
.N/A,car_make,1
.NISSA,car_make,1
.OLD,car_make,1
.OLDS,car_make,1
.PLYMO,car_make,1
.PONT,car_make,1
.PONTI,car_make,1
.SAAB,car_make,1
.SABU,car_make,1
.TOYOT,car_make,1
.TOYTA,car_make,1
.UNK,car_make,1
.UNKNO,car_make,1
.UNKNW,car_make,1
.VOLKS,car_make,1
.VW,car_make,1
.YUGO,car_make,1
01DS,car_make,1
0LD,car_make,1
0LDS,car_make,1
0LDS..,car_make,1
0LDSM,car_make,1
0LDSMO,car_make,1
0ONTIA,car_make,1
1 1/2,car_make,1
1 1/2Y,car_make,1
1 YARD,car_make,1
1 YD C,car_make,1
1.5 CU,car_make,1
1.5 YD,car_make,1
1.5YDS,car_make,1
1/2CON,car_make,1
100 ST,car_make,1
107AVE,car_make,1
11/2,car_make,1
167ST,car_make,1
171,car_make,1
1980,car_make,1
1981 O,car_make,1
1982,car_make,1
1983,car_make,1
1984,car_make,1
1985,car_make,1
1987,car_make,1
1990,car_make,1
1992,car_make,1
1995,car_make,1
1996,car_make,1
1G3AY6,car_make,1
1NFIN,car_make,1
1NFINT,car_make,1
1NT'L,car_make,1
1NTER,car_make,1
1SUZU,car_make,1
1TONDA,car_make,1
1YD DP,car_make,1
1YDCON,car_make,1
1ZUZU,car_make,1
2 WHL,car_make,1
2 YARD,car_make,1
2 YD,car_make,1
2 YDCT,car_make,1
2 YDS,car_make,1
2.5YD,car_make,1
20 YD,car_make,1
2000,car_make,1
2006,car_make,1
2007,car_make,1
2022,car_make,1
205ST.,car_make,1
20FT,car_make,1
20ST,car_make,1
20YRD,car_make,1
213239,car_make,1
222 ST,car_make,1
2287,car_make,1
240SX,car_make,1
242-29,car_make,1
2D,car_make,1
2NDCHN,car_make,1
2YARD,car_make,1
2YD,car_make,1
2YD CO,car_make,1
2YD CT,car_make,1
2YD DU,car_make,1
2YDCON,car_make,1
2YRDCO,car_make,1
30 YD,car_make,1
30/40C,car_make,1
308196,car_make,1
30FT,car_make,1
30YARD,car_make,1
30YD,car_make,1
30YDS,car_make,1
310346,car_make,1
313506,car_make,1
313975,car_make,1
315083,car_make,1
315339,car_make,1
315484,car_make,1
317775,car_make,1
318084,car_make,1
318774,car_make,1
3QU YD,car_make,1
3YD,car_make,1
4 BY 4,car_make,1
4 WINN,car_make,1
4 YARD,car_make,1
40 YD,car_make,1
40FT,car_make,1
421334,car_make,1
43 A,car_make,1
4D,car_make,1
4DOOR,car_make,1
4OLDS,car_make,1
4WINNS,car_make,1
4X4,car_make,1
4YD,car_make,1
53 AVE,car_make,1
6000SE,car_make,1
6MC,car_make,1
71CHRY,car_make,1
74FORD,car_make,1
79 AVE,car_make,1
8 YARD,car_make,1
8-YARD,car_make,1
80CHEV,car_make,1
82CHEV,car_make,1
83FORD,car_make,1
83HOND,car_make,1
84DODG,car_make,1
84HOND,car_make,1
85 TOY,car_make,1
85PONT,car_make,1
86 PLY,car_make,1
86 TOY,car_make,1
86VOLK,car_make,1
87 MAZ,car_make,1
87FORD,car_make,1
87LINC,car_make,1
88CADI,car_make,1
88FORD,car_make,1
88GMC,car_make,1
89 MIT,car_make,1
89 OLD,car_make,1
89 PON,car_make,1
89HOND,car_make,1
89ISUZ,car_make,1
89JEEP,car_make,1
8BY8B8,car_make,1
8LDS,car_make,1
8YD,car_make,1
8YDCON,car_make,1
8YRD,car_make,1
8YRD C,car_make,1
8YRDCO,car_make,1
90 GEO,car_make,1
90 JAG,car_make,1
90 LIN,car_make,1
90 MER,car_make,1
90FORD,car_make,1
90NISS,car_make,1
91 ACU,car_make,1
91 FOR,car_make,1
91 NIS,car_make,1
91ACUR,car_make,1
91CADI,car_make,1
91PLYM,car_make,1
92 SUB,car_make,1
92 UNK,car_make,1
92MERC,car_make,1
93CHRY,car_make,1
93HOND,car_make,1
93NISS,car_make,1
94 FOR,car_make,1
94 SAT,car_make,1
94 VW,car_make,1
94MAZD,car_make,1
95 CAD,car_make,1
95 VW,car_make,1
95DODG,car_make,1
95FORD,car_make,1
96ACUR,car_make,1
96CHRY,car_make,1
96PLYM,car_make,1
97 LIN,car_make,1
97NISS,car_make,1
97PLYM,car_make,1
98FORD,car_make,1
9999,car_make,1
99999,car_make,1
999999,car_make,1
;HONDA,car_make,1
?,car_make,1
??????,car_make,1
A,car_make,1
A M C,car_make,1
A M C.,car_make,1
A M F,car_make,1
A VAN,car_make,1
