value,label,count
311,city_agency,1
ACS,city_agency,8
BIC,city_agency,2
BOE,city_agency,2
BPL,city_agency,1
CCHR,city_agency,4
CCRB,city_agency,2
CUNY,city_agency,5
DCA,city_agency,4
DCAS,city_agency,18
DCLA,city_agency,22
DCP,city_agency,4
DDC,city_agency,2
DEP,city_agency,8
DFTA,city_agency,4
DHS,city_agency,2
DOB,city_agency,2
DOC,city_agency,4
DOE,city_agency,30
DOF,city_agency,15
DOHMH,city_agency,21
DOI,city_agency,4
DOP,city_agency,4
DORIS,city_agency,2
DOT,city_agency,10
DPR,city_agency,8
DSNY,city_agency,12
DVS,city_agency,2
DYCD,city_agency,4
DoITT,city_agency,2
FDNY,city_agency,10
HPD,city_agency,8
HRA,city_agency,9
LAW,city_agency,2
LPC,city_agency,2
NYCEM,city_agency,2
NYCHA,city_agency,1
NYCHH,city_agency,1
NYPD,city_agency,14
NYPL,city_agency,6
OATH,city_agency,2
QPL,city_agency,1
SBS,city_agency,8
SCA,city_agency,1
TLC,city_agency,2
