value,label,count
!1201,zip_code,1
(718),zip_code,1
-1,zip_code,1
-1045,zip_code,1
-1046,zip_code,1
-11,zip_code,1
-1136,zip_code,1
00001,zip_code,1
00002,zip_code,1
00194,zip_code,1
00347,zip_code,1
00355,zip_code,1
00385,zip_code,1
00674,zip_code,1
00693,zip_code,1
00D,zip_code,1
01001,zip_code,1
01002,zip_code,1
01003,zip_code,1
01014,zip_code,1
01056,zip_code,1
01101,zip_code,1
01118,zip_code,1
01120,zip_code,1
01121,zip_code,1
01136,zip_code,1
01137,zip_code,1
01158,zip_code,1
01169,zip_code,1
01217,zip_code,1
01219,zip_code,1
01367,zip_code,1
01372,zip_code,1
01463,zip_code,1
01719,zip_code,1
02000,zip_code,1
02118,zip_code,1
02138,zip_code,1
02139,zip_code,1
02400,zip_code,1
02421,zip_code,1
02445,zip_code,1
02446,zip_code,1
02467,zip_code,1
02472,zip_code,1
02657,zip_code,1
02893,zip_code,1
02906,zip_code,1
02907,zip_code,1
02961,zip_code,1
03217,zip_code,1
03239,zip_code,1
04035,zip_code,1
0451,zip_code,1
04614,zip_code,1
05477,zip_code,1
05819,zip_code,1
05871,zip_code,1
06051,zip_code,1
06105,zip_code,1
06234,zip_code,1
06278,zip_code,1
06320,zip_code,1
06360,zip_code,1
06451,zip_code,1
06510,zip_code,1
06516,zip_code,1
06601,zip_code,1
06604,zip_code,1
06605,zip_code,1
06606,zip_code,1
06704,zip_code,1
06801,zip_code,1
06880,zip_code,1
06902,zip_code,1
06903,zip_code,1
07002,zip_code,1
07003,zip_code,1
07011,zip_code,1
07016,zip_code,1
07022,zip_code,1
07024,zip_code,1
07029,zip_code,1
07030,zip_code,1
07035,zip_code,1
07036,zip_code,1
07040,zip_code,1
07047,zip_code,1
07050,zip_code,1
07055,zip_code,1
07057,zip_code,1
07059,zip_code,1
07067,zip_code,1
07075,zip_code,1
07080,zip_code,1
07081,zip_code,1
07086,zip_code,1
07087,zip_code,1
07093,zip_code,1
07102,zip_code,1
07104,zip_code,1
07105,zip_code,1
07106,zip_code,1
07107,zip_code,1
07108,zip_code,1
07111,zip_code,1
07114,zip_code,1
07147,zip_code,1
07201,zip_code,1
07202,zip_code,1
07203,zip_code,1
07204,zip_code,1
07205,zip_code,1
07206,zip_code,1
07207,zip_code,1
07208,zip_code,1
07302,zip_code,1
07304,zip_code,1
07305,zip_code,1
07306,zip_code,1
07307,zip_code,1
07310,zip_code,1
07442,zip_code,1
07501,zip_code,1
07604,zip_code,1
07605,zip_code,1
07621,zip_code,1
07624,zip_code,1
07625,zip_code,1
07626,zip_code,1
0763,zip_code,1
07631,zip_code,1
07648,zip_code,1
07652,zip_code,1
07657,zip_code,1
07663,zip_code,1
07666,zip_code,1
07670,zip_code,1
07675,zip_code,1
07712,zip_code,1
07722,zip_code,1
07724,zip_code,1
07726,zip_code,1
07731,zip_code,1
07734,zip_code,1
07735,zip_code,1
07740,zip_code,1
07748,zip_code,1
0775,zip_code,1
07751,zip_code,1
07850,zip_code,1
07869,zip_code,1
07921,zip_code,1
07950,zip_code,1
08053,zip_code,1
08054,zip_code,1
08055,zip_code,1
08106,zip_code,1
08201,zip_code,1
08232,zip_code,1
08401,zip_code,1
08536,zip_code,1
08628,zip_code,1
08629,zip_code,1
08638,zip_code,1
08701,zip_code,1
08742,zip_code,1
08817,zip_code,1
08837,zip_code,1
08844,zip_code,1
08846,zip_code,1
08854,zip_code,1
08859,zip_code,1
08861,zip_code,1
08865,zip_code,1
08873,zip_code,1
08902,zip_code,1
08904,zip_code,1
1,zip_code,1
1-312,zip_code,1
1000,zip_code,1
10000,zip_code,1
10001,zip_code,1
10002,zip_code,1
10003,zip_code,1
10004,zip_code,1
10005,zip_code,1
10006,zip_code,1
10007,zip_code,1
10008,zip_code,1
10009,zip_code,1
1001,zip_code,1
10010,zip_code,1
10011,zip_code,1
10012,zip_code,1
10013,zip_code,1
10014,zip_code,1
10015,zip_code,1
10016,zip_code,1
10017,zip_code,1
10018,zip_code,1
10019,zip_code,1
1002,zip_code,1
10020,zip_code,1
10021,zip_code,1
10022,zip_code,1
10023,zip_code,1
10024,zip_code,1
10025,zip_code,1
10026,zip_code,1
10027,zip_code,1
10028,zip_code,1
10029,zip_code,1
1003,zip_code,1
10030,zip_code,1
10031,zip_code,1
10032,zip_code,1
10033,zip_code,1
10034,zip_code,1
10035,zip_code,1
10036,zip_code,1
10037,zip_code,1
10038,zip_code,1
10039,zip_code,1
10040,zip_code,1
10041,zip_code,1
10044,zip_code,1
