value,label,count
93 avenue elderts lane,address,address
david sheridan plaza,building_name,building_name
the plaza,building_name,building_name
southgate plaza,building_name,building_name
rockefeller plaza,building_name,building_name
samuel dickstein plaza,building_name,building_name
grand army plaza,building_name,building_name
new dorp plaza,building_name,building_name
queens plaza,building_name,building_name
van wyck ep nb en college pt bl,college_name,college_name
nycta,location_type,location_type
bend,location_type,location_type
ida court,park_playground,park_playground
mitchel court,park_playground,park_playground
harbor view court,park_playground,park_playground
renaissance court,park_playground,park_playground
destiny court,park_playground,park_playground
judith court,park_playground,park_playground
jake court,park_playground,park_playground
graham court,park_playground,park_playground
wellington court,park_playground,park_playground
williams court,park_playground,park_playground
greenwich court,park_playground,park_playground
4 court,park_playground,park_playground
yacht club cove,park_playground,park_playground
star court,park_playground,park_playground
tompkins court,park_playground,park_playground
grove court,park_playground,park_playground
lawn court,park_playground,park_playground
jillian court,park_playground,park_playground
larch court,park_playground,park_playground
brienna court,park_playground,park_playground
taft court,park_playground,park_playground
savin court,park_playground,park_playground
maxie court,park_playground,park_playground
waldorf court,park_playground,park_playground
tysen court,park_playground,park_playground
sally court,park_playground,park_playground
zachary court,park_playground,park_playground
boulevard court,park_playground,park_playground
rene court,park_playground,park_playground
cooper square,park_playground,park_playground
lama court,park_playground,park_playground
temple court,park_playground,park_playground
haven esplanade,park_playground,park_playground
poi court,park_playground,park_playground
nutwood court,park_playground,park_playground
preston court,park_playground,park_playground
park row,park_playground,park_playground
teakwood court,park_playground,park_playground
wood court,park_playground,park_playground
turf court,park_playground,park_playground
marie court,park_playground,park_playground
keiber court,park_playground,park_playground
waterford court,park_playground,park_playground
davis court,park_playground,park_playground
juni court,park_playground,park_playground
lundi court,park_playground,park_playground
nash court,park_playground,park_playground
constance court,park_playground,park_playground
barlow court,park_playground,park_playground
fox hunt court,park_playground,park_playground
beacon court,park_playground,park_playground
catherine court,park_playground,park_playground
summit court,park_playground,park_playground
parkway court,park_playground,park_playground
lyceum court,park_playground,park_playground
gunnison court,park_playground,park_playground
coonley court,park_playground,park_playground
tabor court,park_playground,park_playground
karen court,park_playground,park_playground
michael court,park_playground,park_playground
maybury court,park_playground,park_playground
washington park,park_playground,park_playground
naso court,park_playground,park_playground
rita brady square,park_playground,park_playground
cook court,park_playground,park_playground
golda meir square,park_playground,park_playground
rau court,park_playground,park_playground
brower court,park_playground,park_playground
cypress court,park_playground,park_playground
reynolds court,park_playground,park_playground
cottontail court,park_playground,park_playground
blake court,park_playground,park_playground
tessa court,park_playground,park_playground
clinton court,park_playground,park_playground
central park gr hill,park_playground,park_playground
bridge plaza court,park_playground,park_playground
emily court,park_playground,park_playground
dormans court,park_playground,park_playground
richmond court,park_playground,park_playground
dunne court,park_playground,park_playground
santo court,park_playground,park_playground
holbernt court,park_playground,park_playground
o connell court,park_playground,park_playground
brightwater court,park_playground,park_playground
gramercy park,park_playground,park_playground
dunton court,park_playground,park_playground
sierra court,park_playground,park_playground
weiher court,park_playground,park_playground
cary court,park_playground,park_playground
salamander court,park_playground,park_playground
hanover square,park_playground,park_playground
mathewson court,park_playground,park_playground
davidson court,park_playground,park_playground
union court,park_playground,park_playground
gabrielle court,park_playground,park_playground
adam court,park_playground,park_playground
doone court,park_playground,park_playground
carlton court,park_playground,park_playground
don court,park_playground,park_playground
vienna court,park_playground,park_playground
bennett court,park_playground,park_playground
tennis court,park_playground,park_playground
sobel court,park_playground,park_playground
saccheri court,park_playground,park_playground
calhoun court,park_playground,park_playground
ridge court,park_playground,park_playground
vermont court,park_playground,park_playground
olivia court,park_playground,park_playground
leverett court,park_playground,park_playground
wilton court,park_playground,park_playground
walker court,park_playground,park_playground
chapin court,park_playground,park_playground
ocean court,park_playground,park_playground
owls head court,park_playground,park_playground
susan court,park_playground,park_playground
desmond court,park_playground,park_playground
howard court,park_playground,park_playground
madeline court,park_playground,park_playground
locust court,park_playground,park_playground
thelma court,park_playground,park_playground
jansen street,street_name,street_name
fresh meadow lane,street_name,street_name
115 road,street_name,street_name
118 road,street_name,street_name
hoyt street,street_name,street_name
mayville street,street_name,street_name
42 street,street_name,street_name
seven gables road,street_name,street_name
legion place,street_name,street_name
34 avenue,street_name,street_name
irvine street,street_name,street_name
glen avenue,street_name,street_name
hunter avenue,street_name,street_name
west 207 street,street_name,street_name
pitman avenue,street_name,street_name
252 street,street_name,street_name
hazen street,street_name,street_name
pacific street,street_name,street_name
128 street,street_name,street_name
schieffelin avenue,street_name,street_name
earley place,street_name,street_name
token street,street_name,street_name
trinity avenue,street_name,street_name
ellicott place,street_name,street_name
112 place,street_name,street_name
homecrest avenue,street_name,street_name
bronx park east,street_name,street_name
brown street,street_name,street_name
knapp street,street_name,street_name
sophia lane,street_name,street_name
48 avenue,street_name,street_name
schuyler street,street_name,street_name
mosely avenue,street_name,street_name
beach 45 street,street_name,street_name
old beach 88 street,street_name,street_name
washington square north,street_name,street_name
surrey place,street_name,street_name
east 170 street,street_name,street_name
7 street,street_name,street_name
65 road,street_name,street_name
kell avenue,street_name,street_name
dr m l king jr boulevard,street_name,street_name
todt hill road,street_name,street_name
portland place,street_name,street_name
123 street,street_name,street_name
