value,label,count
0,zip_code,1
10001,zip_code,1
10001.0,zip_code,1
10002,zip_code,1
10002.0,zip_code,1
10003,zip_code,1
10003.0,zip_code,1
10004,zip_code,1
10004.0,zip_code,1
10005,zip_code,1
10005.0,zip_code,1
10006,zip_code,1
10006.0,zip_code,1
10007,zip_code,1
10007.0,zip_code,1
10008,zip_code,1
10008.0,zip_code,1
10009,zip_code,1
10009.0,zip_code,1
1001,zip_code,1
10010,zip_code,1
10010.0,zip_code,1
10011,zip_code,1
10011.0,zip_code,1
10012,zip_code,1
10012.0,zip_code,1
10013,zip_code,1
10013.0,zip_code,1
10014,zip_code,1
10014.0,zip_code,1
10015,zip_code,1
10016,zip_code,1
10016.0,zip_code,1
10017,zip_code,1
10017.0,zip_code,1
10018,zip_code,1
10018.0,zip_code,1
10019,zip_code,1
10019.0,zip_code,1
1002,zip_code,1
10020,zip_code,1
10020.0,zip_code,1
10021,zip_code,1
10021.0,zip_code,1
10022,zip_code,1
10022.0,zip_code,1
10023,zip_code,1
10023.0,zip_code,1
10024,zip_code,1
10024.0,zip_code,1
10025,zip_code,1
10025.0,zip_code,1
10026,zip_code,1
10026.0,zip_code,1
10027,zip_code,1
10027.0,zip_code,1
10028,zip_code,1
10028.0,zip_code,1
10029,zip_code,1
10029.0,zip_code,1
10030,zip_code,1
10030.0,zip_code,1
10031,zip_code,1
10031.0,zip_code,1
10032,zip_code,1
10032.0,zip_code,1
10033,zip_code,1
10033.0,zip_code,1
10034,zip_code,1
10034.0,zip_code,1
10035,zip_code,1
10035.0,zip_code,1
10036,zip_code,1
10036.0,zip_code,1
10037,zip_code,1
10037.0,zip_code,1
10038,zip_code,1
10038.0,zip_code,1
10039,zip_code,1
10039.0,zip_code,1
1004,zip_code,1
10040,zip_code,1
10040.0,zip_code,1
10041,zip_code,1
10043.0,zip_code,1
10044,zip_code,1
10044.0,zip_code,1
10046,zip_code,1
10050.0,zip_code,1
10053,zip_code,1
10058,zip_code,1
10063,zip_code,1
10065,zip_code,1
10065.0,zip_code,1
10066,zip_code,1
10068.0,zip_code,1
10069,zip_code,1
10069.0,zip_code,1
1007,zip_code,1
1007.0,zip_code,1
10070,zip_code,1
10075,zip_code,1
10075.0,zip_code,1
10077.0,zip_code,1
10078,zip_code,1
10082,zip_code,1
10083,zip_code,1
1009,zip_code,1
10091.0,zip_code,1
10094,zip_code,1
10095,zip_code,1
10101,zip_code,1
10103,zip_code,1
10103.0,zip_code,1
10104,zip_code,1
10105,zip_code,1
10105.0,zip_code,1
10106,zip_code,1
10106.0,zip_code,1
10107,zip_code,1
10107.0,zip_code,1
10108,zip_code,1
10108.0,zip_code,1
10109,zip_code,1
1011,zip_code,1
10110,zip_code,1
10110.0,zip_code,1
10111,zip_code,1
10111.0,zip_code,1
10112,zip_code,1
10113,zip_code,1
10116,zip_code,1
10116.0,zip_code,1
10117,zip_code,1
10117.0,zip_code,1
10118,zip_code,1
10119,zip_code,1
10120,zip_code,1
10121,zip_code,1
10121.0,zip_code,1
10122,zip_code,1
10123,zip_code,1
10123.0,zip_code,1
10124,zip_code,1
10125,zip_code,1
10126,zip_code,1
10126.0,zip_code,1
10128,zip_code,1
10128.0,zip_code,1
10129,zip_code,1
10129.0,zip_code,1
10131,zip_code,1
10150,zip_code,1
10150.0,zip_code,1
10151,zip_code,1
10152,zip_code,1
10152.0,zip_code,1
10153,zip_code,1
10153.0,zip_code,1
10154.0,zip_code,1
10155,zip_code,1
10156,zip_code,1
10158,zip_code,1
10158.0,zip_code,1
10159,zip_code,1
10162,zip_code,1
10162.0,zip_code,1
10163,zip_code,1
10163.0,zip_code,1
10165,zip_code,1
10165.0,zip_code,1
10166,zip_code,1
10166.0,zip_code,1
10168,zip_code,1
10168.0,zip_code,1
10169,zip_code,1
10169.0,zip_code,1
10170,zip_code,1
10170.0,zip_code,1
10171,zip_code,1
10171.0,zip_code,1
10172,zip_code,1
10173,zip_code,1
10174,zip_code,1
10175,zip_code,1
10175.0,zip_code,1
10177,zip_code,1
10178,zip_code,1
10178.0,zip_code,1
1018,zip_code,1
10185,zip_code,1
10185.0,zip_code,1
10217,zip_code,1
10230.0,zip_code,1
10253,zip_code,1
10263,zip_code,1
10268,zip_code,1
1027,zip_code,1
10270.0,zip_code,1
10271,zip_code,1
10274,zip_code,1
10275,zip_code,1
10276,zip_code,1
10279,zip_code,1
10279.0,zip_code,1
1028,zip_code,1
10280,zip_code,1
10280.0,zip_code,1
10281,zip_code,1
10281.0,zip_code,1
10282,zip_code,1
10282.0,zip_code,1
10285,zip_code,1
1029.0,zip_code,1
10301,zip_code,1
10301.0,zip_code,1
10302,zip_code,1
10302.0,zip_code,1
10303,zip_code,1
10303.0,zip_code,1
10304,zip_code,1
10304.0,zip_code,1
10305,zip_code,1
10305.0,zip_code,1
10306,zip_code,1
10306.0,zip_code,1
10307,zip_code,1
10307.0,zip_code,1
10308,zip_code,1
10308.0,zip_code,1
10309,zip_code,1
10309.0,zip_code,1
