value,label,count
99 st w,address,address
116 55 queens blvd,address,address
68 st rockaway blvd,address,address
125 st w,address,address
230 st e,address,address
38 st e,address,address
strang ave and dereimer ave,address,address
86 st and lexington ave,address,address
46 st w,address,address
89 18 queens boulevard,address,address
carlton ave and vanderbuilt av,address,address
246 st belrose,address,address
16 st. prospect avenue,address,address
170 st w,address,address
153 st w,address,address
161 st e,address,address
224 south 3 street,address,address
1400 1 avenue,address,address
36 st w,address,address
670 east 5 street,address,address
5 st s,address,address
13 st e,address,address
1 ave b t 52 53 st,address,address
47 st w,address,address
8 rd e,address,address
724 44 street,address,address
567 flushing avenue,address,address
35 st 7 ave,address,address
7th ave w 52nd st,address,address
111 west 78 street,address,address
49 st e,address,address
2507 frisby avenue,address,address
ps201 pomonok houses plgd,address,address
2nd ave b t 78 79 st,address,address
19 st w,address,address
919 e102 st,address,address
214 st e,address,address
east 36 st and 2 ave,address,address
7th north street,address,address
234 27 137 avenue,address,address
1036 e 10 st,address,address
183 st horace harding expwy,address,address
159 st e,address,address
238 st w,address,address
41 st w,address,address
65 st 11 avenue,address,address
11 st 12 st,address,address
94 st w,address,address
ps127 plgd east elmhurst,address,address
101 14 110 st,address,address
36 st e,address,address
4412 van cortlandt pk e,address,address
116 st b t 81 ave,address,address
699 glenmore ave,address,address
btw 11 st and 12 st,address,address
229 drive south,address,address
on woodrow road,address,address
10 ave. w 23 street,address,address
59 ave junction blvd,address,address
263 st w,address,address
191 st e,address,address
5 st e,address,address
338 union st,address,address
80 st e,address,address
202 st jamaica ave,address,address
87 st e,address,address
327 east 116 street,address,address
89 st w,address,address
129 street liberty ave,address,address
235 st w,address,address
ps175 plgd annadale,address,address
30 86 33 street,address,address
131 st e,address,address
and east 120 st,address,address
avenue and vanderbilt avenue,address,address
2 ave between e 85 st and e 86,address,address
102 st e,address,address
e 82 at 1 ave,address,address
111 53 and 111 45,address,address
w254st post road,address,address
157 st w,address,address
123 st e,address,address
75 st w,address,address
539 sutter avenue,address,address
30 street 6 ave,address,address
32 rockaway blvd,address,address
33 st w,address,address
220 st southeast,address,address
187 st w,address,address
31 77 33 st,address,address
113 st w,address,address
58 st e,address,address
ns rd at allerton ave,address,address
149 st e,address,address
158 st w,address,address
33 st e,address,address
104 st e,address,address
54 st e,address,address
187 franklin street,address,address
45 south first st,address,address
ps154 plgd 75 ave,address,address
east 85 and east 86 street,address,address
190 st e,address,address
5 st 48 ave,address,address
21 st b t 30 ave 30 st,address,address
7 9 avenue,address,address
66 belhaven place,address,address
95 seaman avenue,address,address
ps209 plgd willets point,address,address
237 st e,address,address
ps26 4 plgd,address,address
170 st e,address,address
51 st e,address,address
231 st e,address,address
212 st 64 ave,address,address
98 st park lane south,address,address
10 st n,address,address
114 st e,address,address
45 rd and 45 drive,address,address
l and hamiton ave,address,address
97 street transverse,address,address
6 st n,address,address
184 goodwin av,address,address
5 avenue and 6 avenue,address,address
4206 79 st,address,address
153 st e,address,address
7 st e,address,address
74 st w,address,address
jhs93 plgd ridgewood,address,address
83 ave 264 street,address,address
107 st e,address,address
and frederick douglass blvd,address,address
9 st e,address,address
108 39 48 avenue,address,address
76 st 20 avenue,address,address
jhs166 linden park,address,address
96 st e,address,address
116 st w,address,address
62 drive 97 st junction blvd,address,address
173 st horace harding expwy,address,address
99 orchard st,address,address
192 st w,address,address
6 st w,address,address
27 st e,address,address
west 97 st and west 100 st,address,address
ps205 plgd bell,address,address
100 st e,address,address
86 st w,address,address
on northern blvd 112 st,address,address
150 40 73 ave,address,address
btw 3 ave and 4 ave,address,address
35 ave 36 st,address,address
and 112 st,address,address
233 st e,address,address
2 avenue and 1 avenue,address,address
1 2 ave,address,address
84 st 3 ave,address,address
and bay parkway,address,address
29 st w,address,address
103 st w,address,address
259 st w,address,address
158 st e,address,address
old broadway,street_name,address
117 st w,address,address
227 st w,address,address
82 st e,address,address
85 street transverse,address,address
e 96 st and lexington ave,address,address
91 st e,address,address
239 st e,address,address
10 st e plgd,address,address
106 st e,address,address
1210 ave l,address,address
48 st w,address,address
columbus ave at w 100 st,address,address
29 st e plgd,address,address
route 1 and 9 south,address,address
86 rolling hill green,address,address
195 st e,address,address
42 st e,address,address
48 st e,address,address
67 st w,address,address
379 strafford road,address,address
198 st e,address,address
37 avenue 38 avenue,address,address
246 st w,address,address
btw 3 ave and 2 ave,address,address
45 ave 165 st,address,address
458 w 145 st,address,address
900 east 232 street,address,address
229 dr s,address,address
177 st e,address,address
60 st plgd,address,address
88 st e,address,address
ave and barbadoes drive,address,address
ps184 plgd flushing manor,address,address
58 st 7 queens blvd,address,address
60 road apt.3b,address,address
