value,label,count
"Annadale, Great Kills, Eltingville",neighborhood,1
Astoria,neighborhood,1
Bay Ridge,neighborhood,1
Bayside,neighborhood,1
Bedford Stuyvesant,neighborhood,1
Belmont,neighborhood,1
Bloomfield and Chelsea,neighborhood,1
Brighton Beach,neighborhood,1
Brooklyn Heights,neighborhood,1
"Brooklyn Heights, Boerum Hill, Cobble Hill",neighborhood,1
Brownsville,neighborhood,1
Central Village,neighborhood,1
Chinatown,neighborhood,1
Concourse Village,neighborhood,1
DUMBO,neighborhood,1
Downtown Brooklyn,neighborhood,1
Downtown Flushing,neighborhood,1
Downtown Jamaica,neighborhood,1
Downtown Manhattan,neighborhood,1
East Midtown,neighborhood,1
East New York,neighborhood,1
East Village,neighborhood,1
East Williamsburg,neighborhood,1
Flatbush,neighborhood,1
Flatiron District,neighborhood,1
Fordham,neighborhood,1
Fort Greene / Clinton Hill,neighborhood,1
Fort Greene/Clinton Hill,neighborhood,1
Harlem,neighborhood,1
Hudson Square,neighborhood,1
Hunts Point,neighborhood,1
Jackson Heights,neighborhood,1
Jamaica,neighborhood,1
Kingsbridge,neighborhood,1
Lincoln Center,neighborhood,1
Long Island City,neighborhood,1
Lower East Side,neighborhood,1
Manhattan Valley,neighborhood,1
Meatpacking District,neighborhood,1
Midtown,neighborhood,1
Midwood,neighborhood,1
Morris Park,neighborhood,1
"New Dorp Town, Mid-Island",neighborhood,1
Northwest section of the Bronx,neighborhood,1
Park Slope,neighborhood,1
Pelham Parkway,neighborhood,1
Prospect Heights/Park Slope,neighborhood,1
Ridgewood,neighborhood,1
SoHo,neighborhood,1
South Bronx,neighborhood,1
Springfield Gardens,neighborhood,1
Sunnyside,neighborhood,1
Sunset Park,neighborhood,1
Throggs Neck,neighborhood,1
Union Square,neighborhood,1
Upper East Side,neighborhood,1
Upper West Side,neighborhood,1
Washington Heights,neighborhood,1
West Brighton,neighborhood,1
Westchester Square,neighborhood,1
Williamsburg,neighborhood,1
Woodhaven,neighborhood,1
