value,label,count
311,city_agency,100
ACS,city_agency,534
BIC,city_agency,331
BPL,city_agency,135
CCHR,city_agency,198
CCRB,city_agency,221
CUNY,city_agency,128
DCA,city_agency,501
DCAS,city_agency,387
DCLA,city_agency,156
DCP,city_agency,121
DDC,city_agency,310
DEP,city_agency,1165
DFTA,city_agency,114
DHS,city_agency,254
DJJ,city_agency,3
DOB,city_agency,825
DOC,city_agency,289
DOE,city_agency,1292
DOF,city_agency,322
DOHMH,city_agency,895
DOI,city_agency,208
DOITT,city_agency,380
DOP,city_agency,156
DORIS,city_agency,184
DOT,city_agency,776
DPR,city_agency,846
DSNY,city_agency,2432
DYCD,city_agency,464
EDC,city_agency,194
FDNY,city_agency,1232
HHC,city_agency,135
HPD,city_agency,443
HRA,city_agency,1177
LAW,city_agency,154
LPC,city_agency,312
NYCHA,city_agency,345
NYPD,city_agency,4070
NYPL,city_agency,184
OATH,city_agency,352
OCME,city_agency,205
OEM,city_agency,233
OPS,city_agency,30
QPL,city_agency,135
SBS,city_agency,352
SCA,city_agency,95
TLC,city_agency,373
