value,label,count
 ,address_number,1
                ,address_number,1
***,address_number,1
-09,address_number,1
.93 01,address_number,1
0,address_number,1
0 7C,address_number,1
00,address_number,1
00  166B,address_number,1
00  328,address_number,1
00 100,address_number,1
00 1214,address_number,1
00 1300,address_number,1
00 132 1/2,address_number,1
00 170,address_number,1
00 2099,address_number,1
00 31 1/2,address_number,1
00 568,address_number,1
00 7C,address_number,1
00 next to 1346,address_number,1
000,address_number,1
000-00,address_number,1
0000,address_number,1
00000,address_number,1
000000,address_number,1
0000000,address_number,1
00000000,address_number,1
000000000,address_number,1
0000000000,address_number,1
0001,address_number,1
000765,address_number,1
001,address_number,1
0012,address_number,1
01,address_number,1
01011,address_number,1
02,address_number,1
1,address_number,1
1               ,address_number,1
1 1/2,address_number,1
1-10,address_number,1
1-22,address_number,1
1-25,address_number,1
1-28,address_number,1
1-30,address_number,1
1-31,address_number,1
1-40,address_number,1
1-45,address_number,1
1-48,address_number,1
1-49,address_number,1
1-50,address_number,1
1-51,address_number,1
1-54,address_number,1
1-5409,address_number,1
1-55,address_number,1
1-58,address_number,1
1-59,address_number,1
1-60,address_number,1
1-64,address_number,1
1-65,address_number,1
1-68,address_number,1
1-69,address_number,1
1-71,address_number,1
1-72,address_number,1
1-73,address_number,1
1-77,address_number,1
1-78,address_number,1
1-79,address_number,1
1-81,address_number,1
1-82,address_number,1
1-83,address_number,1
1-87,address_number,1
1-88,address_number,1
1-9,address_number,1
1-90,address_number,1
1-91,address_number,1
10,address_number,1
10              ,address_number,1
10-01,address_number,1
10-02,address_number,1
10-03,address_number,1
10-05,address_number,1
10-06,address_number,1
10-07,address_number,1
10-08,address_number,1
10-09,address_number,1
10-10,address_number,1
10-11,address_number,1
10-12,address_number,1
10-13,address_number,1
10-14,address_number,1
10-15,address_number,1
10-16,address_number,1
10-17,address_number,1
10-18,address_number,1
10-19,address_number,1
10-20,address_number,1
10-21,address_number,1
10-22,address_number,1
10-23,address_number,1
10-24,address_number,1
10-25,address_number,1
10-26,address_number,1
10-27,address_number,1
10-28,address_number,1
10-29,address_number,1
10-30,address_number,1
10-31,address_number,1
10-32,address_number,1
10-33,address_number,1
10-34,address_number,1
10-35,address_number,1
10-36,address_number,1
10-37,address_number,1
10-38,address_number,1
10-39,address_number,1
10-40,address_number,1
10-41,address_number,1
10-42,address_number,1
10-43,address_number,1
10-44,address_number,1
10-46,address_number,1
10-47,address_number,1
10-48,address_number,1
10-49,address_number,1
10-50,address_number,1
10-51,address_number,1
10-52,address_number,1
10-53,address_number,1
10-54,address_number,1
10-55,address_number,1
10-56,address_number,1
10-59,address_number,1
10-6,address_number,1
10-60,address_number,1
10-61,address_number,1
10-63,address_number,1
10-69,address_number,1
10-7,address_number,1
10-71,address_number,1
10-74,address_number,1
10-75,address_number,1
10-80,address_number,1
10-89,address_number,1
10-91,address_number,1
10-93,address_number,1
10-95,address_number,1
100,address_number,1
100             ,address_number,1
100 WEST,address_number,1
100-00,address_number,1
100-01,address_number,1
100-02,address_number,1
100-03,address_number,1
100-04,address_number,1
100-05,address_number,1
100-05          ,address_number,1
100-06,address_number,1
100-07,address_number,1
100-08,address_number,1
100-09,address_number,1
100-10,address_number,1
100-11,address_number,1
100-12,address_number,1
100-13,address_number,1
100-14,address_number,1
100-15,address_number,1
100-16,address_number,1
100-17,address_number,1
100-18,address_number,1
100-19,address_number,1
100-20,address_number,1
100-21,address_number,1
100-22,address_number,1
100-23,address_number,1
100-24,address_number,1
100-25,address_number,1
100-26,address_number,1
100-27,address_number,1
100-28,address_number,1
100-29,address_number,1
100-30,address_number,1
100-31,address_number,1
100-32,address_number,1
100-34,address_number,1
100-35,address_number,1
100-36,address_number,1
100-38,address_number,1
100-40,address_number,1
100-41,address_number,1
100-42,address_number,1
100-43,address_number,1
100-44,address_number,1
100-46,address_number,1
100-47,address_number,1
100-48,address_number,1
100-49,address_number,1
100-51,address_number,1
100-54,address_number,1
100-57,address_number,1
100-60,address_number,1
1000,address_number,1
10001,address_number,1
10002,address_number,1
10005,address_number,1
10009,address_number,1
1000A,address_number,1
1001,address_number,1
1001            ,address_number,1
10012,address_number,1
10015,address_number,1
10017,address_number,1
10018,address_number,1
10019,address_number,1
1002,address_number,1
10021,address_number,1
1003,address_number,1
1003A,address_number,1
1004,address_number,1
1005,address_number,1
1006,address_number,1
1007,address_number,1
1008,address_number,1
1009,address_number,1
100A,address_number,1
101,address_number,1
101 12,address_number,1
101-01,address_number,1
101-02,address_number,1
101-03,address_number,1
101-04,address_number,1
101-05,address_number,1
101-06,address_number,1
101-07,address_number,1
101-08,address_number,1
101-09,address_number,1
101-10,address_number,1
101-11,address_number,1
101-12,address_number,1
101-13,address_number,1
101-14,address_number,1
101-15,address_number,1
101-16,address_number,1
101-17,address_number,1
101-18,address_number,1
101-19,address_number,1
101-20,address_number,1
101-21,address_number,1
101-22,address_number,1
101-23,address_number,1
101-24,address_number,1
101-25,address_number,1
101-26,address_number,1
101-27,address_number,1
101-28,address_number,1
101-29,address_number,1
101-30,address_number,1
101-31,address_number,1
101-32,address_number,1
101-33,address_number,1
101-34,address_number,1
101-37,address_number,1
101-38,address_number,1
101-39,address_number,1
101-40,address_number,1
101-41,address_number,1
101-42,address_number,1
101-43,address_number,1
101-44,address_number,1
101-45,address_number,1
101-46,address_number,1
101-48,address_number,1
101-49,address_number,1
101-50,address_number,1
101-51,address_number,1
101-52,address_number,1
101-53,address_number,1
101-54,address_number,1
101-56,address_number,1
101-57,address_number,1
101-58,address_number,1
101-59,address_number,1
101-60,address_number,1
101-62,address_number,1
101-64,address_number,1
101-66,address_number,1
101-67,address_number,1
101-68,address_number,1
101-70,address_number,1
1010,address_number,1
10101,address_number,1
10105,address_number,1
10106,address_number,1
1011,address_number,1
10112,address_number,1
10113,address_number,1
10117,address_number,1
1012,address_number,1
10123,address_number,1
1013,address_number,1
10134,address_number,1
1014,address_number,1
1014A,address_number,1
1014B,address_number,1
1014C,address_number,1
1015,address_number,1
