value,label,count
311,city_agency,1
ACS,city_agency,9
BIC,city_agency,4
BOE,city_agency,1
BPL,city_agency,1
CCHR,city_agency,2
CCRB,city_agency,4
CUNY,city_agency,1
DCA,city_agency,7
DCAS,city_agency,15
DCLA,city_agency,4
DCP,city_agency,3
DDC,city_agency,3
DEP,city_agency,7
DFTA,city_agency,4
DHS,city_agency,6
DOB,city_agency,6
DOC,city_agency,8
DOE,city_agency,7
DOF,city_agency,7
DOHMH,city_agency,10
DOI,city_agency,3
DOP,city_agency,5
DORIS,city_agency,5
DOT,city_agency,8
DPR,city_agency,9
DSNY,city_agency,5
DYCD,city_agency,7
DoITT,city_agency,8
EDC,city_agency,5
FDNY,city_agency,5
HPD,city_agency,6
HRA,city_agency,9
LAW,city_agency,5
LPC,city_agency,4
NYCEM,city_agency,5
NYCHA,city_agency,10
NYCHH,city_agency,3
NYPD,city_agency,6
NYPL,city_agency,1
OATH,city_agency,2
OCME,city_agency,7
QPL,city_agency,1
SBS,city_agency,5
SCA,city_agency,4
TLC,city_agency,5
