value,label,count
ALPHABET CITY,neighborhood,1
ARROCHAR,neighborhood,1
ASTORIA,neighborhood,1
BATH BEACH,neighborhood,1
BATHGATE,neighborhood,1
BAY RIDGE,neighborhood,1
BAYCHESTER,neighborhood,1
BAYSIDE,neighborhood,1
BEDFORD PARK/NORWOOD,neighborhood,1
BEDFORD STUYVESANT,neighborhood,1
BELMONT,neighborhood,1
BENSONHURST,neighborhood,1
BERGEN BEACH,neighborhood,1
BOERUM HILL,neighborhood,1
BOROUGH PARK,neighborhood,1
BRIARWOOD,neighborhood,1
BRIGHTON BEACH,neighborhood,1
BRONX PARK,neighborhood,1
BRONXDALE,neighborhood,1
BROOKLYN HEIGHTS,neighborhood,1
BROWNSVILLE,neighborhood,1
BULLS HEAD,neighborhood,1
BUSHWICK,neighborhood,1
CAMBRIA HEIGHTS,neighborhood,1
CANARSIE,neighborhood,1
CARROLL GARDENS,neighborhood,1
CASTLE HILL/UNIONPORT,neighborhood,1
CHELSEA,neighborhood,1
CHINATOWN,neighborhood,1
CIVIC CENTER,neighborhood,1
CLINTON,neighborhood,1
CLINTON HILL,neighborhood,1
CLOVE LAKES,neighborhood,1
CO-OP CITY,neighborhood,1
COBBLE HILL,neighborhood,1
COBBLE HILL-WEST,neighborhood,1
CONCORD,neighborhood,1
CONCORD-FOX HILLS,neighborhood,1
CONEY ISLAND,neighborhood,1
CORONA,neighborhood,1
CROTONA PARK,neighborhood,1
CROWN HEIGHTS,neighborhood,1
CYPRESS HILLS,neighborhood,1
DONGAN HILLS,neighborhood,1
DONGAN HILLS-OLD TOWN,neighborhood,1
DOUGLASTON,neighborhood,1
DOWNTOWN-FULTON FERRY,neighborhood,1
DOWNTOWN-FULTON MALL,neighborhood,1
DOWNTOWN-METROTECH,neighborhood,1
DYKER HEIGHTS,neighborhood,1
EAST ELMHURST,neighborhood,1
EAST NEW YORK,neighborhood,1
EAST TREMONT,neighborhood,1
EAST VILLAGE,neighborhood,1
ELMHURST,neighborhood,1
ELTINGVILLE,neighborhood,1
FAR ROCKAWAY,neighborhood,1
FASHION,neighborhood,1
FIELDSTON,neighborhood,1
FINANCIAL,neighborhood,1
FLATBUSH-CENTRAL,neighborhood,1
FLATBUSH-EAST,neighborhood,1
FLATBUSH-LEFFERTS GARDEN,neighborhood,1
FLATBUSH-NORTH,neighborhood,1
FLATIRON,neighborhood,1
FLATLANDS,neighborhood,1
FLORAL PARK,neighborhood,1
FLUSHING-NORTH,neighborhood,1
FLUSHING-SOUTH,neighborhood,1
FORDHAM,neighborhood,1
FOREST HILLS,neighborhood,1
FORT GREENE,neighborhood,1
FRESH MEADOWS,neighborhood,1
GLEN OAKS,neighborhood,1
GLENDALE,neighborhood,1
GOWANUS,neighborhood,1
GRAMERCY,neighborhood,1
GRANT CITY,neighborhood,1
GRASMERE,neighborhood,1
GRAVESEND,neighborhood,1
GREAT KILLS,neighborhood,1
GREAT KILLS-BAY TERRACE,neighborhood,1
GREENPOINT,neighborhood,1
GREENWICH VILLAGE-CENTRAL,neighborhood,1
GREENWICH VILLAGE-WEST,neighborhood,1
GRYMES HILL,neighborhood,1
HAMMELS,neighborhood,1
HARLEM-CENTRAL,neighborhood,1
