value,label,count
00000,zip_code,1
01748,zip_code,1
01810,zip_code,1
01830,zip_code,1
01841,zip_code,1
01960,zip_code,1
02061,zip_code,1
02061-5055,zip_code,1
02359,zip_code,1
02360,zip_code,1
02360-4807,zip_code,1
02459,zip_code,1
02494,zip_code,1
02556-1965,zip_code,1
03062,zip_code,1
06093,zip_code,1
06516,zip_code,1
06901,zip_code,1
07001,zip_code,1
07004,zip_code,1
07008,zip_code,1
07012,zip_code,1
07014,zip_code,1
07015,zip_code,1
07020,zip_code,1
07021,zip_code,1
07024,zip_code,1
07030,zip_code,1
07032,zip_code,1
07036,zip_code,1
07047,zip_code,1
07070,zip_code,1
07072,zip_code,1
07082,zip_code,1
07086,zip_code,1
07087,zip_code,1
07094,zip_code,1
07095,zip_code,1
07101-4133,zip_code,1
07102,zip_code,1
07103,zip_code,1
07111,zip_code,1
07114,zip_code,1
07192-5039,zip_code,1
07201,zip_code,1
07203,zip_code,1
07208,zip_code,1
07302,zip_code,1
07304,zip_code,1
07305,zip_code,1
07306,zip_code,1
07307,zip_code,1
07310,zip_code,1
07407,zip_code,1
07410,zip_code,1
07424,zip_code,1
07446,zip_code,1
07446-0585,zip_code,1
07481,zip_code,1
07601,zip_code,1
07604,zip_code,1
07631,zip_code,1
07632,zip_code,1
07632-0274,zip_code,1
07644,zip_code,1
07660,zip_code,1
07660-0511,zip_code,1
07663,zip_code,1
07670,zip_code,1
07724-0500,zip_code,1
07726,zip_code,1
07747,zip_code,1
07801,zip_code,1
07840,zip_code,1
07920,zip_code,1
07927,zip_code,1
07945,zip_code,1
07962,zip_code,1
08002,zip_code,1
08002-3053,zip_code,1
08003,zip_code,1
08043,zip_code,1
08083,zip_code,1
08086,zip_code,1
08260,zip_code,1
08650-4907,zip_code,1
08691,zip_code,1
08701,zip_code,1
08721,zip_code,1
08736,zip_code,1
08873,zip_code,1
08904,zip_code,1
10000,zip_code,1
10001,zip_code,1
10002,zip_code,1
10003,zip_code,1
10004,zip_code,1
10005,zip_code,1
10006,zip_code,1
10007,zip_code,1
10009,zip_code,1
10010,zip_code,1
10011,zip_code,1
10012,zip_code,1
10013,zip_code,1
10014,zip_code,1
10015,zip_code,1
10016,zip_code,1
10017,zip_code,1
10018,zip_code,1
10019,zip_code,1
10020,zip_code,1
10021,zip_code,1
10022,zip_code,1
10023,zip_code,1
10024,zip_code,1
10025,zip_code,1
10026,zip_code,1
10027,zip_code,1
10028,zip_code,1
10029,zip_code,1
10030,zip_code,1
10031,zip_code,1
10032,zip_code,1
10033,zip_code,1
10034,zip_code,1
10035,zip_code,1
10036,zip_code,1
10037,zip_code,1
10038,zip_code,1
10039,zip_code,1
10040,zip_code,1
10044,zip_code,1
10048,zip_code,1
10059,zip_code,1
10065,zip_code,1
10069,zip_code,1
10075,zip_code,1
10087,zip_code,1
10116,zip_code,1
10116-1702,zip_code,1
10128,zip_code,1
10163,zip_code,1
10249,zip_code,1
10268-0996,zip_code,1
10280,zip_code,1
10281,zip_code,1
10282,zip_code,1
10300,zip_code,1
10301,zip_code,1
10302,zip_code,1
10303,zip_code,1
10304,zip_code,1
10305,zip_code,1
10306,zip_code,1
10307,zip_code,1
10308,zip_code,1
10309,zip_code,1
10310,zip_code,1
10312,zip_code,1
10314,zip_code,1
10370,zip_code,1
10430,zip_code,1
10451,zip_code,1
10452,zip_code,1
10453,zip_code,1
10454,zip_code,1
10455,zip_code,1
10456,zip_code,1
10457,zip_code,1
10458,zip_code,1
10459,zip_code,1
10460,zip_code,1
10461,zip_code,1
10462,zip_code,1
10463,zip_code,1
10464,zip_code,1
10465,zip_code,1
10466,zip_code,1
10467,zip_code,1
10468,zip_code,1
10469,zip_code,1
10470,zip_code,1
10471,zip_code,1
10472,zip_code,1
10473,zip_code,1
10474,zip_code,1
10475,zip_code,1
10502,zip_code,1
10509-5709,zip_code,1
10523,zip_code,1
10526,zip_code,1
10530,zip_code,1
10532,zip_code,1
10533,zip_code,1
