value,label,count
10 AVENUE,street_name,1
10 STREET,street_name,1
100 STREET,street_name,1
101 AVENUE,street_name,1
101 STREET,street_name,1
102 AVENUE,street_name,1
102 ROAD,street_name,1
102 STREET,street_name,1
103 AVENUE,street_name,1
103 STREET,street_name,1
104 AVENUE,street_name,1
104 ROAD,street_name,1
104 STREET,street_name,1
105 STREET,street_name,1
106 AVENUE,street_name,1
106 STREET,street_name,1
107 AVENUE,street_name,1
107 STREET,street_name,1
108 AVENUE,street_name,1
108 STREET,street_name,1
109 AVENUE,street_name,1
109 STREET,street_name,1
11 AVENUE,street_name,1
11 STREET,street_name,1
110 STREET,street_name,1
111 AVENUE,street_name,1
111 ROAD,street_name,1
111 STREET,street_name,1
112 AVENUE,street_name,1
112 PLACE,street_name,1
112 STREET,street_name,1
113 AVENUE,street_name,1
113 STREET,street_name,1
114 STREET,street_name,1
115 AVENUE,street_name,1
115 ROAD,street_name,1
115 STREET,street_name,1
116 AVENUE,street_name,1
116 ROAD,street_name,1
116 STREET,street_name,1
117 STREET,street_name,1
118 AVENUE,street_name,1
118 ROAD,street_name,1
118 STREET,street_name,1
119 AVENUE,street_name,1
119 ROAD,street_name,1
12 AVENUE,street_name,1
12 ROAD,street_name,1
12 STREET,street_name,1
120 AVENUE,street_name,1
120 STREET,street_name,1
121 AVENUE,street_name,1
121 STREET,street_name,1
122 AVENUE,street_name,1
122 STREET,street_name,1
123 STREET,street_name,1
124 STREET,street_name,1
125 AVENUE,street_name,1
125 STREET,street_name,1
126 AVENUE,street_name,1
126 STREET,street_name,1
127 STREET,street_name,1
128 AVENUE,street_name,1
128 ROAD,street_name,1
128 STREET,street_name,1
129 AVENUE,street_name,1
129 STREET,street_name,1
13 AVENUE,street_name,1
13 ROAD,street_name,1
13 STREET,street_name,1
130 AVENUE,street_name,1
130 STREET,street_name,1
131 AVENUE,street_name,1
131 STREET,street_name,1
132 STREET,street_name,1
133 AVENUE,street_name,1
133 PLACE,street_name,1
133 ROAD,street_name,1
133 STREET,street_name,1
134 AVENUE,street_name,1
134 STREET,street_name,1
135 AVENUE,street_name,1
135 STREET,street_name,1
136 STREET,street_name,1
137 AVENUE,street_name,1
137 STREET,street_name,1
138 AVENUE,street_name,1
138 STREET,street_name,1
139 ROAD,street_name,1
139 STREET,street_name,1
14 AVENUE,street_name,1
14 ROAD,street_name,1
14 STREET,street_name,1
140 AVENUE,street_name,1
140 STREET,street_name,1
141 AVENUE,street_name,1
141 STREET,street_name,1
142 AVENUE,street_name,1
142 STREET,street_name,1
143 AVENUE,street_name,1
143 ROAD,street_name,1
143 STREET,street_name,1
144 AVENUE,street_name,1
144 ROAD,street_name,1
144 STREET,street_name,1
145 ROAD,street_name,1
145 STREET,street_name,1
146 AVENUE,street_name,1
146 ROAD,street_name,1
146 TERRACE,street_name,1
147 AVENUE,street_name,1
147 STREET,street_name,1
148 STREET,street_name,1
149 AVENUE,street_name,1
149 PLACE,street_name,1
149 ROAD,street_name,1
149 STREET,street_name,1
15 AVENUE,street_name,1
15 DRIVE,street_name,1
15 ROAD,street_name,1
15 STREET,street_name,1
150 AVENUE,street_name,1
150 PLACE,street_name,1
150 STREET,street_name,1
151 STREET,street_name,1
152 STREET,street_name,1
153 AVENUE,street_name,1
153 LANE,street_name,1
153 PLACE,street_name,1
153 STREET,street_name,1
154 STREET,street_name,1
155 AVENUE,street_name,1
155 STREET,street_name,1
156 AVENUE,street_name,1
156 STREET,street_name,1
157 AVENUE,street_name,1
157 STREET,street_name,1
158 AVENUE,street_name,1
158 STREET,street_name,1
159 AVENUE,street_name,1
159 STREET,street_name,1
16 AVENUE,street_name,1
16 ROAD,street_name,1
16 STREET,street_name,1
160 AVENUE,street_name,1
160 STREET,street_name,1
161 AVENUE,street_name,1
161 STREET,street_name,1
162 AVENUE,street_name,1
162 STREET,street_name,1
163 AVENUE,street_name,1
163 STREET,street_name,1
164 AVENUE,street_name,1
164 STREET,street_name,1
165 AVENUE,street_name,1
165 STREET,street_name,1
166 STREET,street_name,1
167 STREET,street_name,1
168 STREET,street_name,1
169 STREET,street_name,1
17 AVENUE,street_name,1
17 ROAD,street_name,1
170 STREET,street_name,1
171 STREET,street_name,1
172 STREET,street_name,1
173 STREET,street_name,1
174 STREET,street_name,1
175 STREET,street_name,1
176 STREET,street_name,1
177 STREET,street_name,1
178 STREET,street_name,1
18 AVENUE,street_name,1
180 STREET,street_name,1
181 STREET,street_name,1
182 PLACE,street_name,1
182 STREET,street_name,1
183 STREET,street_name,1
184 STREET,street_name,1
185 STREET,street_name,1
186 STREET,street_name,1
187 STREET,street_name,1
188 STREET,street_name,1
189 STREET,street_name,1
19 AVENUE,street_name,1
19 ROAD,street_name,1
19 STREET,street_name,1
190 STREET,street_name,1
191 STREET,street_name,1
192 STREET,street_name,1
193 STREET,street_name,1
194 STREET,street_name,1
195 STREET,street_name,1
196 STREET,street_name,1
197 STREET,street_name,1
198 STREET,street_name,1
199 STREET,street_name,1
2 AVENUE,street_name,1
2 PLACE,street_name,1
2 STREET,street_name,1
20 AVENUE,street_name,1
20 ROAD,street_name,1
20 STREET,street_name,1
200 STREET,street_name,1
201 STREET,street_name,1
202 STREET,street_name,1
203 STREET,street_name,1
204 STREET,street_name,1
205 STREET,street_name,1
207 STREET,street_name,1
208 STREET,street_name,1
209 STREET,street_name,1
21 AVENUE,street_name,1
21 DRIVE,street_name,1
21 ROAD,street_name,1
21 STREET,street_name,1
210 STREET,street_name,1
211 STREET,street_name,1
212 STREET,street_name,1
213 STREET,street_name,1
214 PLACE,street_name,1
214 STREET,street_name,1
215 STREET,street_name,1
216 STREET,street_name,1
217 STREET,street_name,1
218 PLACE,street_name,1
218 STREET,street_name,1
219 STREET,street_name,1
22 AVENUE,street_name,1
22 STREET,street_name,1
220 STREET,street_name,1
221 STREET,street_name,1
222 STREET,street_name,1
223 PLACE,street_name,1
223 STREET,street_name,1
224 STREET,street_name,1
225 STREET,street_name,1
226 STREET,street_name,1
227 STREET,street_name,1
228 STREET,street_name,1
229 STREET,street_name,1
23 AVENUE,street_name,1
23 ROAD,street_name,1
23 STREET,street_name,1
230 STREET,street_name,1
231 STREET,street_name,1
232 STREET,street_name,1
233 STREET,street_name,1
234 STREET,street_name,1
235 STREET,street_name,1
236 STREET,street_name,1
237 STREET,street_name,1
238 STREET,street_name,1
24 AVENUE,street_name,1
24 ROAD,street_name,1
24 STREET,street_name,1
241 STREET,street_name,1
243 STREET,street_name,1
244 STREET,street_name,1
245 LANE,street_name,1
246 PLACE,street_name,1
247 STREET,street_name,1
248 STREET,street_name,1
249 STREET,street_name,1
25 AVENUE,street_name,1
25 DRIVE,street_name,1
25 ROAD,street_name,1
25 STREET,street_name,1
250 STREET,street_name,1
251 STREET,street_name,1
252 STREET,street_name,1
253 STREET,street_name,1
254 STREET,street_name,1
255 STREET,street_name,1
256 STREET,street_name,1
257 STREET,street_name,1
258 STREET,street_name,1
259 STREET,street_name,1
26 AVENUE,street_name,1
260 STREET,street_name,1
261 STREET,street_name,1
262 STREET,street_name,1
263 STREET,street_name,1
264 STREET,street_name,1
265 STREET,street_name,1
266 STREET,street_name,1
267 STREET,street_name,1
268 STREET,street_name,1
269 STREET,street_name,1
27 AVENUE,street_name,1
27 STREET,street_name,1
270 STREET,street_name,1
271 STREET,street_name,1
28 AVENUE,street_name,1
28 STREET,street_name,1
29 AVENUE,street_name,1
29 STREET,street_name,1
3 AVENUE,street_name,1
3 PLACE,street_name,1
3 STREET,street_name,1
30 AVENUE,street_name,1
30 PLACE,street_name,1
30 ROAD,street_name,1
30 STREET,street_name,1
31 AVENUE,street_name,1
31 DRIVE,street_name,1
31 ROAD,street_name,1
31 STREET,street_name,1
32 AVENUE,street_name,1
32 STREET,street_name,1
33 AVENUE,street_name,1
33 ROAD,street_name,1
33 STREET,street_name,1
34 AVENUE,street_name,1
34 ROAD,street_name,1
34 STREET,street_name,1
35 AVENUE,street_name,1
35 STREET,street_name,1
