value,label,count
 ACURA,car_make,1
 FORD,car_make,1
 FORD ,car_make,1
 HONDA,car_make,1
 LEXUS,car_make,1
 MAZDA,car_make,1
 MINI,car_make,1
 MITSB,car_make,1
 NISS ,car_make,1
 NISSA,car_make,1
 NVA,car_make,1
00AUDI,car_make,1
01FORD,car_make,1
05 GMC,car_make,1
2000  ,car_make,1
2001,car_make,1
2003  ,car_make,1
2006  ,car_make,1
200R,car_make,1
4D,car_make,1
70    ,car_make,1
86BE/M,car_make,1
89 BMW,car_make,1
92 CAD,car_make,1
93PONT,car_make,1
98 GMC,car_make,1
98MAZD,car_make,1
ABARTH,car_make,1
ACCURA,car_make,1
ACUA,car_make,1
ACUR,car_make,1
ACUR  ,car_make,1
ACURA,car_make,1
ACURA ,car_make,1
ACURA6,car_make,1
ACURAA,car_make,1
ACURAB,car_make,1
ACURAG,car_make,1
ACURAS,car_make,1
ACURRA,car_make,1
ADVENT,car_make,1
AEGIR,car_make,1
AEIAL ,car_make,1
AEROMA,car_make,1
AIM,car_make,1
ALERO,car_make,1
ALERO ,car_make,1
ALFA,car_make,1
ALFA R,car_make,1
ALFARO,car_make,1
ALLEGR,car_make,1
ALMAC,car_make,1
ALPHA ,car_make,1
ALPINA,car_make,1
ALTIMA,car_make,1
ALUMAC,car_make,1
AM GE ,car_make,1
AMBULE,car_make,1
AMC   ,car_make,1
AMIGO,car_make,1
AMTRAI,car_make,1
AMTRAM,car_make,1
AMTRAN,car_make,1
AOTAO,car_make,1
APACHE,car_make,1
APILIA,car_make,1
APRII,car_make,1
APRILA,car_make,1
APRILI,car_make,1
APRILL,car_make,1
ARAVEL,car_make,1
ARGOCY,car_make,1
ARMY  ,car_make,1
ASTONM,car_make,1
ASTRO ,car_make,1
AUAI  ,car_make,1
AUD,car_make,1
AUDDI,car_make,1
AUDI,car_make,1
AUDI  ,car_make,1
AUDI G,car_make,1
AUDI1,car_make,1
AUDIBL,car_make,1
AUDIE,car_make,1
AUDIE ,car_make,1
AUDII,car_make,1
AUDIK,car_make,1
AUDIO,car_make,1
AUDIPU,car_make,1
AUFI  ,car_make,1
AUGDI ,car_make,1
AULTIM,car_make,1
AURA  ,car_make,1
AURORA,car_make,1
AUSTIN,car_make,1
AUTOCA,car_make,1
AVANTI,car_make,1
AVE   ,car_make,1
AVENUE,car_make,1
AZTEC,car_make,1
B M W ,car_make,1
B.M.W,car_make,1
B.M.W ,car_make,1
B.M.W.,car_make,1
BA/LIN,car_make,1
BANDIT,car_make,1
BATAVU,car_make,1
BAYLIN,car_make,1
BE/BE,car_make,1
BELL B,car_make,1
BENELL,car_make,1
BENT  ,car_make,1
BENTLE,car_make,1
BENTLY,car_make,1
BENZ,car_make,1
BENZ  ,car_make,1
BENZE ,car_make,1
BENZES,car_make,1
BENZHO,car_make,1
BG    ,car_make,1
BIG CH,car_make,1
BIGTEX,car_make,1
BIKE,car_make,1
BIN   ,car_make,1
BITSUB,car_make,1
BLACK ,car_make,1
BLBIRD,car_make,1
BLUE  ,car_make,1
BLUE B,car_make,1
BLUEBI,car_make,1
BLUEBL,car_make,1
BM,car_make,1
BME   ,car_make,1
BMS,car_make,1
BMV,car_make,1
BMW,car_make,1
BMW   ,car_make,1
BMW SI,car_make,1
BMW Y,car_make,1
BMWD,car_make,1
BMWV,car_make,1
BMW`,car_make,1
BMX,car_make,1
BMX   ,car_make,1
BNW   ,car_make,1
BOAT,car_make,1
BOAT  ,car_make,1
BOBCAT,car_make,1
BOICK ,car_make,1
BOMBAD,car_make,1
BOOM,car_make,1
BOX   ,car_make,1
BOX TR,car_make,1
BROWN ,car_make,1
BS,car_make,1
BUCK  ,car_make,1
BUD,car_make,1
BUDD  ,car_make,1
BUELL,car_make,1
BUELL ,car_make,1
BUICK,car_make,1
BUICK ,car_make,1
BUICK1,car_make,1
BUICKT,car_make,1
BUICK`,car_make,1
BUIK,car_make,1
BUJICK,car_make,1
BUKE  ,car_make,1
BUS,car_make,1
BUS   ,car_make,1
BUSS  ,car_make,1
BUYLIN,car_make,1
BWM,car_make,1
BWN,car_make,1
BWW   ,car_make,1
CAD,car_make,1
CAD   ,car_make,1
CAD.  ,car_make,1
CADAI ,car_make,1
CADAL ,car_make,1
CADALC,car_make,1
CADALI,car_make,1
CADALL,car_make,1
CADD,car_make,1
CADDDY,car_make,1
CADDI ,car_make,1
CADDIE,car_make,1
CADDIL,car_make,1
CADDLC,car_make,1
CADDLI,car_make,1
CADDY,car_make,1
CADDY ,car_make,1
CADDY.,car_make,1
CADI,car_make,1
CADI  ,car_make,1
CADI11,car_make,1
CADIAL,car_make,1
CADIC,car_make,1
CADICA,car_make,1
CADIKA,car_make,1
CADIL,car_make,1
CADIL ,car_make,1
CADILA,car_make,1
CADILC,car_make,1
CADILI,car_make,1
CADILL,car_make,1
CADITL,car_make,1
