value,label,count
47 AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL (THE),school_name,1
51ST AVENUE ACADEMY (THE PATH TO ACADEMIC EXCELLENCE),school_name,1
A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,school_name,1
ABRAHAM LINCOLN HIGH SCHOOL,school_name,1
ACAD FOR COLLEGE PREP & CAREER EXPLORATION: A COLLEGE BOARD SCH,school_name,1
ACADEMY FOR CAREERS IN TELEVISION AND FILM,school_name,1
ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,school_name,1
ACADEMY FOR ENVIRONMENTAL LEADERSHIP,school_name,1
ACADEMY FOR EXCELLENCE THROUGH THE ARTS (THE),school_name,1
ACADEMY FOR HEALTH CAREERS,school_name,1
ACADEMY FOR LANGUAGE AND TECHNOLOGY,school_name,1
ACADEMY FOR NEW AMERICANS,school_name,1
ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,school_name,1
ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP,school_name,1
ACADEMY FOR SOCIAL ACTION-A COLLEGE BOARD SCHOOL,school_name,1
ACADEMY FOR YOUNG WRITERS,school_name,1
ACADEMY OF AMERICAN STUDIES,school_name,1
ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,school_name,1
ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,school_name,1
ACADEMY OF FINANCE AND ENTERPRISE,school_name,1
ACADEMY OF HOSPITALITY AND TOURISM,school_name,1
ACADEMY OF INNOVATIVE TECHNOLOGY,school_name,1
ACADEMY OF PUBLIC RELATIONS,school_name,1
ACADEMY OF TALENTED SCHOLARS (THE),school_name,1
ACADEMY OF THE ARTS (THE),school_name,1
ACADEMY OF URBAN PLANNING,school_name,1
ACADEY OF MEDICAL TECHNOLOGY - A COLLEGE BOARD SCHOOL,school_name,1
ACCION ACADEMY,school_name,1
ACORN COMMUNITY HIGH SCHOOL,school_name,1
ACTIVE LEARNING ELEMENTARY SCHOOL (THE),school_name,1
ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS,school_name,1
ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,school_name,1
ALL CITY LEADERSHIP SECONDARY SCHOOL,school_name,1
AMERICAN SIGN LANGUAGE & ENGLISH SECONDARY SCHOOL,school_name,1
AMISTAD DUAL LANGUAGE SCHOOL,school_name,1
AMPARK NEIGHBORHOOD,school_name,1
ANDERSON SCHOOL (THE),school_name,1
ANDRIES HUDDE SCHOOL,school_name,1
ANGELO PATRI MIDDLE SCHOOL (THE),school_name,1
ANTONIA PANTOJA PREPARATORY ACADEMY,school_name,1
ARCHER ELEMENTARY SCHOOL,school_name,1
"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",school_name,1
ART AND DESIGN HIGH SCHOOL,school_name,1
ARTS AND MEDIA PREPARATORY ACADEMY,school_name,1
ARTURO A SCHOMBURG SATELLITE ACADEMY BRONX,school_name,1
ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,school_name,1
ASPIRE PREPARATORY MIDDLE SCHOOL,school_name,1
ASTOR COLLEGIATE ACADEMY,school_name,1
AUGUST MARTIN HIGH SCHOOL,school_name,1
AUTOMOTIVE HIGH SCHOOL,school_name,1
AVIATION CAREER AND TECHNICAL HIGH SCHOOL,school_name,1
BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,school_name,1
BALLET TECH/NYC PS FOR DANCE ,school_name,1
BANANA KELLY HIGH SCHOOL,school_name,1
BARD HIGH SCHOOL EARLY COLLEGE,school_name,1
BARD HIGH SCHOOL EARLY COLLEGE QUEENS,school_name,1
BARUCH COLLEGE CAMPUS HIGH SCHOOL,school_name,1
BATTERY PARK CITY SCHOOL,school_name,1
BAYCHESTER ACADEMY,school_name,1
BAYCHESTER MIDDLE SCHOOL,school_name,1
BAYSIDE HIGH SCHOOL,school_name,1
BEACH CHANNEL HIGH SCHOOL,school_name,1
BEACON HIGH SCHOOL,school_name,1
BEDFORD ACADEMY HIGH SCHOOL,school_name,1
BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,school_name,1
