value,label,count
4 - color logo,color,1
Black,color,1
Black and Black,color,1
Black and Gold,color,1
Blue,color,1
Blue Periwinkle,color,1
Brown,color,1
Clear,color,1
Gold,color,1
Gold Apple Pin,color,1
Gray,color,1
Green,color,1
Green Apple Pin,color,1
Hunter Green,color,1
Jade,color,1
Multicolor,color,1
Navy,color,1
Navy with Orange Logo,color,1
Navy with White Logo,color,1
Orange,color,1
Pink,color,1
Red,color,1
Red Apple Pin,color,1
Royal Blue,color,1
Silver,color,1
Turquoise,color,1
White,color,1
