value,label,count
(UPS),car_make,1
+,car_make,1
",E/BE",car_make,1
.,car_make,1
.ISUZ,car_make,1
.LA/R,car_make,1
00,car_make,1
00CL,car_make,1
02,car_make,1
03,car_make,1
032,car_make,1
04,car_make,1
06,car_make,1
07,car_make,1
073,car_make,1
1,car_make,1
10,car_make,1
11,car_make,1
111,car_make,1
11152,car_make,1
1142,car_make,1
12,car_make,1
12311,car_make,1
127,car_make,1
132,car_make,1
14222,car_make,1
144,car_make,1
1442,car_make,1
145,car_make,1
150,car_make,1
1515,car_make,1
175,car_make,1
1802,car_make,1
19X41,car_make,1
1NF,car_make,1
1R,car_make,1
1T1U0,car_make,1
2,car_make,1
2004,car_make,1
2005,car_make,1
2006,car_make,1
201,car_make,1
2010,car_make,1
2013,car_make,1
21,car_make,1
2101K,car_make,1
22CB,car_make,1
272,car_make,1
2AU,car_make,1
2CHRY,car_make,1
2H84,car_make,1
2MB,car_make,1
2OR,car_make,1
2SCII,car_make,1
2UIS,car_make,1
2W6,car_make,1
2WTF,car_make,1
3,car_make,1
30,car_make,1
31RRR,car_make,1
31SRI,car_make,1
33OI,car_make,1
34I71,car_make,1
36621,car_make,1
373G7,car_make,1
379,car_make,1
38,car_make,1
3FNM,car_make,1
3H3,car_make,1
3HNM,car_make,1
3IM,car_make,1
3L91K,car_make,1
3YANN,car_make,1
4,car_make,1
4 MAT,car_make,1
4 SDN,car_make,1
40241,car_make,1
41120,car_make,1
414,car_make,1
41N2,car_make,1
44111,car_make,1
45,car_make,1
4D,car_make,1
4D TR,car_make,1
4R,car_make,1
4T,car_make,1
4UDI,car_make,1
5 STA,car_make,1
52E,car_make,1
53SXI,car_make,1
5H75,car_make,1
5KM9,car_make,1
5SUZY,car_make,1
5WH,car_make,1
6FR L,car_make,1
7,car_make,1
7 UP,car_make,1
711,car_make,1
712L1,car_make,1
72122,car_make,1
724,car_make,1
72W,car_make,1
7AT,car_make,1
7MW,car_make,1
7N3Y,car_make,1
7REGM,car_make,1
7RLR,car_make,1
7UP T,car_make,1
8,car_make,1
8211,car_make,1
878,car_make,1
8JIRY,car_make,1
9A,car_make,1
9AT,car_make,1
A,car_make,1
A JAX,car_make,1
A MAR,car_make,1
A R,car_make,1
A.Z.,car_make,1
A6 GU,car_make,1
AB,car_make,1
ABART,car_make,1
ABCS,car_make,1
ABDIE,car_make,1
ABOTS,car_make,1
ABS,car_make,1
AC,car_make,1
AC UR,car_make,1
AC/A,car_make,1
ACAD,car_make,1
ACADA,car_make,1
ACADE,car_make,1
ACARA,car_make,1
ACBER,car_make,1
ACC,car_make,1
ACCA,car_make,1
ACCO,car_make,1
ACCOA,car_make,1
ACCR,car_make,1
ACD,car_make,1
ACDA,car_make,1
ACEDE,car_make,1
ACER,car_make,1
ACIDE,car_make,1
ACIDI,car_make,1
ACIER,car_make,1
ACIRA,car_make,1
ACL,car_make,1
ACLI,car_make,1
ACM,car_make,1
ACRU,car_make,1
ACTER,car_make,1
ACUA,car_make,1
ACUCR,car_make,1
ACUDI,car_make,1
ACUER,car_make,1
ACUI,car_make,1
ACUID,car_make,1
ACUM,car_make,1
ACUR,car_make,1
ACURA,car_make,1
ACURC,car_make,1
ACURE,car_make,1
ACURH,car_make,1
ACURN,car_make,1
ACURO,car_make,1
ACUUR,car_make,1
ACYRA,car_make,1
ADAL,car_make,1
ADCUR,car_make,1
ADDI,car_make,1
ADHOU,car_make,1
ADI,car_make,1
ADIL,car_make,1
ADILL,car_make,1
ADIOR,car_make,1
ADLY,car_make,1
ADMAN,car_make,1
ADOL,car_make,1
ADU,car_make,1
ADUDI,car_make,1
ADUN,car_make,1
ADUSS,car_make,1
ADVA,car_make,1
ADVAN,car_make,1
AE,car_make,1
AEINT,car_make,1
AEPRI,car_make,1
AERO,car_make,1
AEROC,car_make,1
AFGO,car_make,1
AFIN,car_make,1
AGC,car_make,1
AGGRE,car_make,1
AGIP,car_make,1
AGMC,car_make,1
AGRAM,car_make,1
AGUST,car_make,1
AIB,car_make,1
AIDO,car_make,1
AIIII,car_make,1
AINO,car_make,1
AIR,car_make,1
AIRST,car_make,1
