value,label,count
-ARBLE HILL AVE,street_name,1
.EAST 14TH ST,street_name,1
.ROSS ST,street_name,1
.UNIVERSITY.AVE,street_name,1
0,street_name,1
0TREET CODE NOT VALID OR STREET,street_name,1
1    STREET,street_name,1
1 AV,street_name,1
1 AVE,street_name,1
1 AVENUE,street_name,1
1 COURT,street_name,1
1 PLACE,street_name,1
1 ST,street_name,1
1 STREET,street_name,1
10 AV,street_name,1
10 AVE,street_name,1
10 AVENUE,street_name,1
10 ROAD,street_name,1
10 ST,street_name,1
10 STREET,street_name,1
100 AVENUE,street_name,1
100 DRIVE,street_name,1
100 ST,street_name,1
100 STREET,street_name,1
100TH STREET,street_name,1
101  STREET,street_name,1
101 AV,street_name,1
101 AVE,street_name,1
101 AVENUE,street_name,1
101 ROAD,street_name,1
101 ST,street_name,1
101 STREET,street_name,1
101ST AVE,street_name,1
101ST AVENUE,street_name,1
101ST ST,street_name,1
101ST STREET,street_name,1
102 AVE,street_name,1
102 AVENUE,street_name,1
102 RD,street_name,1
102 ROAD,street_name,1
102 ST,street_name,1
102 STREET,street_name,1
102ND AVE,street_name,1
102ND ST,street_name,1
102ND STREET,street_name,1
103 AVENUE,street_name,1
103 DRIVE,street_name,1
103 ROAD,street_name,1
103 ST,street_name,1
103 STREET,street_name,1
103RD AVENUE,street_name,1
103RD ST,street_name,1
103RD STREET,street_name,1
104 AVE,street_name,1
104 AVENUE,street_name,1
104 ROAD,street_name,1
104 ST,street_name,1
104 STREET,street_name,1
104TH ST,street_name,1
104TH STREET,street_name,1
104TH.AVE,street_name,1
105 AVE,street_name,1
105 AVENUE,street_name,1
105 ST,street_name,1
105 STREET,street_name,1
105TH ST,street_name,1
106 AVENUE,street_name,1
106 ROAD,street_name,1
106 STREET,street_name,1
106TH AVENUE,street_name,1
107 AVENUE,street_name,1
107 ST,street_name,1
107 STREET,street_name,1
107TH AVENUE,street_name,1
108  AVE,street_name,1
108 AVE,street_name,1
108 AVENUE,street_name,1
108 DRIVE,street_name,1
108 ROAD,street_name,1
108 ST,street_name,1
108 STREET,street_name,1
108STREET,street_name,1
108TH AVENUE,street_name,1
108TH ST,street_name,1
108TH STREET,street_name,1
109 AVE,street_name,1
109 AVENUE,street_name,1
109 DRIVE,street_name,1
109 ROAD,street_name,1
109 ST,street_name,1
109 STREET,street_name,1
109TH AVE,street_name,1
10TH AVE,street_name,1
10TH AVENUE,street_name,1
10TH AVENUE   ARON BUILDING,street_name,1
10TH ST,street_name,1
10TH STREET,street_name,1
10TH.STREET,street_name,1
11 AV,street_name,1
11 AVE,street_name,1
11 AVENUE,street_name,1
11 ST,street_name,1
11 STREET,street_name,1
11.ST,street_name,1
110 AVE,street_name,1
110 AVENUE,street_name,1
110 ROAD,street_name,1
110 ST,street_name,1
110 STREET,street_name,1
110TH STREET,street_name,1
111 AVE,street_name,1
111 AVENUE,street_name,1
111 ROAD,street_name,1
111 ST,street_name,1
111 STREET,street_name,1
111TH AVE,street_name,1
111TH AVENUE,street_name,1
111TH ST,street_name,1
111TH STREET,street_name,1
111TH.ST,street_name,1
112 AVE,street_name,1
112 AVENUE,street_name,1
112 PLACE,street_name,1
112 ROAD,street_name,1
112 ST,street_name,1
112 STREET,street_name,1
112TH ST,street_name,1
112TH STREET,street_name,1
113 AVE,street_name,1
113 AVENUE,street_name,1
113 DRIVE,street_name,1
113 ROAD,street_name,1
113 ST,street_name,1
113 STREET,street_name,1
113TH ST,street_name,1
113TH STREET,street_name,1
114 AVENUE,street_name,1
114 DRIVE,street_name,1
114 PLACE,street_name,1
114 ROAD,street_name,1
114 ST,street_name,1
114 STREET,street_name,1
114 TERRACE,street_name,1
114TH ST,street_name,1
114TH STREET,street_name,1
115 AVE,street_name,1
115 AVENUE,street_name,1
115 COURT,street_name,1
115 DRIVE,street_name,1
115 ROAD,street_name,1
115 ST,street_name,1
115 STREET,street_name,1
115 TERRACE,street_name,1
115TH STREET,street_name,1
116 AVE,street_name,1
116 AVENUE,street_name,1
116 DRIVE,street_name,1
116 ROAD,street_name,1
116 ST,street_name,1
116 STREET,street_name,1
116TH ST,street_name,1
117 ROAD,street_name,1
117 ST,street_name,1
117 STREET,street_name,1
117TH STREET,street_name,1
118 AVENUE,street_name,1
118 ROAD,street_name,1
118 ST,street_name,1
118 STREET,street_name,1
118TH ST,street_name,1
118TH STREET,street_name,1
118TH.STREET,street_name,1
119  STREET,street_name,1
119 AVENUE,street_name,1
119 DRIVE,street_name,1
119 ROAD,street_name,1
119 ST,street_name,1
119 STREET,street_name,1
119TH AVENUE,street_name,1
11TH AVE,street_name,1
