value,label,count
",",color,1
",,,",color,1
",,/LC",color,1
",.-,,",color,1
",BROW",color,1
",IL",color,1
",IMCK",color,1
"-,UN",color,1
-----,color,1
-DGR,color,1
-JWK,color,1
-W I,color,1
.,color,1
".,...",color,1
.-,color,1
...,color,1
.....,color,1
.BK,color,1
.BL,color,1
.GY,color,1
.NN,color,1
.SIIR,color,1
".UII,",color,1
.ZY,color,1
//W/,color,1
/A,color,1
/AN,color,1
/BL,color,1
/JNMK,color,1
/N.V,color,1
/UI,color,1
11,color,1
13,color,1
14,color,1
A,color,1
"A,CY",color,1
ABLK,color,1
AC,color,1
ACK,color,1
ACURA,color,1
AD,color,1
AGREY,color,1
AGUA,color,1
AH,color,1
AHT,color,1
AI,color,1
AIK,color,1
ALA,color,1
ALLOY,color,1
ALM,color,1
ALUM,color,1
ALUMI,color,1
AME,color,1
AMETH,color,1
AMIJN,color,1
AN,color,1
ANY,color,1
APP,color,1
APPLE,color,1
AQ,color,1
AQ.,color,1
AQANA,color,1
AQUA,color,1
ARAY,color,1
ARN,color,1
ASH,color,1
ASS,color,1
AST,color,1
AUB,color,1
AUBUR,color,1
AUDI,color,1
AUDU,color,1
AVE,color,1
AY,color,1
AZ,color,1
AZD,color,1
B,color,1
B ACK,color,1
B ACL,color,1
B GRE,color,1
B K,color,1
B L,color,1
B LAC,color,1
B LIT,color,1
B LK,color,1
B LUE,color,1
B O,color,1
B R,color,1
B+LK,color,1
"B,C..",color,1
"B,IUU",color,1
B.L.,color,1
B.Y,color,1
B/ACK,color,1
B/G,color,1
B/GY,color,1
B/K,color,1
B/O,color,1
B/W,color,1
B/X,color,1
B;ACL,color,1
B;IE,color,1
B;L,color,1
B;LK,color,1
BA,color,1
BACK,color,1
BACL,color,1
BADGE,color,1
BAEIG,color,1
BAEL,color,1
BAG,color,1
BAGE,color,1
BAGRE,color,1
BAIDG,color,1
BAIG,color,1
BAIGE,color,1
BAIGT,color,1
BAIJ,color,1
BAK,color,1
BAKE,color,1
BALCK,color,1
BAN,color,1
BAR,color,1
BARDG,color,1
BARUN,color,1
BAUGE,color,1
BAY,color,1
BBK,color,1
BBLZC,color,1
BBN,color,1
BBROW,color,1
BC,color,1
BCG,color,1
BCH,color,1
BCK,color,1
BD,color,1
BDGY,color,1
BE,color,1
BE WH,color,1
BEACH,color,1
BED,color,1
BEGE,color,1
BEGIE,color,1
BEGNE,color,1
BEGRT,color,1
BEI,color,1
BEIDG,color,1
BEIEG,color,1
BEIG,color,1
