value,label,count
"
Melrose",neighborhood,1
Bed-Stuy,neighborhood,1
Belmont,neighborhood,1
Boerum Hill,neighborhood,1
Brooklyn Heights,neighborhood,1
Brownsville,neighborhood,1
Bushwick,neighborhood,1
Cambria Heights,neighborhood,1
Central Harlem,neighborhood,1
Chelsey,neighborhood,1
Clinton Hill,neighborhood,1
Coney Island,neighborhood,1
Corona,neighborhood,1
Crotona,neighborhood,1
Crown Heights,neighborhood,1
Downtown Brooklyn,neighborhood,1
Downtown Manhattan,neighborhood,1
East Harlem,neighborhood,1
East New York,neighborhood,1
East Village,neighborhood,1
East Williamsburg,neighborhood,1
Far Rockaway,neighborhood,1
Flushing,neighborhood,1
Forest Hills,neighborhood,1
Grand Concourse,neighborhood,1
Greenpoint,neighborhood,1
Greenwich Village,neighborhood,1
Hamilton Heights,neighborhood,1
Harlem,neighborhood,1
Hell's Kitchen,neighborhood,1
Highbridge,neighborhood,1
Highland Park,neighborhood,1
Hunt's Point,neighborhood,1
Inwood,neighborhood,1
Jamaica,neighborhood,1
Kensington,neighborhood,1
Kingbridge Heights,neighborhood,1
Kingsbridge Heights,neighborhood,1
Long Island City,neighborhood,1
Lower East Side,neighborhood,1
Marble Hill,neighborhood,1
Melrose,neighborhood,1
Midtown,neighborhood,1
Morrisania,neighborhood,1
Mott Haven,neighborhood,1
Mt. Eden,neighborhood,1
North Flatbush,neighborhood,1
Ocean Hill / Brownsville,neighborhood,1
Ozone Park,neighborhood,1
Park Slope,neighborhood,1
Prospect Heights,neighborhood,1
Red Hook,neighborhood,1
Roosevelt Island,neighborhood,1
Schuylerville,neighborhood,1
So. Ozone Park,neighborhood,1
Soundview,neighborhood,1
Springfield Gardens,neighborhood,1
Sunset Park,neighborhood,1
Tremont,neighborhood,1
Upper East Side,neighborhood,1
Upper West Side,neighborhood,1
Wakefield,neighborhood,1
Washington Heights,neighborhood,1
West Farms,neighborhood,1
West Harlem,neighborhood,1
West Village,neighborhood,1
Williamsburg,neighborhood,1
