value,label,count
BMW  ,car_make,1
  CADA,car_make,1
  FORD,car_make,1
  MC,car_make,1
  NA,car_make,1
 4DR,car_make,1
 BENZ,car_make,1
 BUICK,car_make,1
 CAR,car_make,1
 CHEVY,car_make,1
 CHYSL,car_make,1
 COLT,car_make,1
 DODGE,car_make,1
 EEP,car_make,1
 FORD,car_make,1
 GMC,car_make,1
 HEVY,car_make,1
 HYUND,car_make,1
 JEEP,car_make,1
 JEG,car_make,1
 LEXUS,car_make,1
 MACK,car_make,1
 MAXIM,car_make,1
 MERCE,car_make,1
 N/A,car_make,1
 NA,car_make,1
 NEON,car_make,1
 NISAN,car_make,1
 NISSA,car_make,1
 NONE,car_make,1
 ODGE,car_make,1
 OLDS,car_make,1
 ONDA,car_make,1
 OYOTA,car_make,1
 PONT.,car_make,1
 PONTI,car_make,1
 STVY,car_make,1
 SUDAN,car_make,1
 SUV,car_make,1
 UICK,car_make,1
 UV,car_make,1
 VAN,car_make,1
#,car_make,1
',car_make,1
''BOX',car_make,1
'NA',car_make,1
*,car_make,1
+,car_make,1
.,car_make,1
..,car_make,1
.BUICK,car_make,1
.CHEVY,car_make,1
.EGACY,car_make,1
.MW,car_make,1
.N/A,car_make,1
.NA,car_make,1
.OLDS,car_make,1
/A,car_make,1
00,car_make,1
00000,car_make,1
01FORD,car_make,1
02BMW,car_make,1
09 FOR,car_make,1
0LDS,car_make,1
1 BMW,car_make,1
1 MAN,car_make,1
1 SUV ,car_make,1
1 WHIT,car_make,1
10 CAR,car_make,1
10 VEH,car_make,1
10CARS,car_make,1
11 CAR,car_make,1
12 PAS,car_make,1
15 CAS,car_make,1
15 PAS,car_make,1
15CARS,car_make,1
17FT,car_make,1
18 PAS,car_make,1
18 WHE,car_make,1
18 WHL,car_make,1
18',car_make,1
18WHEL,car_make,1
1950,car_make,1
1950'S,car_make,1
1960,car_make,1
1965,car_make,1
1980 N,car_make,1
1982,car_make,1
1984,car_make,1
1986 T,car_make,1
1988,car_make,1
1989,car_make,1
1990,car_make,1
1991,car_make,1
1994,car_make,1
1995,car_make,1
1995 T,car_make,1
1996,car_make,1
1996 F,car_make,1
1996 T,car_make,1
1997,car_make,1
1997 H,car_make,1
1999,car_make,1
1999 C,car_make,1
1999 H,car_make,1
2,car_make,1
2 / 4,car_make,1
2 ABAN,car_make,1
2 BICY,car_make,1
2 BIKE,car_make,1
2 BMW,car_make,1
2 BOAT,car_make,1
2 BUSE,car_make,1
2 CABS,car_make,1
2 CARS,car_make,1
2 DOOR,car_make,1
2 DR,car_make,1
2 FORD,car_make,1
2 GMC,car_make,1
2 LINC,car_make,1
2 MOTO,car_make,1
2 MVAN,car_make,1
2 OLD,car_make,1
2 OR 3,car_make,1
2 PORS,car_make,1
2 SUDA,car_make,1
2 TRAI,car_make,1
2 VAN,car_make,1
2 VANS,car_make,1
2 VEH.,car_make,1
2 VEHC,car_make,1
2 VEHS,car_make,1
2/FORD,car_make,1
20,car_make,1
20 VEH,car_make,1
2000,car_make,1
2000 B,car_make,1
2000 F,car_make,1
2000 H,car_make,1
2001,car_make,1
2001 C,car_make,1
2002,car_make,1
2002 L,car_make,1
2002 N,car_make,1
2003,car_make,1
2003 F,car_make,1
2003 H,car_make,1
2003 N,car_make,1
2003/,car_make,1
2004,car_make,1
2004 D,car_make,1
2005,car_make,1
2005 C,car_make,1
2005 D,car_make,1
2006,car_make,1
2006 C,car_make,1
2007,car_make,1
2007 C,car_make,1
2008,car_make,1
2008 M,car_make,1
2009 H,car_make,1
2009 N,car_make,1
2009?,car_make,1
2010,car_make,1
2010 A,car_make,1
2010 H,car_make,1
2011,car_make,1
2011 F,car_make,1
2011 T,car_make,1
2012,car_make,1
2014 C,car_make,1
2014 T,car_make,1
2015,car_make,1
2019 B,car_make,1
20CARS,car_make,1
240 S,car_make,1
240 SX,car_make,1
25 FOO,car_make,1
2500,car_make,1
26 FT,car_make,1
2660 M,car_make,1
280Z,car_make,1
2913,car_make,1
2CAMRY,car_make,1
2CARS,car_make,1
2D,car_make,1
2DR,car_make,1
2TRUCK,car_make,1
3,car_make,1
3 BIKE,car_make,1
3 BRAN,car_make,1
3 CARS,car_make,1
3 CHEV,car_make,1
3 MOTO,car_make,1
3 PUSH,car_make,1
3 TRUC,car_make,1
3 VEH,car_make,1
3 WHEE,car_make,1
300,car_make,1
300 M,car_make,1
300 TE,car_make,1
300CX,car_make,1
300M,car_make,1
300SE,car_make,1
300Z,car_make,1
300ZX,car_make,1
30YRD,car_make,1
32 V N,car_make,1
320,car_make,1
323 BM,car_make,1
328I,car_make,1
330,car_make,1
335X1,car_make,1
370Z,car_make,1
380SL,car_make,1
3TRUCK,car_make,1
4,car_make,1
4 ABAN,car_make,1
4 BY 4,car_make,1
4 CARS,car_make,1
4 DOOR,car_make,1
4 RUNN,car_make,1
4 VEHI,car_make,1
4 WHEE,car_make,1
4-DOOR,car_make,1
4/ROW,car_make,1
4136,car_make,1
435O,car_make,1
4900 D,car_make,1
4BY4,car_make,1
4D,car_make,1
4DOOR,car_make,1
4DR,car_make,1
4RUNER,car_make,1
4RUNNE,car_make,1
4TH FL,car_make,1
4TRUCK,car_make,1
4TURIS,car_make,1
4VAN,car_make,1
4WD,car_make,1
4X4,car_make,1
4X4 FO,car_make,1
4X4 JE,car_make,1
4X4 SP,car_make,1
4X4 TR,car_make,1
4X437L,car_make,1
5  VEH,car_make,1
5 CAR,car_make,1
5 CARS,car_make,1
5 PEDI,car_make,1
528,car_make,1
53 FT,car_make,1
53',car_make,1
53' TR,car_make,1
550,car_make,1
560SEC,car_make,1
6 CARS,car_make,1
60S CH,car_make,1
626,car_make,1
6WHEEL,car_make,1
7 CARS,car_make,1
7 TON,car_make,1
70'S,car_make,1
740BMW,car_make,1
745,car_make,1
750   ,car_make,1
8 CARS,car_make,1
8 VEH,car_make,1
80S VW,car_make,1
929,car_make,1
93 2QT,car_make,1
96 GMC,car_make,1
98,car_make,1
99 HON,car_make,1
99' 98,car_make,1
99PONT,car_make,1
>20,car_make,1
?,car_make,1
? FORD,car_make,1
??,car_make,1
??    ,car_make,1
???,car_make,1
????,car_make,1
?????,car_make,1
??????,car_make,1
?FORD?,car_make,1
?REPOR,car_make,1
A,car_make,1
A BMW,car_make,1
A BOAT,car_make,1
A FEW,car_make,1
A FORD,car_make,1
A GMC,car_make,1
A LOT,car_make,1
A MEAT,car_make,1
A MOTO,car_make,1
A SMAL,car_make,1
A-RIDE,car_make,1
A.M.C,car_make,1
A.M.C.,car_make,1
A/A,car_make,1
A/K,car_make,1
AAAAAA,car_make,1
AACURA,car_make,1
ABANDO,car_make,1
ABONAV,car_make,1
ABONDO,car_make,1
ABOUT,car_make,1
ABULAN,car_make,1
ABULET,car_make,1
ACADIA,car_make,1
ACC,car_make,1
ACCARA,car_make,1
ACCARD,car_make,1
ACCENT,car_make,1
ACCESS,car_make,1
ACCLAI,car_make,1
ACCLIA,car_make,1
ACCOR,car_make,1
ACCORA,car_make,1
ACCORD,car_make,1
ACCORN,car_make,1
ACCRA,car_make,1
ACCRU,car_make,1
ACCRUE,car_make,1
ACCU,car_make,1
ACCUA,car_make,1
ACCUR,car_make,1
ACCURA,car_make,1
ACCURE,car_make,1
ACCURI,car_make,1
ACCURS,car_make,1
ACCURU,car_make,1
ACESS,car_make,1
ACHIVA,car_make,1
ACL TR,car_make,1
ACORA,car_make,1
ACORD,car_make,1
ACQURA,car_make,1
ACRA,car_make,1
ACREA,car_make,1
ACRUA,car_make,1
ACRUCA,car_make,1
ACU,car_make,1
ACUA,car_make,1
ACUARA,car_make,1
ACUDA,car_make,1
ACUEA,car_make,1
ACUIA,car_make,1
ACUR,car_make,1
ACURA,car_make,1
ACURA ,car_make,1
ACURA-,car_make,1
ACURA=,car_make,1
ACURA?,car_make,1
ACURAB,car_make,1
ACURAQ,car_make,1
ACURCA,car_make,1
ACURE,car_make,1
ACURED,car_make,1
ACURIA,car_make,1
ACURRA,car_make,1
ACURS,car_make,1
ACUURA,car_make,1
AD377,car_make,1
ADACI,car_make,1
ADANDE,car_make,1
ADI,car_make,1
ADUE,car_make,1
ADUI,car_make,1
AEGIS,car_make,1
AERO,car_make,1
AEROS,car_make,1
AEROSE,car_make,1
AEROST,car_make,1
AEROTE,car_make,1
AFFINI,car_make,1
AFINIT,car_make,1
AHONDA,car_make,1
AIROAD,car_make,1
AIRTRO,car_make,1
AIUDI,car_make,1
AKIA,car_make,1
AKIRA,car_make,1
AKIRA ,car_make,1
ALANTR,car_make,1
ALBANY,car_make,1
ALDEY,car_make,1
ALDI,car_make,1
ALEGRA,car_make,1
ALERO,car_make,1
ALEXA,car_make,1
ALEXI,car_make,1
ALEXIS,car_make,1
ALEXU,car_make,1
ALEXUS,car_make,1
ALFA,car_make,1
ALFA R,car_make,1
ALFA-R,car_make,1
ALFARO,car_make,1
ALFRO,car_make,1
ALIANC,car_make,1
ALL,car_make,1
ALL CA,car_make,1
ALL KI,car_make,1
ALL MA,car_make,1
ALL TY,car_make,1
ALLERO,car_make,1
ALLIAN,car_make,1
ALLSTA,car_make,1
ALMITA,car_make,1
ALMOBI,car_make,1
ALNTRA,car_make,1
ALOT,car_make,1
ALP RO,car_make,1
ALPA,car_make,1
ALPHA,car_make,1
ALPINA,car_make,1
ALPINE,car_make,1
ALSMOB,car_make,1
ALT,car_make,1
ALTA,car_make,1
ALTAIA,car_make,1
ALTAMA,car_make,1
ALTAME,car_make,1
ALTEC,car_make,1
ALTEED,car_make,1
ALTEMA,car_make,1
ALTERM,car_make,1
ALTEZA,car_make,1
ALTIMA,car_make,1
ALTIMI,car_make,1
ALTIMU,car_make,1
ALTINE,car_make,1
ALTIUM,car_make,1
ALTIVA,car_make,1
ALTMA,car_make,1
ALTMIA,car_make,1
ALTMUM,car_make,1
ALTOMB,car_make,1
ALUM,car_make,1
ALUMIN,car_make,1
ALUMIT,car_make,1
ALXIS,car_make,1
AM,car_make,1
AMADA,car_make,1
AMB,car_make,1
AMBASS,car_make,1
AMBUL,car_make,1
AMBULA,car_make,1
AMBULE,car_make,1
AMC,car_make,1
AMER,car_make,1
AMERIC,car_make,1
AMF,car_make,1
AMG,car_make,1
AMIGO,car_make,1
AMON,car_make,1
AMOTOR,car_make,1
AMW,car_make,1
AN,car_make,1
ANCLAV,car_make,1
ANGURA,car_make,1
ANNON,car_make,1
ANO,car_make,1
ANOM,car_make,1
ANON,car_make,1
ANONBL,car_make,1
ANONE,car_make,1
ANONYM,car_make,1
ANTIQU,car_make,1
ANVOY,car_make,1
ANY,car_make,1
APACHE,car_make,1
APALA,car_make,1
APRILA,car_make,1
APRILI,car_make,1
APRILL,car_make,1
APV,car_make,1
AQUA,car_make,1
AQURA,car_make,1
AQURIA,car_make,1
ARC,car_make,1
ARCUR,car_make,1
AREOST,car_make,1
ARESTA,car_make,1
ARGOSI,car_make,1
ARGOSY,car_make,1
ARLENS,car_make,1
ARMADA,car_make,1
ARMORE,car_make,1
ARMY,car_make,1
AROEA,car_make,1
AROMER,car_make,1
AROOWS,car_make,1
AROSTA,car_make,1
ARROW,car_make,1
ARROWS,car_make,1
ARTIC,car_make,1
ARUCA,car_make,1
ARURA,car_make,1
ASBEST,car_make,1
ASCRO,car_make,1
ASPEN,car_make,1
ASPHAL,car_make,1
ASRO,car_make,1
ASSHOL,car_make,1
ASSORT,car_make,1
ASST.,car_make,1
ASTA,car_make,1
ASTEK,car_make,1
ASTIC,car_make,1
ASTOR,car_make,1
ASTR,car_make,1
ASTRA,car_make,1
ASTRAL,car_make,1
ASTRO,car_make,1
ASTRO ,car_make,1
ASTROV,car_make,1
ASUBI,car_make,1
ASUSU,car_make,1
ASUZU,car_make,1
ATARIS,car_make,1
ATIC C,car_make,1
ATLANT,car_make,1
ATLIMA,car_make,1
ATOMA,car_make,1
ATOR,car_make,1
ATRO,car_make,1
ATROS,car_make,1
ATTAWA,car_make,1
ATV,car_make,1
AUARA,car_make,1
AUCI,car_make,1
AUCRA,car_make,1
AUCURA,car_make,1
AUD I,car_make,1
AUDAI,car_make,1
AUDE,car_make,1
AUDI,car_make,1
AUDI ,car_make,1
AUDI  ,car_make,1
AUDI -,car_make,1
AUDI 4,car_make,1
AUDI 6,car_make,1
AUDI 7,car_make,1
AUDI 8,car_make,1
AUDI A,car_make,1
AUDI Q,car_make,1
AUDI S,car_make,1
AUDI T,car_make,1
AUDI-,car_make,1
AUDI.,car_make,1
AUDIA,car_make,1
AUDIA4,car_make,1
AUDIA7,car_make,1
AUDIA8,car_make,1
AUDIE,car_make,1
AUDIG7,car_make,1
AUDII,car_make,1
AUDII ,car_make,1
AUDIO,car_make,1
AUDIQ5,car_make,1
AUDIS,car_make,1
AUDIS4,car_make,1
AUDIT,car_make,1
AUDO,car_make,1
AUDRY,car_make,1
AUDSI,car_make,1
AUDU,car_make,1
AUDUI,car_make,1
AUDY,car_make,1
AUFI A,car_make,1
AUID,car_make,1
AUIDA,car_make,1
AUIDI,car_make,1
AUIDO,car_make,1
AULTIM,car_make,1
AURA,car_make,1
AURA  ,car_make,1
AURA R,car_make,1
AURARA,car_make,1
AUREY,car_make,1
AURI,car_make,1
AURORA,car_make,1
AUROUA,car_make,1
AUSI,car_make,1
AUSTIN,car_make,1
AUTI,car_make,1
AUTO,car_make,1
AUTOMO,car_make,1
AUTSOM,car_make,1
AUTTO,car_make,1
AUTUMA,car_make,1
AV,car_make,1
AVALAC,car_make,1
AVALAN,car_make,1
AVALNC,car_make,1
AVALON,car_make,1
AVATIO,car_make,1
AVE,car_make,1
AVENGE,car_make,1
AVEO,car_make,1
AVEOLS,car_make,1
AVEOLT,car_make,1
AVIATO,car_make,1
AVION,car_make,1
AVIS,car_make,1
AVOLON,car_make,1
AWD,car_make,1
AWIA,car_make,1
AX,car_make,1
AXIOM,car_make,1
AZCI,car_make,1
AZTEC,car_make,1
AZU ZU,car_make,1
AZUZI,car_make,1
AZUZU,car_make,1
AZUZZ,car_make,1
B & W,car_make,1
B M W,car_make,1
B&M,car_make,1
B&W,car_make,1
B&W FO,car_make,1
B.M.W,car_make,1
B.M.W.,car_make,1
B.W.,car_make,1
B/A,car_make,1
B/C,car_make,1
B/M/W,car_make,1
BACCIO,car_make,1
