value,label,count
jansen street,street_name,street_name
fresh meadow lane,street_name,street_name
115 road,street_name,street_name
cleveland avenue,street_name,street_name
fernside place,street_name,street_name
118 road,street_name,street_name
hoyt street,street_name,street_name
mayville street,street_name,street_name
42 street,street_name,street_name
seven gables road,street_name,street_name
legion place,street_name,street_name
port lane,street_name,street_name
baron boulevard,street_name,street_name
corp kennedy street,street_name,street_name
west 207 street,street_name,street_name
tierney place,street_name,street_name
34 avenue,street_name,street_name
irvine street,street_name,street_name
ross street,street_name,street_name
bay 35 street,street_name,street_name
bliss terrace,street_name,street_name
pembroke street,street_name,street_name
glen avenue,street_name,street_name
hunter avenue,street_name,street_name
josephine street,street_name,street_name
rio drive,street_name,street_name
mulford avenue,street_name,street_name
17 street,street_name,street_name
agar place,street_name,street_name
seigel street,street_name,street_name
147 drive,street_name,street_name
pitman avenue,street_name,street_name
devon place,street_name,street_name
west 49 street,street_name,street_name
84 drive,street_name,street_name
brighton 13 street,street_name,street_name
havemeyer street,street_name,street_name
1 street,street_name,street_name
252 street,street_name,street_name
hazen street,street_name,street_name
pacific street,street_name,street_name
bowne street,street_name,street_name
radde place,street_name,street_name
128 street,street_name,street_name
schieffelin avenue,street_name,street_name
token street,street_name,street_name
trinity avenue,street_name,street_name
cle northbound entrance 26 ave,street_name,street_name
112 place,street_name,street_name
homecrest avenue,street_name,street_name
fdr drive sb exit 3,street_name,street_name
north end avenue,street_name,street_name
old beach 88 street,street_name,street_name
bronx park east,street_name,street_name
brown street,street_name,street_name
beach 45 street,street_name,street_name
knapp street,street_name,street_name
48 avenue,street_name,street_name
schuyler street,street_name,street_name
elmira street,street_name,street_name
mosely avenue,street_name,street_name
eugene street,street_name,street_name
hinckley place,street_name,street_name
robinson avenue,street_name,street_name
brighton street,street_name,street_name
washington square north,street_name,street_name
surrey place,street_name,street_name
virgil place,street_name,street_name
106 road,street_name,street_name
beach 52 street,street_name,street_name
7 street,street_name,street_name
65 road,street_name,street_name
dr m l king jr boulevard,street_name,street_name
todt hill road,street_name,street_name
juniper blvd south,street_name,street_name
portland place,street_name,street_name
grinnell place,street_name,street_name
west 135 street,street_name,street_name
east 233 street,street_name,street_name
123 street,street_name,street_name
turin drive,street_name,street_name
east 170 street,street_name,street_name
west 41 street,street_name,street_name
princeton lane,street_name,street_name
carpenter avenue,street_name,street_name
cuthbert road,street_name,street_name
spa place,street_name,street_name
78 drive,street_name,street_name
drake street,street_name,street_name
frisby avenue,street_name,street_name
queensdale street,street_name,street_name
portage avenue,street_name,street_name
east 177 street,street_name,street_name
eastchester road,street_name,street_name
sinclair avenue,street_name,street_name
ocean terrace,street_name,street_name
151 street,street_name,street_name
westfield avenue,street_name,street_name
west 176 street,street_name,street_name
conklin avenue,street_name,street_name
montgomery street,street_name,street_name
silver street,street_name,street_name
164 place,street_name,street_name
st marys street,street_name,street_name
almeda avenue,street_name,street_name
winant street,street_name,street_name
clover place,street_name,street_name
shale lane,street_name,street_name
sea crest lane,street_name,street_name
136 road,street_name,street_name
hendrickson street,street_name,street_name
coventry road,street_name,street_name
springfield boulevard,street_name,street_name
washington square west,street_name,street_name
east 235 street,street_name,street_name
212 place,street_name,street_name
elizabeth street,street_name,street_name
52 drive,street_name,street_name
dickinson avenue,street_name,street_name
fingal street,street_name,street_name
taaffe place,street_name,street_name
176 street,street_name,street_name
141 street,street_name,street_name
van wyck avenue,street_name,street_name
wythe avenue,street_name,street_name
huguenot avenue,street_name,street_name
