value,label,count
311,city_agency,13
ACS,city_agency,82
BIC,city_agency,26
BOE,city_agency,17
BPL,city_agency,15
CCHR,city_agency,27
CCRB,city_agency,23
CUNY,city_agency,34
DCA,city_agency,41
DCAS,city_agency,72
DCLA,city_agency,13
DCP,city_agency,15
DDC,city_agency,28
DEP,city_agency,59
DFTA,city_agency,19
DHS,city_agency,51
DOB,city_agency,55
DOC,city_agency,40
DOE,city_agency,100
DOF,city_agency,65
DOHMH,city_agency,50
DOI,city_agency,22
DOP,city_agency,35
DORIS,city_agency,19
DOT,city_agency,69
DPR,city_agency,58
DSNY,city_agency,48
DVS,city_agency,4
DYCD,city_agency,50
DoITT,city_agency,31
EDC,city_agency,24
FDNY,city_agency,54
HPD,city_agency,63
HRA,city_agency,85
LAW,city_agency,19
LPC,city_agency,15
NYCEM,city_agency,20
NYCHA,city_agency,55
NYCHH,city_agency,26
NYPD,city_agency,68
NYPL,city_agency,15
NYPRL,city_agency,7
OATH,city_agency,20
OCME,city_agency,23
QPL,city_agency,15
SBS,city_agency,29
SCA,city_agency,11
TLC,city_agency,47
