value,label,count
ADAIR,person_name,1
BABOU,person_name,1
BASILLI,person_name,1
BELLANDO,person_name,1
BENVIN,person_name,1
BITTENBENDER,person_name,1
BRAITHWAITE,person_name,1
BUCHBERG,person_name,1
BURGO,person_name,1
CABUSORE,person_name,1
CANINO,person_name,1
CAPUZZI,person_name,1
CASTLE,person_name,1
CB LAFAYETTE LLC,person_name,1
CHATTERTON,person_name,1
CSE LEVINE MEMBER LLC,person_name,1
CYRULNIK,person_name,1
DANIELLO,person_name,1
DEBARTORI,person_name,1
DEGIDIO,person_name,1
DEVENING,person_name,1
DOSSEY,person_name,1
DREYFUS,person_name,1
EDMONDS,person_name,1
ELETTO,person_name,1
ETWAROO,person_name,1
FILIBERTO,person_name,1
GADDIS,person_name,1
GARUTI,person_name,1
GOTTDIENER,person_name,1
GOTTESFELD,person_name,1
GOVETT,person_name,1
HAIMS,person_name,1
HANCOCK,person_name,1
HERMANS,person_name,1
HOWERTER,person_name,1
HUNTER,person_name,1
HUSTON,person_name,1
IANELLO,person_name,1
JOHNSON,person_name,1
JOZEFOWSKI,person_name,1
JULI,person_name,1
KLEM,person_name,1
KLINK,person_name,1
KOLE,person_name,1
LAFOND,person_name,1
LEB,person_name,1
LEIB,person_name,1
LEN,person_name,1
LIGNELLI,person_name,1
LIS MILESTONE HOLDINGS LLC,person_name,1
LITTLE,person_name,1
LOCKHART,person_name,1
LOVEGROVE,person_name,1
MARCIAL,person_name,1
MARCIC,person_name,1
MERTZ,person_name,1
MIDDLETON-JETER,person_name,1
MILANA,person_name,1
MIRRO,person_name,1
MLURA,person_name,1
MONDSTIEN,person_name,1
MURATORE,person_name,1
MWANGI,person_name,1
OAK STREET RE FOF LLC,person_name,1
OLEARY,person_name,1
OSTRICH,person_name,1
OUNDJIAN,person_name,1
PROPERTY RESOURCES CORPORATION,person_name,1
RAMASWAMY,person_name,1
REICHMAN,person_name,1
RYNIKER,person_name,1
SALEE,person_name,1
SAMBERG,person_name,1
SANTISO,person_name,1
SARLIN,person_name,1
SCHOOLMAN,person_name,1
SCOTT-CROFF,person_name,1
SHEHATA,person_name,1
SHNYDER,person_name,1
SIEDOR,person_name,1
SKORASZEWSKI,person_name,1
SZENDIUCH,person_name,1
TARZIA - MORANO,person_name,1
TAUBMAN,person_name,1
TRUFFA,person_name,1
WEISLER,person_name,1
WELD NORTH EDUCATION LLC,person_name,1
WESTE,person_name,1
WIVIOTT,person_name,1
WOODNEYSTEIN,person_name,1
XU,person_name,1
AGOSTA,person_name,1
ALPHONSE,person_name,1
AMABILE,person_name,1
ANDRADE SOLANO,person_name,1
ATKINS,person_name,1
BAUD,person_name,1
BHARAT,person_name,1
BOTTINI,person_name,1
CHANDARPAL,person_name,1
CHOPRA,person_name,1
CICHOWSKI,person_name,1
CONNELLY,person_name,1
D'AGASTINO,person_name,1
DAHNKE,person_name,1
DE SANTIS,person_name,1
DELLAMORA,person_name,1
DEYOUNG,person_name,1
EMANUEL,person_name,1
EMMET,person_name,1
ESTERMAN,person_name,1
FARRELLY,person_name,1
FRANCK,person_name,1
GILROY,person_name,1
GORDON (WEEKES),person_name,1
HASELBAUER,person_name,1
HENNEN,person_name,1
HIRST,person_name,1
HOSCOY,person_name,1
INGRAM,person_name,1
KLAUS,person_name,1
KLOCKNER,person_name,1
LEITZINGER,person_name,1
LQBAL,person_name,1
MARTIN EDELMAN,person_name,1
MATTHEW,person_name,1
MAXWELL,person_name,1
MCKIE,person_name,1
MCMANNESS,person_name,1
METZINGER,person_name,1
MIZEL,person_name,1
NAGEL,person_name,1
PASSMORE,person_name,1
PETER,person_name,1
PETRONE,person_name,1
PHALEN,person_name,1
PROULX,person_name,1
Q-MATIC AB,person_name,1
REYNOLDS,person_name,1
RIGERMAN,person_name,1
RINKOFF,person_name,1
RODUS,person_name,1
ROINSON,person_name,1
RUCIGAY,person_name,1
SABONGUI,person_name,1
SAWICKI,person_name,1
SCHEIDEMANN,person_name,1
SCHEINER,person_name,1
SCHNARR,person_name,1
SCOPELIANOS,person_name,1
SENDEROWICZ,person_name,1
SEPTIMUS,person_name,1
SHIRE,person_name,1
SHUNICK,person_name,1
STARUCK,person_name,1
SUGARMAN,person_name,1
SUMERS,person_name,1
SUNDSTROM,person_name,1
SWANK,person_name,1
THIVIERGE,person_name,1
TIPERMAS,person_name,1
TOURNOUR,person_name,1
TULLER,person_name,1
VERMA,person_name,1
WALLACAE,person_name,1
WILSMANN,person_name,1
YOUSAF,person_name,1
ADEGBILE,person_name,1
ALMUKHATAR,person_name,1
AMBACHTSHEER,person_name,1
ASSEFA,person_name,1
BIANCHINI,person_name,1
BRAVO,person_name,1
BROCHES,person_name,1
BRUEGGEMAN,person_name,1
BRUSSEL,person_name,1
CACOSSA,person_name,1
CALDARAZZO,person_name,1
CEBOLLERO,person_name,1
CHHOUM,person_name,1
CHIAVETTA,person_name,1
CHINJ-SANTOS,person_name,1
CONWAY,person_name,1
CORDERO,person_name,1
CORKINS,person_name,1
COURTNEY,person_name,1
CW FULTON LLC,person_name,1
DANIELL,person_name,1
DECENA,person_name,1
DEVOE,person_name,1
DEWITT,person_name,1
DILEO,person_name,1
DRINKWATER,person_name,1
DUBER,person_name,1
DUKESS,person_name,1
DUPONT,person_name,1
EISENBERG,person_name,1
FAULISI,person_name,1
FELICIANO,person_name,1
GABRIELE,person_name,1
GALLANTE,person_name,1
GARCON,person_name,1
GILLIGO,person_name,1
GRACE,person_name,1
HANDLER,person_name,1
HOCKENBERRY,person_name,1
JOLOVITZ,person_name,1
KANER,person_name,1
LAGERLUND,person_name,1
LIANOS,person_name,1
LIPIHER,person_name,1
LIPKOVICH,person_name,1
LONNER,person_name,1
MACLAND,person_name,1
MAKOWSKY,person_name,1
MANGUM,person_name,1
MARITATO,person_name,1
MATEO,person_name,1
MERCARDANTE,person_name,1
MONTECELLO,person_name,1
MORAGIANIS,person_name,1
MUNDIS,person_name,1
NEVIN,person_name,1
NEWBURG,person_name,1
NINESTAR CORPORATION,person_name,1
NITSCHKE,person_name,1
ONO,person_name,1
PASKVAN,person_name,1
PELLEGRINI,person_name,1
PERRINO,person_name,1
PLANT HOLDINGS INC,person_name,1
PRIGOZEN,person_name,1
Parametric Portfolio LP,person_name,1
RAJWANI,person_name,1
REITZ,person_name,1
