value,label,count
Animal Science,area_of_study,3
Architecture,area_of_study,8
Business,area_of_study,25
Communications,area_of_study,22
Computer Science & Technology,area_of_study,45
Cosmetology,area_of_study,2
Culinary Arts,area_of_study,9
Engineering,area_of_study,44
Environmental Science,area_of_study,6
Film/Video,area_of_study,5
Health Professions,area_of_study,48
"Hospitality, Travel and Tourism",area_of_study,7
Humanities & Interdisciplinary,area_of_study,247
JROTC,area_of_study,5
Law & Government,area_of_study,38
Performing Arts,area_of_study,77
Performing Arts/Visual Art & Design,area_of_study,11
Science & Math,area_of_study,68
Teaching,area_of_study,7
Visual Art & Design,area_of_study,38
Zoned,area_of_study,28
interest,area_of_study,1
