value,label,count
ACS,city_agency,1
BIC,city_agency,1
BOC,city_agency,1
BOENY,city_agency,1
BPL,city_agency,1
BSA,city_agency,1
CCHR,city_agency,1
CCPC,city_agency,1
CCRB,city_agency,1
CCSC,city_agency,1
CFB,city_agency,1
COIB,city_agency,1
CPC,city_agency,1
CUNY,city_agency,1
DASNY,city_agency,1
DCA,city_agency,1
DCAS,city_agency,1
DCLA,city_agency,1
DCP,city_agency,1
DDC,city_agency,1
DEP,city_agency,1
DFTA,city_agency,1
DHS,city_agency,1
DHSES,city_agency,1
DMV,city_agency,1
DOB,city_agency,1
DOC,city_agency,1
DOF,city_agency,1
DOHMH,city_agency,1
DOI,city_agency,1
DOITT,city_agency,1
DOP,city_agency,1
DOT,city_agency,1
DSNY,city_agency,1
DVS,city_agency,1
DYCD,city_agency,1
ECF,city_agency,1
EEPC,city_agency,1
ESD,city_agency,1
FDNY,city_agency,1
FISA,city_agency,1
GOER,city_agency,1
HDC,city_agency,1
HESC,city_agency,1
HPD,city_agency,1
HRA,city_agency,1
IBO,city_agency,1
LAW,city_agency,1
LMDC,city_agency,1
LPC,city_agency,1
MOCS,city_agency,1
MOME,city_agency,1
NYCC,city_agency,1
NYCEDC,city_agency,1
NYCEM,city_agency,1
NYCERS,city_agency,1
NYCHA,city_agency,1
NYPD,city_agency,1
NYPL,city_agency,1
NYSDOT,city_agency,1
OATH,city_agency,1
OCB,city_agency,1
OCME,city_agency,1
OLR,city_agency,1
OMB,city_agency,1
OOM,city_agency,1
OPA,city_agency,1
PERB,city_agency,1
QBPL,city_agency,1
RGB,city_agency,1
SBS,city_agency,1
SCA,city_agency,1
TFA,city_agency,1
TLC,city_agency,1
UNDC,city_agency,1
