value,label,count
Acura,car_make,1
Autocar,car_make,1
Bering,car_make,1
Caterpillar,car_make,1
Chevrolet,car_make,1
Crane Carrier,car_make,1
Daewoo,car_make,1
Dodge,car_make,1
Ford,car_make,1
Freightliner,car_make,1
Fruehauf,car_make,1
GMC,car_make,1
Hackney,car_make,1
Hino,car_make,1
International,car_make,1
Isuzu,car_make,1
Jeep,car_make,1
Kenworth,car_make,1
Lincoln,car_make,1
Mack,car_make,1
Mercedes Benz,car_make,1
Mitsubishi,car_make,1
Navistar,car_make,1
Nissan,car_make,1
Nissan-UD,car_make,1
Packard,car_make,1
Peterbilt,car_make,1
RAM,car_make,1
Scania,car_make,1
Spector,car_make,1
Sterling,car_make,1
Toyota,car_make,1
Volvo,car_make,1
Western Star,car_make,1
White-GMC-Volvo,car_make,1
