value,label,count
"(40.516877, -74.243898)",lat_lon_cord,1
"(40.516979, -74.196143)",lat_lon_cord,2
"(40.540439, -74.17029)",lat_lon_cord,1
"(40.543854, -74.232302)",lat_lon_cord,1
"(40.570943, -74.105803)",lat_lon_cord,1
"(40.572345, -73.993157)",lat_lon_cord,1
"(40.57243, -73.994259)",lat_lon_cord,1
"(40.573919, -73.98473)",lat_lon_cord,1
"(40.576187, -73.938307)",lat_lon_cord,1
"(40.576565, -73.966227)",lat_lon_cord,1
"(40.577672, -73.936754)",lat_lon_cord,8
"(40.577819, -73.959102)",lat_lon_cord,1
"(40.578043, -73.934169)",lat_lon_cord,1
"(40.578118, -73.849558)",lat_lon_cord,1
"(40.579446, -74.130289)",lat_lon_cord,2
"(40.581164, -73.973101)",lat_lon_cord,1
"(40.581282, -73.965353)",lat_lon_cord,1
"(40.581665, -74.077887)",lat_lon_cord,1
"(40.582813, -74.160904)",lat_lon_cord,1
"(40.584295, -73.825038)",lat_lon_cord,1
"(40.584516, -74.085498)",lat_lon_cord,3
"(40.58454, -74.164969)",lat_lon_cord,1
"(40.586404, -73.818292)",lat_lon_cord,1
"(40.586618, -73.819166)",lat_lon_cord,2
"(40.586634, -73.971774)",lat_lon_cord,1
"(40.586652, -73.966168)",lat_lon_cord,3
"(40.586968, -73.93209)",lat_lon_cord,1
"(40.586991, -74.079363)",lat_lon_cord,4
"(40.587385, -74.091784)",lat_lon_cord,1
"(40.587487, -73.953634)",lat_lon_cord,1
"(40.587723, -73.954858)",lat_lon_cord,1
"(40.589173, -74.202249)",lat_lon_cord,2
"(40.58935, -73.898817)",lat_lon_cord,2
"(40.590563, -73.940361)",lat_lon_cord,1
"(40.590681, -73.939489)",lat_lon_cord,1
"(40.592517, -74.130124)",lat_lon_cord,1
"(40.592775, -73.781494)",lat_lon_cord,1
"(40.594006, -73.786653)",lat_lon_cord,2
"(40.594595, -73.781459)",lat_lon_cord,1
"(40.594869, -73.996594)",lat_lon_cord,1
"(40.595692, -73.748799)",lat_lon_cord,1
"(40.595939, -73.997854)",lat_lon_cord,1
"(40.596525, -73.977358)",lat_lon_cord,1
"(40.597436, -74.142228)",lat_lon_cord,2
"(40.597823, -73.987051)",lat_lon_cord,1
"(40.597985, -73.766363)",lat_lon_cord,1
"(40.598552, -73.958956)",lat_lon_cord,1
"(40.598656, -73.753488)",lat_lon_cord,1
"(40.598746, -73.957073)",lat_lon_cord,1
"(40.599256, -73.966619)",lat_lon_cord,1
"(40.59947, -73.989752)",lat_lon_cord,1
"(40.600238, -74.086786)",lat_lon_cord,1
"(40.60063, -73.991123)",lat_lon_cord,1
"(40.600848, -73.757077)",lat_lon_cord,1
"(40.600886, -73.992088)",lat_lon_cord,1
"(40.600996, -73.754242)",lat_lon_cord,1
"(40.601248, -74.150361)",lat_lon_cord,1
"(40.601284, -73.934081)",lat_lon_cord,1
"(40.602294, -73.965476)",lat_lon_cord,1
"(40.6027, -74.143414)",lat_lon_cord,1
"(40.604367, -73.940244)",lat_lon_cord,1
"(40.60453, -73.971237)",lat_lon_cord,1
