value,label,count
Annadale-Huguenot-Princes Bay,neighborhood,1
Astoria,neighborhood,3
Auburndale,neighborhood,2
Baisley Park,neighborhood,1
Bay Ridge,neighborhood,2
Bayside-Bayside Hills,neighborhood,1
Bedford-Stuyvesant,neighborhood,7
Bellerose,neighborhood,3
Belmont,neighborhood,9
Bensonhurst West,neighborhood,2
Bergen Beach,neighborhood,1
Borough Park,neighborhood,2
Breezy Point-Rockaway Park,neighborhood,4
Briarwood-Jamaica Hills,neighborhood,7
Brighton Beach,neighborhood,1
Bronxdale,neighborhood,5
Brownsville,neighborhood,3
Bushwick,neighborhood,11
Cambria Heights,neighborhood,4
Canarsie,neighborhood,7
Carroll Gardens-Red Hook,neighborhood,1
Castle Hill-Clason Point,neighborhood,9
Central Harlem North,neighborhood,5
Central Harlem South,neighborhood,2
Chelsea-Union Sq,neighborhood,11
Chinatown,neighborhood,11
Claremont-Bathgate,neighborhood,9
Clinton,neighborhood,12
Clinton Hill,neighborhood,2
Co-op City,neighborhood,2
Corona,neighborhood,1
Crotona Park East,neighborhood,4
Crown Heights,neighborhood,1
Crown Heights North,neighborhood,3
Crown Heights South,neighborhood,6
Cypress Hills,neighborhood,5
DUMBO-Downtown Brooklyn,neighborhood,13
E. Concourse-Concourse Village,neighborhood,11
E. Midtown,neighborhood,1
East Flatbush,neighborhood,3
East Harlem North,neighborhood,2
East Harlem South,neighborhood,5
East New York,neighborhood,9
East Tremont,neighborhood,2
East Village,neighborhood,1
East Williamsburg,neighborhood,3
Elmhurst,neighborhood,4
Far Rockaway-Bayswater,neighborhood,3
Fieldston-Riverdale,neighborhood,1
Flatbush,neighborhood,6
Flushing,neighborhood,4
Flushing Heights-Hillcrest,neighborhood,1
Forest Hills,neighborhood,3
Fort Greene,neighborhood,2
Governors Island,neighborhood,1
Gramercy,neighborhood,9
Gravesend,neighborhood,6
Hollis,neighborhood,1
Hunters Point-Sunnyside,neighborhood,10
Hunts Point,neighborhood,1
Inwood,neighborhood,2
Jamaica,neighborhood,2
Kew Gardens Hills,neighborhood,4
Lenox Hill,neighborhood,3
Lenox Hill-Roosevelt Is,neighborhood,1
Lincoln Square,neighborhood,7
Longwood,neighborhood,5
Lower East Side,neighborhood,4
Lower Manhattan,neighborhood,6
Madison,neighborhood,1
Manhattan Beach,neighborhood,1
Manhattanville,neighborhood,4
Maspeth,neighborhood,1
Melrose S.-Mott Haven N.,neighborhood,6
Midtown,neighborhood,2
Midwood,neighborhood,1
Morningside Heights,neighborhood,1
Morrisania-Melrose,neighborhood,5
Mott Haven-Port Morris,neighborhood,5
Mount Hope,neighborhood,2
Murray Hill,neighborhood,1
Murray Hill-Kips Bay,neighborhood,3
New Brighton-St. George,neighborhood,2
New Dorp-Midland Beach,neighborhood,2
Oakland Gardens,neighborhood,1
Ocean Hill,neighborhood,2
Old Astoria,neighborhood,1
Ozone Park,neighborhood,1
Park Slope-Gowanus,neighborhood,4
Pelham Parkway,neighborhood,1
Port Richmond,neighborhood,1
Prospect Lefferts Gardens,neighborhood,5
Queensbridge-LIC,neighborhood,4
Richmond Hill,neighborhood,3
Ridgewood,neighborhood,1
Schuylerville-Throgs Neck,neighborhood,6
Seagate-Coney Island,neighborhood,1
Sheepshead Bay,neighborhood,2
SoHo-Tribeca,neighborhood,2
South Jamaica,neighborhood,1
South Ozone Park,neighborhood,2
Springfield Gardens North,neighborhood,5
Spuyten Duyvil-Kingsbridge,neighborhood,5
St. Albans,neighborhood,1
Sunset Park West,neighborhood,1
Todt Hill-Heartland Village,neighborhood,4
University Heights-Morris Heights,neighborhood,1
Upper West Side,neighborhood,3
Van Cortlandt Village,neighborhood,11
Washington Heights N.,neighborhood,6
Washington Heights S.,neighborhood,2
West Brighton,neighborhood,2
West Concourse,neighborhood,3
West Farms-Bronx River,neighborhood,6
West Village,neighborhood,1
Williamsbridge-Olinville,neighborhood,9
Williamsburg,neighborhood,7
Windsor Terrace,neighborhood,1
Yorkville,neighborhood,1
