value,label,count
Animal Science,area_of_study,1
Architecture,area_of_study,1
Business,area_of_study,1
Communications,area_of_study,1
Computer Science & Technology,area_of_study,1
"Computer Science, Math & Technology",area_of_study,1
Culinary Arts,area_of_study,1
Engineering,area_of_study,1
Environmental Science,area_of_study,1
Film/Video,area_of_study,1
Health Professions,area_of_study,1
"Hospitality, Travel, & Tourism",area_of_study,1
Humanities & Interdisciplinary,area_of_study,1
JROTC,area_of_study,1
Law & Government,area_of_study,1
Performing Arts,area_of_study,1
Performing Arts/ Visual Art & Design,area_of_study,1
Performing Arts/Visual Art & Design,area_of_study,1
Science & Math,area_of_study,1
Teaching,area_of_study,1
Visual Art & Design,area_of_study,1
