value,label,count
faballiance.org,website,1
http://chhayacdc.org/,website,1
http://harlemparktopark.org/,website,1
http://jamaica.nyc/,website,1
http://mpcbronx.org/,website,1
http://pitkinavenue.nyc/,website,1
https://ghpedc.org/,website,1
https://thirdavenuebid.org,website,1
https://www.bsdcorp.org,website,1
https://www.cloth159.org/,website,1
https://www.rockawaybusinessalliance.org/,website,1
www.161bid.org,website,1
www.82ndStreet.org,website,1
www.82ndstreet.org,website,1
www.bsdcorp.org,website,1
www.chinatownpartnership.org,website,3
www.cloth159.org,website,1
www.courtinnovation.org,website,1
www.discoverbeach116.com,website,1
www.evccnyc.org,website,1
www.faballiance.org,website,2
www.fdconline.org,website,2
"www.fdconline.org
",website,1
www.flatbushjunctionbid.com,website,1
www.grandstbklyn.com,website,2
www.grandstreetbk.org,website,1
www.harlemparktopark.org,website,2
www.hcci.org,website,1
www.historictappenpark.com,website,1
www.ibrooklyn.com,website,1
"www.ibrooklyn.com
",website,1
www.impacctbk.org,website,1
www.impacctbk.org;,website,1
www.krvcdc.org,website,3
"www.les.nyc
",website,2
www.lowereastside.org,website,1
www.mhhc.org,website,1
www.middev.org,website,3
www.montefiore.org,website,2
www.myrtleavenue.org,website,2
www.nidcny.org,website,2
www.oceanbaycdc.com/,website,1
www.pitkinavenue.nyc,website,2
www.placeful.org,website,1
www.queensny.org,website,3
www.rdrc.org,website,1
www.sbidc.org,website,3
www.siedc.org,website,1
www.sobro.org,website,1
www.sunnysideshines.org,website,2
www.twobridges.org,website,2
www.uprose.org,website,1
www.westbrightonldc.com,website,1
www.whbid181.org,website,2
www.whedco.org,website,1
www.wsbid.org,website,1
www.wsbid.org ,website,1
