value,label,count
old broadway,street_name,address
3 rd avenue,address,address
3 rd av,address,address
east broadway,street_name,address
6 street basin,address,address
west broadway,street_name,address
12 st extension,address,address
7 avenue south,address,address
richman plaza,building_name,building_name
peter minuit plaza,building_name,building_name
penn plaza,building_name,building_name
police plaza,building_name,building_name
rockefeller plaza,building_name,building_name
liberty plaza,building_name,building_name
waterside plaza,building_name,building_name
united nations plaza,building_name,building_name
eastgate plaza,building_name,building_name
grand army plaza,building_name,building_name
university plaza,building_name,building_name
lincoln center plaza,building_name,building_name
world trade center,building_name,building_name
new dorp plaza,building_name,building_name
queens plaza,building_name,building_name
esplanade gdns plaza,building_name,building_name
midtown tun plaza,building_name,building_name
metrotech center,building_name,building_name
manhattan college py,college_name,college_name
college point boulev,college_name,college_name
boardwalk,location_type,location_type
pier,location_type,location_type
esplanade,location_type,location_type
unk,location_type,location_type
willoughby,location_type,location_type
melba court,park_playground,park_playground
renaissance court,park_playground,park_playground
derby court,park_playground,park_playground
chatham square,park_playground,park_playground
derick court,park_playground,park_playground
sonia court,park_playground,park_playground
dryden court,park_playground,park_playground
jackson square,park_playground,park_playground
jake court,park_playground,park_playground
graham court,park_playground,park_playground
trenton court,park_playground,park_playground
ira court,park_playground,park_playground
wellington court,park_playground,park_playground
julie court,park_playground,park_playground
bergen court,park_playground,park_playground
station square,park_playground,park_playground
de koven court,park_playground,park_playground
stonecrest court,park_playground,park_playground
alex hamilton square,park_playground,park_playground
sutton square,park_playground,park_playground
macombs dam park,park_playground,park_playground
4 court,park_playground,park_playground
bradley court,park_playground,park_playground
harding park,park_playground,park_playground
westchester square,park_playground,park_playground
sniffen court,park_playground,park_playground
opal court,park_playground,park_playground
doe court,park_playground,park_playground
andrea court,park_playground,park_playground
tompkins court,park_playground,park_playground
davenport court,park_playground,park_playground
lawn court,park_playground,park_playground
brienna court,park_playground,park_playground
chase court,park_playground,park_playground
heather court,park_playground,park_playground
nova court,park_playground,park_playground
welling court,park_playground,park_playground
parkside court,park_playground,park_playground
brighton 4 court,park_playground,park_playground
epsom course,park_playground,park_playground
waldorf court,park_playground,park_playground
garland court,park_playground,park_playground
colita court,park_playground,park_playground
lacon court,park_playground,park_playground
pier 45,park_playground,park_playground
bee court,park_playground,park_playground
lynn court,park_playground,park_playground
gilmore court,park_playground,park_playground
elysian court,park_playground,park_playground
cooper square,park_playground,park_playground
francine court,park_playground,park_playground
north pier,park_playground,park_playground
hazel court,park_playground,park_playground
lester court,park_playground,park_playground
cranberry court,park_playground,park_playground
jojo court,park_playground,park_playground
mazza court,park_playground,park_playground
preston court,park_playground,park_playground
sagona court,park_playground,park_playground
pier 6,park_playground,park_playground
cedar grove court,park_playground,park_playground
joval court,park_playground,park_playground
park row,park_playground,park_playground
arrowood court,park_playground,park_playground
gain court,park_playground,park_playground
gracie square,park_playground,park_playground
bouck court,park_playground,park_playground
luke court,park_playground,park_playground
amory court,park_playground,park_playground
bragg court,park_playground,park_playground
neptune court,park_playground,park_playground
riverside park,park_playground,park_playground
murdock court,park_playground,park_playground
pier 59,park_playground,park_playground
st pauls court,park_playground,park_playground
pier 61,park_playground,park_playground
lulu court,park_playground,park_playground
herald square,park_playground,park_playground
claudia court,park_playground,park_playground
lincoln square,park_playground,park_playground
grille court,park_playground,park_playground
times square,park_playground,park_playground
montauk court,park_playground,park_playground
pier 9,park_playground,park_playground
frank court,park_playground,park_playground
abbey court,park_playground,park_playground
st paul's court,park_playground,park_playground
pier 32,park_playground,park_playground
canton court,park_playground,park_playground
racal court,park_playground,park_playground
hillcrest court,park_playground,park_playground
cobeck court,park_playground,park_playground
beacon court,park_playground,park_playground
pier 50,park_playground,park_playground
pier 54,park_playground,park_playground
garden court,park_playground,park_playground
bowling green,park_playground,park_playground
beach channel,park_playground,park_playground
brick court,park_playground,park_playground
brighton 10 court,park_playground,park_playground
carmel court,park_playground,park_playground
dare court,park_playground,park_playground
bryant park,park_playground,park_playground
catherine court,park_playground,park_playground
mesereau court,park_playground,park_playground
fort hill park,park_playground,park_playground
bobby bello field,park_playground,park_playground
pier 49,park_playground,park_playground
coonley court,park_playground,park_playground
lowe court,park_playground,park_playground
tabor court,park_playground,park_playground
karen court,park_playground,park_playground
washington park,park_playground,park_playground
grace court,park_playground,park_playground
galesville court,park_playground,park_playground
fane court,park_playground,park_playground
cook court,park_playground,park_playground
cooke court,park_playground,park_playground
coleman square,park_playground,park_playground
post court,park_playground,park_playground
brower court,park_playground,park_playground
nancy court,park_playground,park_playground
harbour court,park_playground,park_playground
battery park,park_playground,park_playground
blake court,park_playground,park_playground
jessie court,park_playground,park_playground
sheridan square,park_playground,park_playground
rockaway beach boule,park_playground,park_playground
kay court,park_playground,park_playground
just court,park_playground,park_playground
westbury court,park_playground,park_playground
pier 19,park_playground,park_playground
sylvan court,park_playground,park_playground
rolling hill green,park_playground,park_playground
richmond court,park_playground,park_playground
pelham bay park,park_playground,park_playground
fraser square,park_playground,park_playground
ebony court,park_playground,park_playground
alexandra court,park_playground,park_playground
spencer court,park_playground,park_playground
aster court,park_playground,park_playground
allen court,park_playground,park_playground
holbernt court,park_playground,park_playground
botanical square,park_playground,park_playground
brightwater court,park_playground,park_playground
shore parkaway,park_playground,park_playground
gramercy park,park_playground,park_playground
grant square,park_playground,park_playground
pier 42,park_playground,park_playground
benton court,park_playground,park_playground
behan court,park_playground,park_playground
arlington court,park_playground,park_playground
aurelia court,park_playground,park_playground
jarvis court,park_playground,park_playground
gerald court,park_playground,park_playground
overlook court,park_playground,park_playground
weiher court,park_playground,park_playground
prospect park sw,park_playground,park_playground
bement court,park_playground,park_playground
dana court,park_playground,park_playground
kathleen court,park_playground,park_playground
beach reservation,park_playground,park_playground
ft schuyler park,park_playground,park_playground
park hill court,park_playground,park_playground
153 court,park_playground,park_playground
hanover square,park_playground,park_playground
teri court,park_playground,park_playground
davidson court,park_playground,park_playground
lamont court,park_playground,park_playground
drew court,park_playground,park_playground
nixon court,park_playground,park_playground
magnolia court,park_playground,park_playground
eden court,park_playground,park_playground
merit court,park_playground,park_playground
golf view court,park_playground,park_playground
pier 56,park_playground,park_playground
3 court,park_playground,park_playground
perine court,park_playground,park_playground
schenck court,park_playground,park_playground
lilac court,park_playground,park_playground
webers court,park_playground,park_playground
burchard court,park_playground,park_playground
carlton court,park_playground,park_playground
kathy court,park_playground,park_playground
chester court,park_playground,park_playground
manhattan court,park_playground,park_playground
tennis court,park_playground,park_playground
pier 48,park_playground,park_playground
st andrews court,park_playground,park_playground
greenwood court,park_playground,park_playground
donna court,park_playground,park_playground
albee square,park_playground,park_playground
castleton court,park_playground,park_playground
whale square,park_playground,park_playground
morse court,park_playground,park_playground
fleet court,park_playground,park_playground
emerson court,park_playground,park_playground
horace court,park_playground,park_playground
dalian court,park_playground,park_playground
pier 34,park_playground,park_playground
waldane court,park_playground,park_playground
pier 36,park_playground,park_playground
wainwright court,park_playground,park_playground
