value,label,count
#,zip_code,1
# #,zip_code,1
',zip_code,1
* *,zip_code,1
-9528,zip_code,1
00000,zip_code,1
00002,zip_code,1
00011,zip_code,1
00195,zip_code,1
00197,zip_code,1
00679,zip_code,1
00705,zip_code,1
00907,zip_code,1
00912,zip_code,1
01018,zip_code,1
01020,zip_code,1
01036,zip_code,1
01040,zip_code,1
010467,zip_code,1
01060,zip_code,1
01082,zip_code,1
01106,zip_code,1
01111,zip_code,1
01138,zip_code,1
01230,zip_code,1
01244,zip_code,1
01245,zip_code,1
01259,zip_code,1
01264,zip_code,1
01266,zip_code,1
01451,zip_code,1
01468,zip_code,1
01471,zip_code,1
01545,zip_code,1
01702,zip_code,1
01721,zip_code,1
017410,zip_code,1
01742,zip_code,1
01746,zip_code,1
01772,zip_code,1
01821,zip_code,1
01886,zip_code,1
01960,zip_code,1
01966,zip_code,1
01983,zip_code,1
02021,zip_code,1
02109,zip_code,1
02110,zip_code,1
02111,zip_code,1
02113,zip_code,1
02114,zip_code,1
02115,zip_code,1
02116,zip_code,1
02128,zip_code,1
02129,zip_code,1
02130,zip_code,1
02131,zip_code,1
02132,zip_code,1
02138,zip_code,1
02139,zip_code,1
02140,zip_code,1
02143,zip_code,1
02150,zip_code,1
02155,zip_code,1
02165,zip_code,1
02172,zip_code,1
02184,zip_code,1
021990262,zip_code,1
02210,zip_code,1
02215,zip_code,1
02360,zip_code,1
02368,zip_code,1
02421,zip_code,1
02445,zip_code,1
02459,zip_code,1
02462,zip_code,1
02465,zip_code,1
02467,zip_code,1
02472,zip_code,1
02476,zip_code,1
02478,zip_code,1
02482,zip_code,1
02492,zip_code,1
02493,zip_code,1
02539,zip_code,1
02563,zip_code,1
02642,zip_code,1
02721,zip_code,1
02748,zip_code,1
02837,zip_code,1
02840,zip_code,1
02863,zip_code,1
02871,zip_code,1
02874,zip_code,1
02879,zip_code,1
02886,zip_code,1
02891,zip_code,1
02903,zip_code,1
02904,zip_code,1
02906,zip_code,1
02920,zip_code,1
03043,zip_code,1
03064,zip_code,1
03087,zip_code,1
03101,zip_code,1
03110,zip_code,1
03141,zip_code,1
03194,zip_code,1
03226,zip_code,1
03276,zip_code,1
03304,zip_code,1
03307,zip_code,1
03451,zip_code,1
03457,zip_code,1
03458,zip_code,1
03561,zip_code,1
03801,zip_code,1
03820,zip_code,1
03842,zip_code,1
03870,zip_code,1
03885,zip_code,1
04074,zip_code,1
04101,zip_code,1
04102,zip_code,1
04103,zip_code,1
04330,zip_code,1
046273756,zip_code,1
046279722,zip_code,1
04841,zip_code,1
04852,zip_code,1
04915,zip_code,1
05154,zip_code,1
05156,zip_code,1
05255,zip_code,1
05301,zip_code,1
05355,zip_code,1
05358,zip_code,1
05363,zip_code,1
05390,zip_code,1
05401,zip_code,1
05602,zip_code,1
05641,zip_code,1
05648,zip_code,1
05734,zip_code,1
05738,zip_code,1
05819,zip_code,1
05821,zip_code,1
06001,zip_code,1
06002,zip_code,1
06013,zip_code,1
06029,zip_code,1
06033,zip_code,1
06039,zip_code,1
06042,zip_code,1
06051,zip_code,1
06053,zip_code,1
06067,zip_code,1
06070,zip_code,1
06085,zip_code,1
06091,zip_code,1
06103,zip_code,1
06107,zip_code,1
06109,zip_code,1
06111,zip_code,1
06117,zip_code,1
06119,zip_code,1
06120,zip_code,1
06268,zip_code,1
06281,zip_code,1
06335,zip_code,1
06357,zip_code,1
06360,zip_code,1
06371,zip_code,1
06385,zip_code,1
06404,zip_code,1
06405,zip_code,1
06426,zip_code,1
06430,zip_code,1
06443,zip_code,1
06457,zip_code,1
06460,zip_code,1
064608115,zip_code,1
06461,zip_code,1
06470,zip_code,1
06471,zip_code,1
06475,zip_code,1
06478,zip_code,1
064791922,zip_code,1
06483,zip_code,1
06484,zip_code,1
06488,zip_code,1
06492,zip_code,1
06510,zip_code,1
06511,zip_code,1
06517,zip_code,1
06520,zip_code,1
06525,zip_code,1
06604,zip_code,1
06611,zip_code,1
06612,zip_code,1
06614,zip_code,1
06615,zip_code,1
06701,zip_code,1
06759,zip_code,1
06784,zip_code,1
06790,zip_code,1
06801,zip_code,1
06804,zip_code,1
06807,zip_code,1
068071113,zip_code,1
06810,zip_code,1
06811,zip_code,1
06812,zip_code,1
06820,zip_code,1
06824,zip_code,1
06825,zip_code,1
06830,zip_code,1
06831,zip_code,1
06836,zip_code,1
06840,zip_code,1
06850,zip_code,1
06851,zip_code,1
06854,zip_code,1
06870,zip_code,1
06877,zip_code,1
06878,zip_code,1
06880,zip_code,1
06883,zip_code,1
06890,zip_code,1
068901074,zip_code,1
06896,zip_code,1
06897,zip_code,1
06901,zip_code,1
06902,zip_code,1
06903,zip_code,1
06905,zip_code,1
06906,zip_code,1
06907,zip_code,1
07001,zip_code,1
07002,zip_code,1
07003,zip_code,1
07004,zip_code,1
07006,zip_code,1
07009,zip_code,1
07010,zip_code,1
07011,zip_code,1
07012,zip_code,1
07013,zip_code,1
07014,zip_code,1
07016,zip_code,1
07017,zip_code,1
07018,zip_code,1
070182717,zip_code,1
07020,zip_code,1
070201121,zip_code,1
07021,zip_code,1
07022,zip_code,1
07023,zip_code,1
07024,zip_code,1
07026,zip_code,1
07029,zip_code,1
07030,zip_code,1
070316537,zip_code,1
07032,zip_code,1
07033,zip_code,1
07035,zip_code,1
07036,zip_code,1
07039,zip_code,1
07040,zip_code,1
07041,zip_code,1
07042,zip_code,1
07043,zip_code,1
07045,zip_code,1
07047,zip_code,1
07050,zip_code,1
07052,zip_code,1
07054,zip_code,1
07055,zip_code,1
07056,zip_code,1
07057,zip_code,1
070571333,zip_code,1
07059,zip_code,1
07060,zip_code,1
07062,zip_code,1
07065,zip_code,1
07066,zip_code,1
07068,zip_code,1
07069,zip_code,1
07070,zip_code,1
07071,zip_code,1
07072,zip_code,1
07073,zip_code,1
07074,zip_code,1
07075,zip_code,1
07076,zip_code,1
07078,zip_code,1
07079,zip_code,1
07080,zip_code,1
07081,zip_code,1
07082,zip_code,1
07083,zip_code,1
07086,zip_code,1
07087,zip_code,1
07090,zip_code,1
07092,zip_code,1
07093,zip_code,1
07094,zip_code,1
07095,zip_code,1
07099,zip_code,1
07102,zip_code,1
07103,zip_code,1
07104,zip_code,1
07105,zip_code,1
07109,zip_code,1
07110,zip_code,1
07111,zip_code,1
07112,zip_code,1
07201,zip_code,1
07202,zip_code,1
07203,zip_code,1
07204,zip_code,1
07205,zip_code,1
07206,zip_code,1
07208,zip_code,1
07302,zip_code,1
07303,zip_code,1
07304,zip_code,1
07305,zip_code,1
07306,zip_code,1
07307,zip_code,1
07310,zip_code,1
07311,zip_code,1
07331,zip_code,1
07401,zip_code,1
07405,zip_code,1
07407,zip_code,1
07410,zip_code,1
07414,zip_code,1
07417,zip_code,1
07419,zip_code,1
07420,zip_code,1
07421,zip_code,1
07424,zip_code,1
07430,zip_code,1
07432,zip_code,1
07436,zip_code,1
07438,zip_code,1
07440,zip_code,1
07442,zip_code,1
07446,zip_code,1
07450,zip_code,1
07452,zip_code,1
07456,zip_code,1
07457,zip_code,1
07458,zip_code,1
074581009,zip_code,1
07463,zip_code,1
07470,zip_code,1
07471,zip_code,1
074744276,zip_code,1
07480,zip_code,1
07481,zip_code,1
07504,zip_code,1
07506,zip_code,1
07508,zip_code,1
07511,zip_code,1
07512,zip_code,1
07513,zip_code,1
07514,zip_code,1
07601,zip_code,1
07603,zip_code,1
07605,zip_code,1
07607,zip_code,1
07608,zip_code,1
07620,zip_code,1
07621,zip_code,1
