value,label,count
Allerton,neighborhood,4
Arden Heights,neighborhood,1
Arverne,neighborhood,1
Astoria,neighborhood,5
Auburndale,neighborhood,2
Bath Beach,neighborhood,1
Battery Park City,neighborhood,2
Bay Ridge,neighborhood,2
Bay Terrace,neighborhood,1
Bayside,neighborhood,1
Bedford-Stuyvesant,neighborhood,8
Belle Harbor,neighborhood,1
Bellerose,neighborhood,2
Belmont,neighborhood,3
Bensonhurst,neighborhood,5
Bensonhurst West,neighborhood,1
Bergen Beach,neighborhood,1
Boerum Hill,neighborhood,1
Borough Park,neighborhood,6
Breezy Point-Rockaway Park,neighborhood,2
Briarwood,neighborhood,1
Briarwood-Jamaica Hills,neighborhood,2
Brighton Beach,neighborhood,2
Broad Channel,neighborhood,1
Brooklyn Heights,neighborhood,1
Brownsville,neighborhood,10
Bushwick,neighborhood,12
Cambria Heights,neighborhood,1
Canarsie,neighborhood,4
Carroll Gardens,neighborhood,1
Carroll Gardens-Red Hook,neighborhood,1
Castle Hill-Clason Point,neighborhood,2
Central Harlem,neighborhood,6
Central Harlem North,neighborhood,3
Central Harlem South,neighborhood,2
Chelsea,neighborhood,1
Chelsea-Union Sq,neighborhood,2
Chinatown,neighborhood,3
City Island,neighborhood,1
Claremont,neighborhood,5
Claremont-Bathgate,neighborhood,2
Clason Point,neighborhood,1
Clinton,neighborhood,2
Clinton Hill,neighborhood,1
Co-op City,neighborhood,3
College Point,neighborhood,1
Concourse Village,neighborhood,2
Coney Island,neighborhood,2
Corona,neighborhood,2
Crotona Park East,neighborhood,6
Crown Heights North,neighborhood,3
Crown Heights South,neighborhood,2
Cypress Hills,neighborhood,2
DUMBO-Downtown Brooklyn,neighborhood,3
Douglaston-Little Neck,neighborhood,1
Dyker Heights,neighborhood,4
E. Concourse-Concourse Village,neighborhood,4
East Concourse-Concourse Village,neighborhood,5
East Elmhurst,neighborhood,2
East Flatbush,neighborhood,9
East Harlem,neighborhood,14
East Harlem South,neighborhood,2
East New York,neighborhood,11
East Tremont,neighborhood,9
East Village,neighborhood,2
East Williamsburg,neighborhood,1
Eastchester-Edenwald-Baychester,neighborhood,3
Edgemere,neighborhood,2
Elmhurst,neighborhood,1
Elmhurst-Maspeth,neighborhood,1
Far Rockaway,neighborhood,3
Far Rockaway-Bayswater,neighborhood,2
Fieldston-Riverdale,neighborhood,1
Flatbush,neighborhood,3
Flatiron,neighborhood,1
Flushing,neighborhood,2
Flushing Heights-Hillcrest,neighborhood,1
Fordham South,neighborhood,5
Forest Hills,neighborhood,3
Fort Greene,neighborhood,4
Glen Oaks,neighborhood,1
Glendale,neighborhood,2
Gramercy,neighborhood,5
Graniteville,neighborhood,1
Gravesend,neighborhood,2
Great Kills,neighborhood,1
Greenpoint,neighborhood,1
Greenwich Village,neighborhood,1
Hamilton Heights,neighborhood,1
Hammels-Arverne,neighborhood,1
Heartland Village,neighborhood,1
Highbridge,neighborhood,1
Hollis,neighborhood,2
Homecrest,neighborhood,1
Howard Beach,neighborhood,2
Hunters Point,neighborhood,1
Hunters Point-Sunnyside,neighborhood,1
Hunts Point,neighborhood,4
Inwood,neighborhood,5
Jackson Heights,neighborhood,2
Jamaica,neighborhood,3
Jamaica Estates-Holliswood,neighborhood,1
Kensington,neighborhood,1
Kensington-Ocean Parkway,neighborhood,1
Kew Gardens Hills,neighborhood,5
Kingsbridge Heights,neighborhood,2
Laurelton,neighborhood,2
Lincoln Square,neighborhood,3
Lindenwood,neighborhood,1
Long Island City,neighborhood,3
Longwood,neighborhood,2
Lower East Side,neighborhood,7
Lower Manhattan,neighborhood,2
Madison,neighborhood,1
Manhattanville,neighborhood,7
Marine Park,neighborhood,2
Maspeth,neighborhood,1
Melrose,neighborhood,5
Melrose S.-Mott Haven N.,neighborhood,1
Middle Village,neighborhood,3
