value,label,count
ALGEBRA,subject_in_school,1
CHEMISTRY,subject_in_school,1
EARTH SCIENCE,subject_in_school,1
ECONOMICS,subject_in_school,1
ENGLISH 10,subject_in_school,1
ENGLISH 11,subject_in_school,1
ENGLISH 12,subject_in_school,1
ENGLISH 9,subject_in_school,1
GEOMETRY,subject_in_school,1
GLOBAL HISTORY 10,subject_in_school,1
GLOBAL HISTORY 9,subject_in_school,1
LIVING ENVIRONMENT,subject_in_school,1
MATH A,subject_in_school,1
MATH B,subject_in_school,1
PHYSICS,subject_in_school,1
US GOVERNMENT,subject_in_school,1
US GOVERNMENT & ECONOMICS,subject_in_school,1
US HISTORY,subject_in_school,1
