value,label,count
0,zip_code,1
0.0,zip_code,1
02420,zip_code,1
02840,zip_code,1
04103,zip_code,1
04106,zip_code,1
05445,zip_code,1
056832,zip_code,1
06002,zip_code,1
06013,zip_code,1
06040,zip_code,1
06105,zip_code,1
06106,zip_code,1
06237,zip_code,1
06437,zip_code,1
06510,zip_code,1
06754,zip_code,1
06757,zip_code,1
06811,zip_code,1
06830,zip_code,1
06831,zip_code,1
06880,zip_code,1
06890,zip_code,1
06901,zip_code,1
06902,zip_code,1
06905,zip_code,1
06906,zip_code,1
07001,zip_code,1
07002,zip_code,1
07003,zip_code,1
07006,zip_code,1
07016,zip_code,1
07020,zip_code,1
07024,zip_code,1
07027,zip_code,1
07030,zip_code,1
07042,zip_code,1
07043,zip_code,1
07045,zip_code,1
07047,zip_code,1
07052,zip_code,1
07069,zip_code,1
07071,zip_code,1
07074,zip_code,1
07078,zip_code,1
07079,zip_code,1
07080,zip_code,1
07081,zip_code,1
07090,zip_code,1
07092,zip_code,1
07093,zip_code,1
07102,zip_code,1
07103,zip_code,1
07107,zip_code,1
07203,zip_code,1
07204,zip_code,1
07205,zip_code,1
07208,zip_code,1
07302,zip_code,1
07305,zip_code,1
07306,zip_code,1
07417,zip_code,1
07432,zip_code,1
07435,zip_code,1
07440,zip_code,1
07444,zip_code,1
07450,zip_code,1
07458,zip_code,1
07470,zip_code,1
07481,zip_code,1
07506,zip_code,1
07512,zip_code,1
07601,zip_code,1
07624,zip_code,1
07631,zip_code,1
07632,zip_code,1
07641,zip_code,1
07649,zip_code,1
07650,zip_code,1
07652,zip_code,1
07653,zip_code,1
07660,zip_code,1
07666,zip_code,1
07670,zip_code,1
07677,zip_code,1
07716,zip_code,1
07719,zip_code,1
07726,zip_code,1
07730,zip_code,1
07735,zip_code,1
07746,zip_code,1
07747,zip_code,1
07748,zip_code,1
07762,zip_code,1
07821,zip_code,1
07840,zip_code,1
07882,zip_code,1
07930,zip_code,1
07932,zip_code,1
07940,zip_code,1
07960,zip_code,1
08003,zip_code,1
08016,zip_code,1
08081,zip_code,1
08318,zip_code,1
08534,zip_code,1
08540,zip_code,1
08610,zip_code,1
08648,zip_code,1
08801,zip_code,1
08816,zip_code,1
08840,zip_code,1
08844,zip_code,1
08854,zip_code,1
08861,zip_code,1
08872,zip_code,1
08873,zip_code,1
08901,zip_code,1
08902,zip_code,1
10000,zip_code,1
10000.0,zip_code,1
10001,zip_code,1
10001.0,zip_code,1
100018,zip_code,1
10002,zip_code,1
10002.0,zip_code,1
10003,zip_code,1
10003.0,zip_code,1
100036.0,zip_code,1
10004,zip_code,1
10004.0,zip_code,1
10005,zip_code,1
10005.0,zip_code,1
10006,zip_code,1
10006.0,zip_code,1
10007,zip_code,1
10007.0,zip_code,1
10008,zip_code,1
10008.0,zip_code,1
10009,zip_code,1
10009.0,zip_code,1
1001,zip_code,1
10010,zip_code,1
10010.0,zip_code,1
10011,zip_code,1
10011-4640,zip_code,1
10011.0,zip_code,1
10012,zip_code,1
10012.0,zip_code,1
10013,zip_code,1
10013-3512,zip_code,1
10013-3962,zip_code,1
10013.0,zip_code,1
10014,zip_code,1
10014.0,zip_code,1
10015,zip_code,1
10015.0,zip_code,1
10016,zip_code,1
10016-0133,zip_code,1
10016-2203,zip_code,1
10016.0,zip_code,1
10017,zip_code,1
10017.0,zip_code,1
10018,zip_code,1
10018.0,zip_code,1
10019,zip_code,1
10019.0,zip_code,1
10020,zip_code,1
10020.0,zip_code,1
10021,zip_code,1
10021.0,zip_code,1
10022,zip_code,1
10022.0,zip_code,1
10023,zip_code,1
10023.0,zip_code,1
10024,zip_code,1
10024.0,zip_code,1
10025,zip_code,1
10025.0,zip_code,1
10026,zip_code,1
10026.0,zip_code,1
10027,zip_code,1
10027.0,zip_code,1
10028,zip_code,1
10028.0,zip_code,1
10029,zip_code,1
10029.0,zip_code,1
10030,zip_code,1
10030.0,zip_code,1
10031,zip_code,1
10031.0,zip_code,1
10032,zip_code,1
10032.0,zip_code,1
10033,zip_code,1
10033.0,zip_code,1
10034,zip_code,1
10034.0,zip_code,1
10035,zip_code,1
10035.0,zip_code,1
10036,zip_code,1
10036-5900,zip_code,1
10036.0,zip_code,1
10037,zip_code,1
10037.0,zip_code,1
10038,zip_code,1
10038.0,zip_code,1
10039,zip_code,1
10039.0,zip_code,1
10040,zip_code,1
10040.0,zip_code,1
10041,zip_code,1
10041.0,zip_code,1
10042,zip_code,1
10042.0,zip_code,1
10044,zip_code,1
10044.0,zip_code,1
10046,zip_code,1
10047.0,zip_code,1
10048,zip_code,1
10048.0,zip_code,1
10050,zip_code,1
10052,zip_code,1
10052.0,zip_code,1
10054.0,zip_code,1
10056,zip_code,1
10058,zip_code,1
10058.0,zip_code,1
1006,zip_code,1
10062,zip_code,1
10064.0,zip_code,1
10065,zip_code,1
10065.0,zip_code,1
10066,zip_code,1
10066.0,zip_code,1
10068,zip_code,1
10068.0,zip_code,1
10069,zip_code,1
10069.0,zip_code,1
1007,zip_code,1
1007.0,zip_code,1
10070,zip_code,1
10070.0,zip_code,1
10072,zip_code,1
10073,zip_code,1
10073.0,zip_code,1
10074,zip_code,1
10074.0,zip_code,1
10075,zip_code,1
10075.0,zip_code,1
