value,label,count
ACS,city_agency,49
BKBP,city_agency,2
BKCB,city_agency,26
BP-MN,city_agency,1
BPL,city_agency,6
BXBP,city_agency,2
BXCB,city_agency,31
CCRB,city_agency,2
CUNY,city_agency,309
Clerk,city_agency,1
DABK,city_agency,4
DABX,city_agency,7
DANY,city_agency,3
DAQN,city_agency,2
DASI,city_agency,7
DCA,city_agency,1695
DCLA,city_agency,516
DCP,city_agency,1
DFTA,city_agency,3012
DHS,city_agency,57
DJJ,city_agency,4
DOE,city_agency,627
DOHMH,city_agency,1450
DOHMH ,city_agency,1
DOITT,city_agency,12
DOP,city_agency,2
DOT,city_agency,11
DPR,city_agency,297
DSBS,city_agency,428
DSNY,city_agency,41
DSS,city_agency,55
DYCD,city_agency,7457
FDNY,city_agency,109
HHC,city_agency,26
HPD,city_agency,503
HRA,city_agency,22
MAYOR,city_agency,2
MISC,city_agency,265
MNBP,city_agency,2
MNCB,city_agency,42
Mayor,city_agency,1
Misc.,city_agency,4
NYCHA,city_agency,171
NYPD,city_agency,6
NYPL,city_agency,2
NYPL ,city_agency,2
NYPL-R,city_agency,7
OCJC,city_agency,147
OEM,city_agency,9
OSNP,city_agency,2
PA,city_agency,8
PABK,city_agency,2
PABX,city_agency,2
PANY,city_agency,2
PAQN,city_agency,2
PASI,city_agency,3
QBPL,city_agency,4
QNBP,city_agency,2
QNCB,city_agency,20
SIBP,city_agency,8
SICB,city_agency,3
