value,label,count
BATHGATE,neighborhood,7
BAYCHESTER,neighborhood,1
BEDFORD PARK/NORWOOD,neighborhood,30
BELMONT,neighborhood,5
BRONXDALE,neighborhood,13
CASTLE HILL/UNIONPORT,neighborhood,3
CITY ISLAND,neighborhood,1
CO-OP CITY,neighborhood,2
COUNTRY CLUB,neighborhood,2
CROTONA PARK,neighborhood,6
EAST TREMONT,neighborhood,30
FIELDSTON,neighborhood,6
FORDHAM,neighborhood,12
HIGHBRIDGE/MORRIS HEIGHTS,neighborhood,24
HUNTS POINT,neighborhood,4
KINGSBRIDGE HTS/UNIV HTS,neighborhood,12
KINGSBRIDGE/JEROME PARK,neighborhood,38
MELROSE/CONCOURSE,neighborhood,27
MORRIS PARK/VAN NEST,neighborhood,6
MORRISANIA/LONGWOOD,neighborhood,43
MOTT HAVEN/PORT MORRIS,neighborhood,4
MOUNT HOPE/MOUNT EDEN,neighborhood,11
PARKCHESTER,neighborhood,5
PELHAM PARKWAY NORTH,neighborhood,1
PELHAM PARKWAY SOUTH,neighborhood,16
RIVERDALE,neighborhood,92
SCHUYLERVILLE/PELHAM BAY,neighborhood,7
SOUNDVIEW,neighborhood,5
VAN CORTLANDT PARK,neighborhood,1
WAKEFIELD,neighborhood,2
WESTCHESTER,neighborhood,1
WILLIAMSBRIDGE,neighborhood,8
WOODLAWN,neighborhood,8
