value,label,count
(JCOV,color,1
)H,color,1
",",color,1
", ,U",color,1
",,",color,1
",.,,",color,1
",BIK",color,1
",BK",color,1
",O,",color,1
",SIN,",color,1
",YW",color,1
-   .,color,1
--,color,1
-DGR,color,1
-H,color,1
-K,color,1
-N,color,1
-O,color,1
.,color,1
.  .,color,1
. ..A,color,1
. .Q,color,1
. EZ,color,1
. F,color,1
. K,color,1
. N,color,1
.-,color,1
.-Y,color,1
..,color,1
...,color,1
....,color,1
.....,color,1
..L C,color,1
./H,color,1
.AY,color,1
.BK,color,1
.BLK,color,1
.I,color,1
.IN,color,1
.JP,color,1
.JU,color,1
.K,color,1
.M,color,1
.N,color,1
.R,color,1
.SL,color,1
.U,color,1
.WHI,color,1
.X,color,1
/,color,1
/.,color,1
//OW,color,1
/A,color,1
/ACK,color,1
/AN,color,1
/C J,color,1
/EK,color,1
/LA,color,1
/M,color,1
/M-Y,color,1
/XID,color,1
0,color,1
13,color,1
14,color,1
A,color,1
A .X-,color,1
A/,color,1
ACK,color,1
ACURA,color,1
AGUA,color,1
AICL,color,1
AILV,color,1
AILVE,color,1
ALM,color,1
ALT,color,1
ALUMI,color,1
AME,color,1
AMETH,color,1
AN,color,1
ANNE,color,1
APPOT,color,1
AQ,color,1
AQ.,color,1
AQUA,color,1
AR,color,1
ASRRN,color,1
AUDI,color,1
AUDIL,color,1
AY,color,1
AZ,color,1
B,color,1
B ACK,color,1
B ACL,color,1
B IE,color,1
B K,color,1
B L,color,1
B LAC,color,1
B LAK,color,1
B LK,color,1
B LU,color,1
B LUE,color,1
B LUR,color,1
B N,color,1
B UE,color,1
B.,color,1
B/,color,1
B/G,color,1
B/K,color,1
B/L,color,1
B/QC,color,1
B/RD,color,1
B/S,color,1
B/WH,color,1
B;ACK,color,1
B;ACL,color,1
B;IE,color,1
BA,color,1
BACK,color,1
BADGE,color,1
BAGE,color,1
BAIG,color,1
BAIGE,color,1
BALC,color,1
BALCK,color,1
BAN,color,1
BANK,color,1
BAR.,color,1
BARG,color,1
BARK,color,1
BB,color,1
BBKE,color,1
BBLAC,color,1
BBLK,color,1
BBLUE,color,1
BBR,color,1
BBRW,color,1
BBRWN,color,1
BBW,color,1
BC,color,1
BCH,color,1
BCK,color,1
BD,color,1
BE,color,1
BEACH,color,1
BED,color,1
BEG,color,1
BEGE,color,1
BEGIE,color,1
BEGNN,color,1
BEI,color,1
BEIDG,color,1
BEIEG,color,1
BEIG,color,1
BEIGE,color,1
BEIGF,color,1
BEIGH,color,1
BEIGR,color,1
BEIGU,color,1
BEIRG,color,1
BEISE,color,1
BELGE,color,1
BEN,color,1
BEOWN,color,1
BER,color,1
BERG,color,1
BERGA,color,1
BERGE,color,1
BERGU,color,1
BERIG,color,1
BERIN,color,1
BEROW,color,1
BESE,color,1
BEUGE,color,1
BEW,color,1
BG,color,1
BG.,color,1
BGD,color,1
BGDY,color,1
BGE,color,1
BGE.,color,1
BGNDY,color,1
BGR,color,1
BGREE,color,1
BH,color,1
BH.W,color,1
BHL,color,1
BI,color,1
BIA,color,1
BIACK,color,1
BIARG,color,1
BIC,color,1
BIDWN,color,1
BIEGE,color,1
BIESE,color,1
BIGCK,color,1
BIGE,color,1
BIK,color,1
"BIK,",color,1
BIKE,color,1
BIL,color,1
BILK,color,1
BIMK,color,1
BIN,color,1
BIR,color,1
BIRCH,color,1
BIRGE,color,1
BIU,color,1
BIUE,color,1
BIYX,color,1
