value,label,count
7th avenue sout,address,address
127 avenue bldg 8,address,address
e broadway,street_name,address
229 drive south,address,address
58th street bldg a,address,address
229th drive north,address,address
49th street kronish building,address,address
old broadway,street_name,address
7th avenue so,address,address
7th ave south,address,address
tavern on the green,park_playground,address
127 avenue bldg 5,address,address
48th street gellman building,address,address
east broadway,street_name,address
bronx and pelham parkway,address,address
10th avenue aron building,address,address
71 st road,address,address
bx and pelham pkwy,address,address
7th avenue south,address,address
7th ave so,address,address
west broadway,street_name,address
0treet code not valid or street,address,address
7 ave s,address,address
7 avenue sou,address,address
14 road exten,address,address
e. broadway,street_name,address
229th drive south,address,address
229 drive nort,address,address
12 st extension,address,address
229 drive north,address,address
229 drive sout,address,address
bx and pelham parkway,address,address
w broadway,street_name,address
7 avenue south,address,address
aviation plaza,building_name,building_name
pelham pkwy south medical center,building_name,building_name
world financial center,building_name,building_name
metro tech plaza,building_name,building_name
west farms square plaza,building_name,building_name
bridge plaza,building_name,building_name
un plaza,building_name,building_name
richman plaza,building_name,building_name
penn plaza,building_name,building_name
lincoln plaza,building_name,building_name
police plaza,building_name,building_name
kings plaza,building_name,building_name
rockefeller plaza,building_name,building_name
richmond plaza,building_name,building_name
queens plaza so,building_name,building_name
federal plaza,building_name,building_name
food center roa,building_name,building_name
liberty plaza,building_name,building_name
pace plaza,building_name,building_name
chase manhattan plaza,building_name,building_name
waterside plaza,building_name,building_name
jamaica center plaza,building_name,building_name
haven plaza,building_name,building_name
ny plaza,building_name,building_name
united nations plaza,building_name,building_name
edgewater plaza,building_name,building_name
centre mall,building_name,building_name
exchange plaza,building_name,building_name
eastgate plaza,building_name,building_name
university plaza,building_name,building_name
lincoln center plaza,building_name,building_name
lincoln center,building_name,building_name
pennsylvania plaza,building_name,building_name
intrepid plaza,building_name,building_name
confucius plaza,building_name,building_name
cadman plaza we,building_name,building_name
center mall,building_name,building_name
cadman plaza ea,building_name,building_name
world trade center,building_name,building_name
new dorp plaza,building_name,building_name
astor plaza,building_name,building_name
metrotech plaza,building_name,building_name
u n plaza,building_name,building_name
queens plaza no,building_name,building_name
bridge plaza so,building_name,building_name
cadman plaza,building_name,building_name
state street plaza,building_name,building_name
queens plaza,building_name,building_name
fordham plaza,building_name,building_name
bridge plaza no,building_name,building_name
manhattan plaza,building_name,building_name
esplanade gdns plaza,building_name,building_name
surfside plaza,building_name,building_name
newkirk plaza,building_name,building_name
new york plaza,building_name,building_name
metro tech center,building_name,building_name
metrotech center,building_name,building_name
rockefeller center,building_name,building_name
bankers trust plaza,building_name,building_name
kings college p,college_name,college_name
manh college pa,college_name,college_name
university plac,college_name,college_name
manhattan college pkway,college_name,college_name
university plaz,college_name,college_name
university aven,college_name,college_name
college point b,college_name,college_name
neptune.ave,location_type,location_type
graham.ave,location_type,location_type
briggs.ave,location_type,location_type
avenue.s,location_type,location_type
concord.ave,location_type,location_type
prospect.park.west,location_type,location_type
unionturnpike,location_type,location_type
amboy.street,location_type,location_type
ave.c,location_type,location_type
mc.donald.ave,location_type,location_type
fordham.st,location_type,location_type
avenue.l,location_type,location_type
bergen.st,location_type,location_type
ave.n,location_type,location_type
lexington.ave,location_type,location_type
pine.st,location_type,location_type
kings.highway,location_type,location_type
boardwalk,location_type,location_type
amsterdam.ave,location_type,location_type
stockholm.street,location_type,location_type
bainbridge,location_type,location_type
avenue..o,location_type,location_type
francis.lewis.blvd,location_type,location_type
ave.d,location_type,location_type
wilson.ave,location_type,location_type
westchester.ave,location_type,location_type
buffalo.ave,location_type,location_type
broadway.....................y,location_type,location_type
ocean.parkway,location_type,location_type
pond.street,location_type,location_type
hhp,location_type,location_type
rodney.st,location_type,location_type
berkeley.place,location_type,location_type
victory.blvd,location_type,location_type
garrison.ave,location_type,location_type
ave.m,location_type,location_type
unionport.road,location_type,location_type
williamsbridge,location_type,location_type
macdougal.st,location_type,location_type
avery.ave,location_type,location_type
stockton,location_type,location_type
junction,location_type,location_type
batchelder..st,location_type,location_type
ferris,location_type,location_type
dean,location_type,location_type
flatbush.ave,location_type,location_type
merrick,location_type,location_type
first.avenue,location_type,location_type
ft.hamilton.parkway,location_type,location_type
wea,location_type,location_type
remsen.st,location_type,location_type
hudson.st,location_type,location_type
esplanade,location_type,location_type
hart.st,location_type,location_type
adam.clayton.powell.blvd,location_type,location_type
flushing.ave,location_type,location_type
grand.ave,location_type,location_type
codwise.pl,location_type,location_type
cornish.ave,location_type,location_type
dongan.pl,location_type,location_type
sterling.pl,location_type,location_type
avenue.b,location_type,location_type
third.ave,location_type,location_type
cauldwell,location_type,location_type
myrtle.ave,location_type,location_type
kingston.ave,location_type,location_type
wallace.ave,location_type,location_type
fox.st,location_type,location_type
elizabeth,location_type,location_type
watts.st,location_type,location_type
cross.st,location_type,location_type
nelson.avenue,location_type,location_type
college.point.blvd,location_type,location_type
belmont.ave,location_type,location_type
rockaway.blvd,location_type,location_type
cps,location_type,location_type
baychester,location_type,location_type
gcp,location_type,location_type
newkirk.ave,location_type,location_type
stanton,location_type,location_type
grille.court,location_type,location_type
carlton.ave,location_type,location_type
withers.st,location_type,location_type
grand.st,location_type,location_type
nostrand.ave,location_type,location_type
fairview.avenue,location_type,location_type
columbia.street,location_type,location_type
java.st,location_type,location_type
montgomery.street,location_type,location_type
merrick.blvd,location_type,location_type
butler.street,location_type,location_type
homecrest.ave,location_type,location_type
westchester,location_type,location_type
harrison.st,location_type,location_type
steinway.st,location_type,location_type
etna.st,location_type,location_type
astoria.blvd,location_type,location_type
linden.blvd,location_type,location_type
bogart.street,location_type,location_type
cooper.ave,location_type,location_type
stockholm.st,location_type,location_type
pennsylvania,location_type,location_type
close.ave,location_type,location_type
ave.u,location_type,location_type
thompson,location_type,location_type
madison.ave,location_type,location_type
bqe,location_type,location_type
jerome.ave,location_type,location_type
castle.hill.ave,location_type,location_type
carroll.st,location_type,location_type
union.ave,location_type,location_type
commonwealth,location_type,location_type
eldridge.street,location_type,location_type
st.anns.ave,location_type,location_type
hull.st,location_type,location_type
crotona.park.so,location_type,location_type
flushing,location_type,location_type
dekalb.ave,location_type,location_type
eastern.parkway,location_type,location_type
greenwich.st,location_type,location_type
douglass.st,location_type,location_type
court.street,location_type,location_type
putnam.avenue,location_type,location_type
.university.ave,location_type,location_type
review,location_type,location_type
st.johns.place,location_type,location_type
clinton.ave,location_type,location_type
cook.st,location_type,location_type
franklin.ave,location_type,location_type
