value,label,count
1 AVE,street_name,17
1 AVENUE,street_name,171
1 PLACE,street_name,22
1 STREET,street_name,18
10 AVE,street_name,35
10 AVENUE,street_name,106
10 ST,street_name,2
10 STREET,street_name,11
100  STREET,street_name,1
100 AVENUE,street_name,5
100 ST,street_name,1
100 STREET,street_name,9
100TH ST.,street_name,1
100TH STREET,street_name,2
101 AVE,street_name,32
101 AVENUE,street_name,34
101 STREET,street_name,21
101ST  ST.,street_name,4
101ST AVENUE,street_name,12
101ST STREET,street_name,4
101TH STREET,street_name,1
102 AVE,street_name,1
102 AVENUE,street_name,8
102 ROAD,street_name,3
102 ST,street_name,4
102 STREET,street_name,24
102ND ROAD,street_name,1
102ND STREET,street_name,1
103 AVE,street_name,1
103 AVENUE,street_name,6
103 ROAD,street_name,2
103 STREET,street_name,17
103AV,street_name,1
103RD  STREET,street_name,1
103RD ROAD,street_name,2
103RD STREET,street_name,1
104 AVE,street_name,1
104 AVENUE,street_name,1
104 ST,street_name,12
104 STREET,street_name,25
104TH STREET,street_name,8
105 AVE,street_name,10
105 AVENUE,street_name,6
105 ST,street_name,1
105 STREET,street_name,7
105TH STREET,street_name,1
106 AVENUE,street_name,15
106 ST,street_name,1
106 STREET,street_name,14
106TH ST.,street_name,1
107  AVENUE,street_name,1
107 AVE.,street_name,1
107 AVENUE,street_name,22
107 STREET,street_name,7
107TH  AVENUE,street_name,1
108 AVE,street_name,1
108 AVENUE,street_name,2
108 ROAD,street_name,1
108 ST,street_name,3
108 STREET,street_name,34
108TH STREET,street_name,2
109 AVENUE,street_name,13
109 ROAD,street_name,1
109 ST,street_name,3
109 STREET,street_name,11
109TH AVENUE,street_name,2
109TH STREET,street_name,1
10TH AVE,street_name,3
10TH AVENUE,street_name,24
10TH STREET,street_name,11
11  AVENUE,street_name,1
11 AVE,street_name,6
11 AVENUE,street_name,140
11 ST,street_name,3
11 STREET,street_name,38
110 AVENUE,street_name,6
110 ST,street_name,1
110 STREET,street_name,19
110TH ROAD,street_name,2
110TH STREET,street_name,1
111 AVE,street_name,4
111 AVE.,street_name,4
111 AVENUE,street_name,5
111 ST,street_name,6
111 STREET,street_name,12
111ST STREET,street_name,1
111TH AVENUE,street_name,3
111TH ST.,street_name,1
111TH STREET,street_name,3
112 AVE,street_name,18
112 AVENUE,street_name,3
112 ROAD,street_name,2
112 ST,street_name,2
112 STREET,street_name,16
112TH AVENUE,street_name,1
112TH ROAD,street_name,6
112TH STREET,street_name,2
113 AVE,street_name,1
113 AVENUE,street_name,6
113 DRIVE,street_name,3
113 ROAD,street_name,1
113 ST,street_name,1
113 STREET,street_name,6
113TH ROAD,street_name,2
113TH ST,street_name,5
113TH STREET,street_name,7
114 DRIVE,street_name,1
114 PLACE,street_name,1
114 RD.,street_name,1
114 ROAD,street_name,2
114 STREET,street_name,8
114TH PLACE,street_name,2
115  AVE,street_name,1
115  AVENUE,street_name,1
115 AVE,street_name,3
115 AVENUE,street_name,7
115 DRIVE,street_name,5
115 ROAD,street_name,1
115 ST,street_name,5
115 STREET,street_name,13
115TH  STREET,street_name,1
115TH AVENUE,street_name,5
115TH ROAD,street_name,3
115TH ST,street_name,1
115TH STREET,street_name,1
116  AVENUE,street_name,2
116 AVE,street_name,2
116 AVENUE,street_name,6
116 DRIVE,street_name,1
116 ST,street_name,1
116 STREET,street_name,31
116TH STREET,street_name,2
117 ROAD,street_name,6
117 STREET,street_name,5
117TH STREET,street_name,6
118  ROAD,street_name,1
118 AVE,street_name,3
118 AVENUE,street_name,2
118 ROAD,street_name,1
118 STREET,street_name,21
118TH AVENUE,street_name,1
118TH STREET,street_name,7
119 AVE,street_name,1
119 AVENUE,street_name,7
119 DRIVE,street_name,1
119 RD,street_name,1
119 ROAD,street_name,3
119 ST,street_name,1
119 STREET,street_name,2
119TH ROAD,street_name,1
119TH STREET,street_name,2
11TH AVE,street_name,2
11TH AVE.,street_name,3
11TH AVENUE,street_name,17
11TH ST,street_name,1
11TH STREET,street_name,27
12  STREET,street_name,1
12 AVE,street_name,8
12 AVENUE,street_name,100
12 ROAD,street_name,6
12 ST,street_name,21
12 STREET,street_name,14
120 AVE,street_name,4
120 AVE.,street_name,1
120 AVENUE,street_name,8
120 RD,street_name,1
120 ROAD,street_name,2
120 ST,street_name,1
120 ST.,street_name,1
120 STREET,street_name,16
120TH AVENUE,street_name,3
120TH STREET,street_name,1
121 AVE,street_name,1
121 AVENUE,street_name,7
121 STREET,street_name,21
121ST  ST.,street_name,2
121ST AVE,street_name,1
121ST STREET,street_name,2
122 AVENUE,street_name,1
122 PLACE,street_name,1
122 STREET,street_name,7
122ND  STREET,street_name,8
122ND STREET,street_name,2
123 AVE,street_name,1
123 AVENUE,street_name,8
123 ST,street_name,1
123 STREET,street_name,9
123RD  STREET,street_name,1
123RD STREET,street_name,4
124 ST,street_name,1
124 STREET,street_name,29
124TH STREET,street_name,7
125 AVENUE,street_name,4
125 ST,street_name,2
125 STREET,street_name,38
125TH AVENUE,street_name,1
125TH STREET,street_name,9
125TH. AVENUE,street_name,1
126 ST,street_name,3
126 STREET,street_name,12
126TH ST,street_name,4
126TH STREET,street_name,6
127 ST,street_name,8
127 STREET,street_name,16
127TH STREET,street_name,11
127TH. STREET,street_name,1
128  STREET,street_name,2
128 AVE,street_name,2
128 AVENUE,street_name,1
128 ST,street_name,1
128 STREET,street_name,11
128TH AVENUE,street_name,1
128TH STREET,street_name,2
129 AVENUE,street_name,2
129 STREET,street_name,15
129TH STREET,street_name,2
12TH AVE,street_name,1
12TH AVENUE,street_name,34
12TH RD.,street_name,1
12TH ROAD,street_name,2
12TH ST,street_name,3
12TH ST.,street_name,1
12TH STREET,street_name,20
13 AVE,street_name,4
13 AVENUE,street_name,14
13 ST,street_name,1
13 STREET,street_name,30
130 AVE.,street_name,1
130 AVENUE,street_name,7
130 ROAD,street_name,1
130 ST,street_name,3
130 STREET,street_name,8
130TH AVE,street_name,1
130TH AVENUE,street_name,4
131 AVENUE,street_name,4
131 ROAD,street_name,1
131 ST.,street_name,1
131 STREET,street_name,27
131ST AVENUE,street_name,1
131ST STREET,street_name,2
132 AVENUE,street_name,4
132 ROAD,street_name,1
132 STREET,street_name,15
133 AVE,street_name,2
133 AVENUE,street_name,12
133 ST,street_name,1
133 STREET,street_name,14
133RD AVE,street_name,3
133RD AVE.,street_name,1
133RD AVENUE,street_name,1
134  STREET,street_name,1
134 AVE,street_name,2
134 AVENUE,street_name,7
134 PLACE,street_name,1
134 ROAD,street_name,2
134 ST,street_name,2
134 STREET,street_name,13
134TH AVENUE,street_name,3
134TH STREET,street_name,10
135 AVE,street_name,2
135 AVENUE,street_name,15
135 PL,street_name,1
135 PLACE,street_name,8
135 ST,street_name,1
135 STREET,street_name,6
135TH AVENUE,street_name,2
135TH PLACE,street_name,3
135TH STREET,street_name,2
135TH. STREET,street_name,2
136 AVENUE,street_name,1
136 ST,street_name,2
136 STREET,street_name,10
136TH RD,street_name,1
136TH ST,street_name,1
136TH STREET,street_name,5
137  STREET,street_name,1
137 AVENUE,street_name,6
137 ROAD,street_name,5
137 STREET,street_name,3
137TH AVENUE,street_name,7
137TH ROAD,street_name,3
137TH STREET,street_name,8
138 AVENUE,street_name,4
138 PLACE,street_name,2
138 ROAD,street_name,1
138 STREET,street_name,17
138TH STREET,street_name,10
139 AVE,street_name,1
139 AVENUE,street_name,10
139 STREET,street_name,15
139TH  AVENUE,street_name,1
139TH AVE,street_name,1
139TH AVENUE,street_name,1
13TH  AVE.,street_name,1
13TH  STREET,street_name,1
13TH AVE,street_name,5
13TH AVENUE,street_name,17
13TH ST.,street_name,2
13TH STREET,street_name,3
14  AVE.,street_name,1
14 AVE.,street_name,1
14 AVENUE,street_name,61
14 ROAD,street_name,4
14 STREET,street_name,17
140 AVENUE,street_name,4
140 ST,street_name,4
140 STREET,street_name,7
140TH AVENUE,street_name,1
141 AVENUE,street_name,1
141 ROAD,street_name,2
141 STREET,street_name,7
