value,label,count
BATH BEACH,neighborhood,6
BAY RIDGE,neighborhood,8
BEDFORD STUYVESANT,neighborhood,68
BENSONHURST,neighborhood,7
BERGEN BEACH,neighborhood,1
BOERUM HILL,neighborhood,17
BOROUGH PARK,neighborhood,40
BRIGHTON BEACH,neighborhood,30
BROOKLYN HEIGHTS,neighborhood,10
BUSH TERMINAL,neighborhood,1
BUSHWICK,neighborhood,2
CANARSIE,neighborhood,5
CARROLL GARDENS,neighborhood,11
CLINTON HILL,neighborhood,16
COBBLE HILL,neighborhood,6
COBBLE HILL-WEST,neighborhood,11
CONEY ISLAND,neighborhood,4
CROWN HEIGHTS,neighborhood,15
DOWNTOWN-FULTON FERRY,neighborhood,14
DOWNTOWN-FULTON MALL,neighborhood,3
DOWNTOWN-METROTECH,neighborhood,5
DYKER HEIGHTS,neighborhood,1
EAST NEW YORK,neighborhood,6
FLATBUSH-CENTRAL,neighborhood,7
FLATBUSH-EAST,neighborhood,1
FLATBUSH-LEFFERTS GARDEN,neighborhood,1
FLATBUSH-NORTH,neighborhood,9
FORT GREENE,neighborhood,13
GOWANUS,neighborhood,4
GRAVESEND,neighborhood,19
GREENPOINT,neighborhood,20
KENSINGTON,neighborhood,2
MADISON,neighborhood,21
MIDWOOD,neighborhood,13
MILL BASIN,neighborhood,1
OCEAN HILL,neighborhood,11
OCEAN PARKWAY-NORTH,neighborhood,10
OCEAN PARKWAY-SOUTH,neighborhood,1
PARK SLOPE,neighborhood,40
PARK SLOPE SOUTH,neighborhood,13
PROSPECT HEIGHTS,neighborhood,6
SHEEPSHEAD BAY,neighborhood,29
SUNSET PARK,neighborhood,24
WILLIAMSBURG-CENTRAL,neighborhood,65
WILLIAMSBURG-EAST,neighborhood,41
WILLIAMSBURG-NORTH,neighborhood,27
WILLIAMSBURG-SOUTH,neighborhood,41
WINDSOR TERRACE,neighborhood,6
WYCKOFF HEIGHTS,neighborhood,5
