value,label,count
1 AVENUE,street_name,5374
1 PLACE,street_name,29
1 STREET,street_name,117
10 AVENUE,street_name,2708
10 ST,street_name,4
10 STREET,street_name,206
100 AVENUE,street_name,81
100 DRIVE,street_name,1
100 ROAD,street_name,1
100 STREET,street_name,215
101 AVENUE,street_name,743
101 ROAD,street_name,1
101 STREET,street_name,288
102 AVENUE,street_name,321
102 ROAD,street_name,65
102 STREET,street_name,606
103 AVENUE,street_name,282
103 DRIVE,street_name,16
103 ROAD,street_name,27
103 STREET,street_name,503
104 AVENUE,street_name,139
104 STREET,street_name,428
105 AVENUE,street_name,284
105 STREET,street_name,147
106 AVENUE,street_name,193
106 ROAD,street_name,42
106 STREET,street_name,170
107 AVENUE,street_name,375
107 ROAD,street_name,7
107 STREET,street_name,197
108 AVENUE,street_name,150
108 DRIVE,street_name,20
108 STREET,street_name,1216
109 AVENUE,street_name,737
109 DRIVE,street_name,27
109 ROAD,street_name,28
109 STREET,street_name,388
109-55 VAN WYCK EXPRESSWAY,street_name,1
11 AVENUE,street_name,297
11 STREET,street_name,181
110 AVENUE,street_name,132
110 ROAD,street_name,73
110 STREET,street_name,471
111 AVENUE,street_name,708
111 ROAD,street_name,41
111 STREET,street_name,272
112 AVENUE,street_name,94
112 PLACE,street_name,2
112 ROAD,street_name,54
112 STREET,street_name,388
113 AVENUE,street_name,89
113 DRIVE,street_name,72
113 ROAD,street_name,20
113 STREET,street_name,467
114 AVENUE,street_name,24
114 DRIVE,street_name,22
114 PLACE,street_name,82
114 ROAD,street_name,44
114 STREET,street_name,628
115 AVENUE,street_name,157
115 DRIVE,street_name,15
115 ROAD,street_name,52
115 STREET,street_name,361
115 TERRACE,street_name,2
116 AVENUE,street_name,192
116 DRIVE,street_name,46
116 ROAD,street_name,45
116 STREET,street_name,454
117 ROAD,street_name,21
117 STREET,street_name,175
118 AVENUE,street_name,85
118 ROAD,street_name,25
118 STREET,street_name,2019
119 AVENUE,street_name,154
119 DRIVE,street_name,3
119 ROAD,street_name,29
119 STREET,street_name,15
12 AVENUE,street_name,263
12 ROAD,street_name,7
12 STREET,street_name,588
120 AVENUE,street_name,113
120 ROAD,street_name,30
120 STREET,street_name,608
121 AVENUE,street_name,18
121 STREET,street_name,186
122 AVENUE,street_name,67
122 PLACE,street_name,30
122 STREET,street_name,171
123 AVENUE,street_name,25
123 STREET,street_name,243
124 AVENUE,street_name,5
124 STREET,street_name,233
125 AVENUE,street_name,35
125 ST,street_name,1
125 STREET,street_name,422
126 AVENUE,street_name,35
126 STREET,street_name,356
127 AVENUE,street_name,68
127 STREET,street_name,172
128 AVENUE,street_name,25
128 STREET,street_name,119
129 AVENUE,street_name,43
129 STREET,street_name,202
12TH STREET,street_name,31
13 AVENUE,street_name,714
13 STREET,street_name,126
130 AVENUE,street_name,274
130 PLACE,street_name,10
130 ROAD,street_name,3
130 STREET,street_name,188
131 AVENUE,street_name,74
131 STREET,street_name,149
132 AVENUE,street_name,38
132 ROAD,street_name,16
132 STREET,street_name,232
133 AVENUE,street_name,222
133 DRIVE,street_name,7
133 ROAD,street_name,15
133 STREET,street_name,171
134 AVENUE,street_name,95
134 ROAD,street_name,10
134 STREET,street_name,206
135 AVENUE,street_name,108
135 DRIVE,street_name,2
135 PLACE,street_name,53
135 ROAD,street_name,5
135 STREET,street_name,430
136 AVENUE,street_name,51
136 ROAD,street_name,47
136 STREET,street_name,45
137 AVENUE,street_name,94
137 ROAD,street_name,35
137 STREET,street_name,101
138 AVENUE,street_name,33
138 PLACE,street_name,66
138 ROAD,street_name,41
138 STREET,street_name,204
139 AVENUE,street_name,47
139 STREET,street_name,130
14 AVENUE,street_name,586
14 PLACE,street_name,13
14 ROAD,street_name,164
14 STREET,street_name,474
140 AVENUE,street_name,264
140 STREET,street_name,122
141 AVENUE,street_name,136
141 ROAD,street_name,10
141 ST,street_name,1
141 STREET,street_name,154
142 AVENUE,street_name,14
142 PLACE,street_name,29
142 ROAD,street_name,40
142 STREET,street_name,133
143 AVENUE,street_name,61
143 ROAD,street_name,66
143 STREET,street_name,169
144 AVENUE,street_name,121
144 DRIVE,street_name,31
144 PLACE,street_name,10
144 ROAD,street_name,42
144 STREET,street_name,174
144 TERRACE,street_name,2
145 AVENUE,street_name,91
145 DRIVE,street_name,71
145 PLACE,street_name,1
